T,CPSP,CPSP_SEM,SHAM,SHAM_SEM,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,SHAM_68b,SHAM_6d2,SHAM_6d3
31,39.78,6.492471464,24.86,12.83397574,28.70,58.80,37.40,28.10,52.60,9.64,37.60,65.40,21.70,48.50,4.38
32,33.39625,7.781966777,31.43333333,13.62856477,57.90,7.18,38.40,39.20,3.59,49.20,14.70,57.00,25.30,57.50,11.50
33,46.675,5.869952239,25.61,8.381911079,61.20,61.30,27.30,45.00,40.10,62.90,56.00,19.60,32.50,8.93,35.40
34,37.3325,7.658817456,38.7,9.382075108,64.20,67.40,19.00,27.00,40.50,32.90,44.10,3.56,22.50,55.00,38.60
35,28.089375,8.162186028,40,12.65082343,4.78,64.30,20.70,29.80,41.10,0.84,52.60,10.60,15.30,57.10,47.60
36,29.42125,8.241185646,43.3,0.781024968,57.30,55.60,7.99,3.63,6.35,18.00,52.50,34.00,43.40,44.60,41.90
37,26.7075,6.402615467,23.43333333,10.45886121,62.10,21.80,34.20,19.30,11.80,18.40,40.20,5.86,27.00,3.80,39.50
38,29.17375,7.155590456,24.86666667,10.70176517,62.00,47.50,28.10,33.20,34.00,22.40,1.20,4.99,45.70,18.70,10.20
39,17.96625,4.99269786,27.3,11.50521621,11.00,50.50,11.10,21.00,20.30,12.90,5.23,11.70,13.90,50.20,17.80
40,28.8625,4.026560811,15.78666667,9.47502917,15.50,23.30,13.10,37.00,41.00,40.10,23.20,37.70,9.56,34.40,3.40
41,17.121875,6.088887268,15.9,5.437217426,51.50,17.80,6.18,7.49,32.60,16.50,0.11,4.80,24.60,5.90,17.20
42,15.98375,4.602771656,5.139666667,3.672900776,41.10,23.40,12.00,1.90,4.99,5.48,15.60,23.40,12.30,0.14,2.98
43,6.71675,2.120712109,12.72333333,2.058286774,7.36,17.20,13.60,2.80,4.91,6.69,0.13,1.04,9.17,12.70,16.30
44,6.6021625,3.680619243,6.33,2.058286774,0.66,5.46,0.07,3.29,4.58,1.99,31.90,4.87,,,6.33
45,5.125,1.938078946,40.56666667,13.65885956,2.55,10.50,1.40,16.50,3.16,3.74,2.11,1.04,45.30,61.50,14.90
46,8.646925,3.777597169,10.85,1.169401556,23.10,3.44,3.40,1.17,27.20,9.91,0.02,0.93,12.90,10.80,8.85
47,5.86125,1.782351414,6.473333333,1.510069903,2.63,15.00,1.43,4.86,1.42,11.40,7.49,2.66,9.44,5.48,4.50
48,6.69375,1.972958201,8.148,6.977715768,18.00,2.51,6.83,8.18,2.20,10.70,2.36,2.77,22.10,1.44,0.90
49,10.1485,3.778873807,6.586666667,4.306666667,5.54,3.96,1.43,18.50,23.20,0.65,1.61,26.30,15.20,2.28,2.28
50,10.935,4.64968893,14.33,3.072496271,39.90,14.80,8.92,0.17,15.80,1.88,1.36,4.65,15.30,19.10,8.59
51,13.88375,4.624360163,5.051333333,3.390328663,12.00,2.70,6.37,6.52,4.38,26.40,40.50,12.20,11.70,0.57,2.88
52,25.99225,7.001058292,29.3,7.116412954,56.10,41.70,24.80,30.30,40.30,4.93,0.79,9.02,33.60,38.90,15.40
53,32.3775,6.051965959,16.52643333,9.125123673,42.10,56.90,12.90,28.70,43.40,37.10,3.82,34.10,31.60,0.08,17.90
54,34.625,4.405708553,9.336666667,4.028243345,31.50,53.50,21.30,15.40,41.20,35.30,32.90,45.90,17.10,3.59,7.32
55,35.375,5.106219947,35,6.824465791,29.20,55.60,27.30,13.20,48.50,46.10,23.20,39.90,29.20,48.60,27.20
56,37.8,5.747204289,23.95,11.20702904,54.80,61.80,27.80,28.90,36.20,16.80,51.50,24.60,41.90,26.60,3.35
57,36.2625,6.274293856,23.82,9.240440105,59.50,61.30,12.20,46.80,27.50,25.90,23.90,33.00,40.40,22.60,8.46
58,36.4775,7.196874756,28.26666667,5.187270745,51.30,62.60,3.12,43.10,12.10,36.30,31.80,51.50,38.60,23.90,22.30
59,23.5725,5.576172442,28.8,6.016920586,44.10,26.70,10.90,47.70,23.60,4.94,21.80,8.84,21.30,40.70,24.40
60,15.0785,5.608750252,37.73333333,0.841295298,1.28,0.69,30.10,25.50,43.20,4.04,10.60,5.22,39.10,36.20,37.90
61,19.36375,7.152031664,25.77333333,9.757802576,29.60,19.50,4.44,39.60,2.96,1.99,54.80,2.02,40.50,29.50,7.32
62,29.34875,6.271080289,31.13333333,7.357837847,56.10,53.00,37.70,15.50,18.40,8.29,19.80,26.00,34.00,42.20,17.20
63,37.525,4.347608127,28.7,12.4925311,55.40,42.90,23.50,21.10,39.10,34.60,51.70,31.90,23.70,52.40,10.00
64,15.881,6.267137328,27.5,2.362907813,51.30,0.46,7.90,2.39,27.00,26.10,10.20,1.70,24.00,32.00,26.50
65,10.333,2.983580016,3.919,2.6392785,19.20,12.90,5.32,11.60,24.40,0.11,7.54,1.59,9.17,0.83,1.76
66,10.230625,3.5537933,7.933333333,5.986185021,2.16,21.10,10.10,0.64,26.60,3.84,16.40,1.01,19.90,2.27,1.63
67,6.92125,1.884167529,9.05,4.098865697,0.40,9.72,14.70,11.30,1.37,10.60,4.84,2.44,16.00,1.81,9.34
68,11.859,5.451563629,3.521333333,1.998464855,13.21,14.54,16.10,31.00,21.21,7.97,3.68,0.55,7.21,0.34,3.01
69,31.42625,8.588331565,7.886666667,1.059785094,53.00,60.10,17.70,63.40,30.30,0.11,13.80,13.00,8.33,9.46,5.87
70,13.259,4.617912643,14.06333333,8.55416143,19.70,36.70,0.16,20.70,18.40,0.37,9.92,0.12,30.70,9.20,2.29
71,7.597,2.382771556,1.541466667,0.803682867,6.38,15.00,6.62,2.50,10.30,18.90,0.50,0.58,1.84,0.02,2.76
72,7.056525,2.907698501,3.666666667,2.33834937,6.77,19.40,0.28,20.00,6.58,0.05,2.21,1.17,8.09,0.14,2.77
73,3.4049,1.314841993,11.50333333,1.549089338,1.06,10.70,6.68,1.39,1.95,0.04,4.82,0.60,13.20,8.41,12.90
74,13.80525,3.086197914,8.428666667,3.975108608,15.30,11.60,0.10,14.50,6.24,16.40,16.10,30.20,12.10,0.49,12.70
75,8.3014875,3.242960731,12.36,4.630899841,4.58,27.00,7.36,6.95,16.60,0.37,0.08,3.48,21.60,8.29,7.19
76,20.880125,5.531117397,31.95,1.15,30.40,46.50,13.40,28.00,15.40,3.01,0.25,30.08,,30.80,33.10
77,18.575,4.212809972,18.13333333,2.411315916,15.00,23.10,10.10,15.50,17.90,45.60,7.20,14.20,21.30,19.70,13.40
78,24.3,4.784079252,32.03333333,5.354541167,8.24,15.80,9.76,15.20,31.10,33.50,42.40,38.40,34.10,40.10,21.90
79,29.8125,4.754901137,26.2,7.813663247,35.20,48.30,16.20,12.20,34.60,16.00,32.90,43.10,33.20,10.60,34.80
80,26.59625,5.64396705,34.83333333,9.77621831,6.79,24.40,15.10,37.30,5.38,46.50,37.40,39.90,16.00,48.80,39.70
81,32.72625,6.652591583,45.45,7.35,55.80,51.80,19.40,15.60,1.51,40.80,36.70,40.20,,52.80,38.10
82,33.18125,6.706925642,42.26666667,0.926162933,46.00,21.20,4.65,38.60,41.20,43.70,10.70,59.40,43.80,42.40,40.60
83,19.6675,5.231271271,23.17333333,10.51621182,30.00,38.30,2.32,37.30,24.60,4.36,6.36,14.10,43.60,8.62,17.30
84,19.1425,5.380965709,9.546666667,5.614304152,7.75,47.80,3.87,7.65,18.40,9.67,25.80,32.20,6.21,1.93,20.50
85,19.16125,4.902051844,22,3.253203549,17.70,39.60,10.10,36.70,6.03,5.07,9.96,28.13,15.50,25.00,25.50
86,27.534,4.535672371,25.66666667,3.349295117,35.40,8.95,16.80,35.00,14.30,46.60,32.60,30.62,25.80,19.80,31.40
87,26.49875,4.775301201,27.13333333,3.235909627,54.30,16.20,35.90,30.20,24.60,13.50,18.60,18.69,32.60,27.40,21.40
88,25.4425,5.445654149,25.66666667,11.31287369,30.60,6.82,17.70,7.82,46.50,18.20,30.60,45.30,17.00,48.10,11.90
89,14.62875,6.176271251,14.60666667,4.960515206,1.11,33.10,11.10,48.20,3.94,1.04,16.90,1.64,7.62,12.00,24.20
90,8.53575,5.098248039,11.52666667,1.392615445,9.11,5.59,0.13,43.50,4.66,2.40,1.80,1.10,13.30,8.78,12.50
91,6.394625,2.583849861,1.615,0.695539359,3.48,7.19,1.28,4.46,22.40,0.97,10.60,0.78,2.96,0.64,1.25
92,7.937875,3.769162546,3.39,1.578649212,32.00,14.60,0.61,4.14,3.20,4.10,4.18,0.68,5.89,0.47,3.81
93,6.7970875,2.259672465,2.877666667,1.120023264,1.42,7.57,0.03,16.80,13.00,3.53,11.50,0.52,3.06,4.72,0.85
