T,CPSP,CPSP_SEM,SHAM,SHAM_SEM,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,SHAM_68b,SHAM_6d2,SHAM_6d3
197,22.965,5.351505462,14.59666667,3.441319191,27.10,18.80,48.50,40.40,21.60,13.60,5.28,8.44,20.70,14.30,8.79
198,34.275,7.186414514,19.76666667,1.974279053,13.50,51.00,45.00,42.60,17.70,16.00,68.60,19.80,18.10,23.70,17.50
199,31.8,2.180923789,17.03333333,2.586073815,26.90,34.10,43.00,27.00,29.60,38.70,27.50,27.60,22.10,13.60,15.40
200,35.985,6.902588283,29.46666667,4.28420873,48.50,62.70,39.80,36.20,50.40,14.60,33.00,2.68,33.60,33.90,20.90
201,36.08,6.96129914,20.98,6.089805689,57.30,58.00,46.20,21.30,36.40,21.80,1.94,45.70,27.90,8.84,26.20
202,36.35625,6.144883452,17.46333333,9.408755379,56.90,60.70,41.30,40.70,27.30,29.60,27.00,7.35,5.39,36.00,11.00
203,24.48,5.731326199,14.16333333,2.36565941,51.50,22.50,27.20,42.10,19.90,22.70,6.02,3.92,17.50,9.59,15.40
204,24.74925,7.913457515,18.81,9.293677062,17.30,53.60,10.90,60.00,33.30,0.23,2.66,20.00,33.70,1.73,21.00
205,23.24875,6.869481535,13.76366667,12.71836979,44.40,58.50,16.80,23.70,24.00,11.10,2.78,4.71,0.92,39.20,1.17
206,21.81625,6.38924038,14.26666667,1.633333333,47.00,29.60,40.90,12.00,33.80,5.93,2.54,2.76,13.50,11.90,17.40
207,29.4463125,8.49469118,28.86666667,0.952773729,42.60,62.90,41.90,44.60,38.00,0.04,1.67,3.86,28.90,30.50,27.20
208,13.715,5.581477979,16.726,9.832592537,3.87,13.70,35.20,41.60,7.36,3.41,1.65,2.93,14.40,34.80,0.98
209,17.88375,4.101103483,6.316666667,2.592517009,23.30,6.32,12.00,16.30,17.90,6.25,42.50,18.50,2.89,4.66,11.40
210,10.464,5.392569716,5.883333333,1.95473215,6.62,2.04,12.30,1.99,11.60,0.68,46.50,1.98,2.39,6.11,9.15
211,5.523025,1.963747731,8.476666667,4.808001433,4.42,0.45,16.30,2.93,8.53,9.43,0.06,2.07,17.10,7.85,0.48
212,8.162425,3.797598079,4.698933333,4.208689179,25.60,6.72,3.52,24.90,1.95,0.02,1.82,0.77,13.10,0.04,0.95
213,8.49225,3.435929702,1.517333333,0.646390319,1.25,1.05,15.80,4.19,16.30,0.70,26.40,2.25,2.28,2.04,0.23
214,5.20475,2.054199286,4.663333333,2.172957534,15.00,3.12,2.42,3.33,14.00,1.82,0.72,1.23,0.35,7.28,6.36
215,9.25805,3.56493257,1.484133333,1.359204676,3.25,1.75,21.80,26.40,6.58,1.36,0.02,12.90,4.20,0.02,0.23
216,7.941,2.686474907,5.803333333,2.249068943,13.10,22.80,5.10,6.24,12.00,1.93,2.11,0.25,7.87,8.23,1.31
217,15.04875,4.985864102,3.143333333,0.54185894,18.80,5.82,33.00,39.20,10.20,1.41,8.56,3.40,4.16,2.96,2.31
218,6.538675,3.067416946,8.64,1.863580783,22.50,0.15,16.80,8.20,3.54,0.38,0.02,0.72,10.70,4.92,10.30
219,12.6625,2.281417753,10.80066667,5.173322637,14.70,3.62,19.00,21.60,16.80,5.35,9.13,11.10,13.90,17.80,0.70
220,24.60875,6.508583189,24.8,3.914502948,39.80,24.60,45.20,46.70,27.20,4.24,6.04,3.09,30.90,26.00,17.50
221,21.9525,5.704665932,18.86666667,7.680350108,28.70,13.70,43.40,46.00,21.40,5.24,4.48,12.70,17.50,32.80,6.30
222,27.39,4.302029421,21.7,5.773502692,6.62,43.30,28.30,36.10,27.40,27.70,36.30,13.40,31.70,11.70,21.70
223,28.75125,5.885637918,28.8,7.292004754,48.90,15.70,45.60,46.50,9.81,14.10,33.60,15.80,34.00,38.00,14.40
224,31.4225,5.553943821,23.66666667,5.146627806,35.10,56.60,45.00,21.10,38.00,29.70,7.48,18.40,33.40,15.90,21.70
225,31.40125,5.443078973,21.4,1.252996409,38.70,48.80,46.40,33.80,36.30,15.60,3.31,28.30,22.80,22.50,18.90
226,24.73375,4.719635631,18.06666667,3.655285367,2.07,36.50,34.80,41.00,31.80,19.40,17.50,14.80,12.40,16.90,24.90
227,21.3925,4.389889256,39,4.350861984,31.30,10.10,43.80,18.40,29.20,7.34,12.80,18.20,43.20,43.50,30.30
228,27.71625,7.063683261,26.59,14.18937748,55.60,28.20,39.80,18.60,7.58,11.90,53.70,6.35,50.10,28.60,1.07
229,17.42875,5.834254279,18.88,16.21310992,2.92,36.90,37.00,29.10,1.17,1.99,3.25,27.10,51.30,2.12,3.22
230,24.93,6.355587249,30.93333333,8.016718642,33.20,37.80,40.00,47.10,28.00,0.11,4.06,9.17,38.90,39.00,14.90
231,23.31625,7.329403586,28.26666667,3.839415465,55.70,33.30,14.60,41.70,34.20,2.17,0.44,4.42,34.90,21.60,28.30
232,15.71525,7.485455163,5.673333333,2.774985485,58.60,9.24,5.81,6.04,38.70,0.11,3.29,3.93,8.21,8.68,0.13
233,12.15125,4.118977178,3.863,2.208828272,34.70,2.47,21.00,17.70,10.60,6.45,0.79,3.50,8.04,0.53,3.02
234,3.583375,1.140929742,19.90333333,6.387566916,2.47,0.49,10.40,1.22,4.36,2.52,1.57,5.64,25.00,27.50,7.21
235,12.67125,3.806558925,0.736333333,0.124752199,17.90,8.10,10.10,2.29,5.38,2.70,32.90,22.00,0.85,0.49,0.87
236,11.0518,5.384157696,1.611333333,0.742146736,30.00,0.02,2.57,40.10,2.28,1.13,7.51,4.80,3.03,0.52,1.28
237,6.40485,3.129418769,1.140333333,0.763909317,0.72,0.02,25.40,6.05,13.10,1.35,0.02,4.57,0.52,2.66,0.24
