pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,40,,,
1,2,45,,,
2,3,35,,,
3,4,60,,,
4,5,30,,,
5,6,25,,,
6,7,20,,,
7,8,50,,,
8,9,15,,,
9,10,55,,,
10,11,10,,,
