pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,15,,,
1,2,30,,,
2,3,10,,,
3,4,50,,,
4,5,20,,,
5,6,40,,,
6,7,25,,,
7,8,5,,,
8,9,30,,,
9,10,45,,,
