pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,50,,,
2,3,20,,,
3,4,60,,,
4,5,10,,,
5,6,25,,,
6,7,45,,,
7,8,40,,,
8,9,55,,,
9,10,70,,,
