pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,50,,,
2,3,40,,,
3,4,20,,,
4,5,60,,,
5,6,30,,,
6,7,45,,,
7,8,25,,,
8,9,55,,,
9,10,60,,,
