pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,50,,,
2,3,20,,,
3,4,40,,,
4,5,60,,,
5,6,35,,,
6,7,55,,,
7,8,25,,,
8,9,45,,,
9,10,55,,,
