pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,20,,,
2,3,50,,,
3,4,10,,,
4,5,60,,,
5,6,25,,,
6,7,35,,,
7,8,45,,,
8,9,15,,,
9,10,60,,,
10,11,50,,,
11,12,40,,,
