pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,20,,,
3,4,25,,,
4,5,30,,,
5,6,40,,,
6,7,5,,,
7,8,50,,,
8,9,35,,,
9,10,15,,,
