pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,
1,2,30,,,
2,3,10,,,
3,4,10,,,
4,5,40,,,
5,6,5,,,
6,7,5,,,
7,8,50,,,
8,9,15,,,
9,10,15,,,
10,11,25,,,
11,12,30,,,
