pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,
1,2,10,,,
2,3,5,,,
3,4,30,,,
4,5,15,,,
5,6,10,,,
6,7,20,,,
7,8,5,,,
8,9,15,,,
