pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,5,,,
1,2,8,,,
2,3,6,,,
3,4,10,,,
4,5,13,,,
5,6,15,,,
6,7,15,,,
7,8,8,,,
8,9,10,,,
9,10,20,,,
10,11,5,,,exclude
11,12,5,,,exclude
12,13,30,,,exclude
13,14,12,,,exclude
