pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,30,,,
2,3,10,,,
3,4,5,,,
4,5,20,,,
5,6,15,,,
6,7,25,,,
