pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,
1,2,10,,,
2,3,5,,,
3,4,30,,,
4,5,25,,,
5,6,40,,,
6,7,10,,,
7,8,15,,,
8,9,15,,,
9,10,25,,,
10,11,30,,,
11,12,40,,,
