pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,10,,,
1,2,20,,,
2,3,30,,,
3,4,40,,,
4,5,50,,,
5,6,10,,,
6,7,20,,,
7,8,30,,,
8,9,40,,,
9,10,50,,,
10,11,10,,,
11,12,20,,,
12,13,30,,,
13,14,40,,,
14,15,5,,,
15,16,5,,,
