Time,55C_SHAM_F,56C_SHAM_F,59F_SHAM_F,536_SHAMF,A0D_SHAMF,A04_SHAMF,55C_SH_M,56C_SH_M,59F_SH_M,536_SH_M,A0D_SH_M,A04_SH_M,B65_SNI_F,B5F_SNI_F,A22_SNI_F,50E_SNIF,50D_SNIF,B65_SNI_F,56F_SNI_M,B6F_SNI_Male,B5F_SNI_Male,A22_SNI_Male,50E_SNI_Male,50D_SNI_Male,,,CTRL,SNI,CTRL_SEM,SNI_SEM,,,,,,,,,,
5/6/2024 21:00,20.6,43,18.8,45.8,40,13.4,8.23,13.6,8.69,14.8,5.44,27.9,39.9,14.9,39.5,34.3,16.4,19.9,15.1,25.4,38,30.7,14.2,5.21,,11,21.68833333,24.45916667,4.096050358,3.399157752,,,,,,,,,,
5/6/2024 22:00,2.82,35.8,25.2,36.9,0.742,22.1,4.95,2.25,16.8,14,3.08,3.26,2.18,50.4,24.4,36.2,12.2,4.92,12,11.4,43.9,3.9,20,6.89,,12,13.99183333,19.0325,3.847337887,4.720023614,,,,,,,,,,
5/6/2024 23:00,17.1,22.1,7.93,23.5,25.9,7.22,4.73,19.7,28.6,13.9,17.8,36,27.5,13.2,20.9,7.07,5.02,2.46,3.29,12.3,36.8,15.3,9.4,5.45,,13,18.70666667,13.22416667,2.688490715,3.038266666,,,,,,,,,,
5/7/2024 0:00,4.28,30.3,27,8.08,8.63,31.6,16.4,2.3,2.2,4.39,0.797,0.291,2.27,9.3,9.77,8.75,9.43,17.5,5.28,11,9.64,10.5,7.98,13.3,,14,11.35566667,9.56,3.432685697,1.082709844,,,,,,,,,,
5/7/2024 1:00,3.52,14.1,8.71,6.22,1.92,2.92,3.75,1.84,28.6,0.528,8.64,14.6,14.7,11.1,6.5,8.04,3.47,19.2,1.83,19,36.8,12.7,10.1,7.6,,15,7.945666667,12.58666667,2.309169401,2.704417355,,,,,,,,,,
5/7/2024 2:00,8.04,0.0244,3.05,6.01,17.2,27.3,23.8,18.3,7.36,5.52,0.108,8.59,5.65,7.46,2.77,4.54,1.27,4.63,2.46,5.21,27.1,6.54,7.62,1.53,,16,10.44186667,6.398333333,2.614895568,1.981786321,,,,,,,,,,
5/7/2024 3:00,25.7,3.26,6.26,2.66,4.73,6.75,0.413,0.284,15.5,0.0244,1.45,1.74,17.6,2.9,17.5,1.06,13.8,0.0244,1.87,5.15,4.63,7.23,0.501,0.583,,17,5.73095,6.0707,2.196454901,1.903074672,,,,,,,,,,
5/7/2024 4:00,5.24,4.3,16.6,4.2,0.567,8.75,3.38,0.349,7.85,4.86,0.213,12.3,1.29,10.1,0.444,3.18,0.654,9.29,1.36,15.5,12.2,17.4,11.6,7.01,,18,5.717416667,7.502333333,1.435188244,1.746631144,,,,,,,,,,
5/7/2024 5:00,8.24,2.11,6.71,6.04,1.23,13.5,3.88,14.1,6.42,0.0244,5.65,15.9,17.3,9.01,8.83,9.43,6.9,2.86,11.2,0.0244,29.6,2.39,0.741,0.646,,19,6.9837,8.244283333,1.487746433,2.455380764,,,,,,,,,,
5/7/2024 6:00,8.81,2.14,3.71,1.07,9.38,5.45,23.2,9.86,32,1.89,0.141,1.94,13.3,17.7,5.49,0.532,3.96,0.0244,12.9,2.08,2.44,14.6,5.23,6.87,,20,8.29925,7.093866667,2.827189651,1.733820855,,,,,,,,,,
5/7/2024 7:00,2.06,13.3,7.31,11.1,3.92,1.63,0.302,3.58,1.38,0.0892,6.23,5.66,4.5,2.75,2.69,1.54,0.567,0.0244,2.13,1.34,6.07,5.55,0.201,4.96,,21,4.713433333,2.693533333,1.215038393,0.611150948,,,,,,,,,,
5/7/2024 8:00,1.48,0.175,12.5,0.0244,0.297,1.98,1.26,0.534,16.4,3.23,0.543,0.359,7.2,3.95,12.8,2.84,9.91,3.83,6.15,0.742,2.32,3.87,4.26,1.13,,22,3.231866667,4.916833333,1.554149065,1.030882836,,,,,,,,,,
5/7/2024 9:00,1.22,2.87,4.04,0.0244,6.73,3.32,10.7,7.61,4.97,0.755,0.609,5.18,6.29,3.5,1.79,3.52,0.0723,0.0244,0.549,4.78,5.76,4.71,1.4,0.798,,23,4.002366667,2.766141667,0.933435468,0.655421741,,,,,,,,,,
5/7/2024 10:00,12.2,6.78,1.3,9.69,0.376,3.33,0.771,0.0244,1.91,0.293,7.17,9.87,1.67,9.95,6.19,0.0244,0.251,7.14,0.0244,7.19,0.727,1.84,0.266,11.2,,24,4.4762,3.872733333,1.274288762,1.206973158,,,,,,,,,,
5/7/2024 11:00,3.27,0.801,4.18,3.13,0.102,9.28,7.89,0.442,8.66,0.637,0.276,0.67,16,2.98,3.74,2.4,1.01,0.0244,0.822,0.213,7.09,5.09,0.0883,0.692,,25,3.278166667,3.345808333,1.008111021,1.316271733,,,,,,,,,,
5/7/2024 12:00,4.52,3.99,1.4,1.22,12.4,0.229,2.58,0.0728,2.56,0.0244,0.171,5.83,0.877,3.3,10.3,0.0244,0.312,0.362,6.18,2.75,1.09,14.2,0.597,3.73,,26,2.916433333,3.643533333,1.02535425,1.295465283,,,,,,,,,,
5/7/2024 13:00,7.87,0.559,13.2,6.13,0.0244,2.63,2.78,0.0244,1.73,2.63,0.0401,0.0407,2.31,12.3,7.78,0.0244,2.97,10.5,0.613,3.33,0.977,2.34,0.493,0.17,,27,3.138216667,3.650616667,1.16919096,1.213774222,,,,,,,,,,
5/7/2024 14:00,11.2,0.507,1.26,1.22,0.698,0.202,1.49,0.369,4.53,6.79,0.157,14.1,3.88,5.91,10.6,4.9,0.445,0.0244,1.91,0.317,15.3,5.22,5.41,0.0244,,28,3.543583333,4.495066667,1.366352069,1.344008344,,,,,,,,,,
5/7/2024 15:00,4.36,9.31,2.37,4.83,9.43,1.37,4.71,4.5,5.95,9.38,0.205,0.0244,1.81,0.696,3.09,1.12,0.645,0.695,0.0244,0.52,14.5,7.43,0.104,1.17,,29,4.703283333,2.650366667,0.97641285,1.225593102,,,,,,,,,,
5/7/2024 16:00,13.1,0.341,8.19,20.8,30.3,10.6,16.6,14.3,11.1,22.2,7.46,29,7.34,10.1,22,6.98,11.4,12.2,5.98,7.27,18.1,7.11,5.19,2.64,,30,15.33258333,9.6925,2.572563044,1.606691559,,,,,,,,,,
5/7/2024 17:00,4.58,9.17,3.04,0.306,0.93,0.568,7.28,1.28,2.25,2.77,0.554,0.677,4.95,1.16,2.7,5.16,3.39,0.0244,1.01,0.416,3.01,1.47,3.62,0.461,,31,2.78375,2.28095,0.829084637,0.511642317,,,,,,,,,,
