Num,CTRL,SNI,CTRL_SEM,SNI_SEM,All,All_SEM
1,4.111733333,3.937916667,1.281586028,1.163166137,4.024825,0.846536504
2,4.10595,4.99745,1.514972261,1.846662658,4.5517,1.171729763
3,3.414166667,1.906841667,0.976122018,0.554819789,2.660504167,0.571098207
4,5.23475,3.44625,1.098842636,1.252229019,4.3405,0.835753049
5,2.69095,12.8382,0.819752224,3.460993879,7.764575,2.035759323
6,27.0635,28.88916667,6.975360063,6.83585705,27.97633333,4.779705774
7,19.10233333,10.96706667,4.904229132,3.624287296,15.0347,3.100306512
8,7.632583333,4.154983333,3.385571002,1.127244716,5.893783333,1.782202711
9,16.98666667,19.60833333,3.822092544,2.616319655,18.2975,2.281424457
10,24.3525,27.465,2.8778067,3.929991229,25.90875,2.403966176
11,21.68833333,24.45916667,4.096050358,3.399157752,23.07375,2.618868326
12,13.99183333,19.0325,3.847337887,4.720023614,16.51216667,3.023786531
13,18.70666667,13.22416667,2.688490715,3.038266666,15.96541667,2.064600268
14,11.35566667,9.56,3.432685697,1.082709844,10.45783333,1.770063362
15,7.945666667,12.58666667,2.309169401,2.704417355,10.26616667,1.805046926
16,10.44186667,6.398333333,2.614895568,1.981786321,8.4201,1.658913967
17,5.73095,6.0707,2.196454901,1.903074672,5.900825,1.421610353
18,5.717416667,7.502333333,1.435188244,1.746631144,6.609875,1.121027342
19,6.9837,8.244283333,1.487746433,2.455380764,7.613991667,1.41005443
20,8.29925,7.093866667,2.827189651,1.733820855,7.696558333,1.626659496
21,4.713433333,2.693533333,1.215038393,0.611150948,3.703483333,0.697636687
22,3.231866667,4.916833333,1.554149065,1.030882836,4.07435,0.928751411
23,4.002366667,2.766141667,0.933435468,0.655421741,3.384254167,0.572443274
24,4.4762,3.872733333,1.274288762,1.206973158,4.174466667,0.860594367
25,3.278166667,3.345808333,1.008111021,1.316271733,3.3119875,0.810793196
26,2.916433333,3.643533333,1.02535425,1.295465283,3.279983333,0.811463187
27,3.138216667,3.650616667,1.16919096,1.213774222,3.394416667,0.825860366
28,3.543583333,4.495066667,1.366352069,1.344008344,4.019325,0.942460941
29,4.703283333,2.650366667,0.97641285,1.225593102,3.676825,0.795603394
30,15.33258333,9.6925,2.572563044,1.606691559,12.51254167,1.595511313
31,2.78375,2.28095,0.829084637,0.511642317,2.53235,0.479291939
32,5.12075,2.755916667,1.401784183,0.641865173,3.938333333,0.793219994
33,13.40441667,20.79666667,3.030495053,4.136140848,17.10054167,2.623182001
34,26.875,28.90833333,3.063893468,2.67922587,27.89166667,2.001574712
35,17.27333333,23.71333333,4.007949361,3.86215463,20.49333333,2.803397245
36,16.798,18.35583333,3.252668424,3.518370288,17.57691667,2.348727765
37,13.54425,11.80786667,2.888140253,2.160672442,12.67605833,1.773083584
