Num,CTRL,SNI,CTRL_SEM,SNI_SEM,All,All_SEM
38,9.759533333,13.63083333,2.494184759,2.67137618,11.69518333,1.832216365
39,9.2575,10.92083333,2.403776424,1.91549798,10.08916667,1.513011312
40,9.82025,6.563416667,3.296047224,1.4921377,8.191833333,1.801556731
41,5.082916667,7.638916667,1.284855348,1.549481817,6.360916667,1.019758996
42,7.402916667,9.5522,1.504872669,2.403735889,8.477558333,1.404791313
43,10.1625,10.80083333,2.72013205,2.399259816,10.48166667,1.774915559
44,6.135833333,8.784566667,1.399766056,1.843467594,7.4602,1.1650974
45,3.632866667,2.87375,1.009813292,0.940852242,3.253308333,0.679550893
46,3.515283333,1.981083333,0.906053319,0.499282841,2.748183333,0.530571073
47,3.221616667,3.533,0.704993205,1.521324737,3.377308333,0.820582613
48,3.425641667,3.575,1.393422429,0.789343216,3.500320833,0.783286423
49,3.029766667,3.945816667,1.198313953,1.70357168,3.487791667,1.022983856
50,3.9462,4.245916667,1.251190766,1.248604321,4.096058333,0.864949319
51,9.3895,8.993616667,3.449994584,2.451609477,9.191558333,2.070075245
52,3.002958333,1.2219,1.549114174,0.444880163,2.112429167,0.809730072
53,3.605583333,2.6285,1.362288001,0.736608902,3.117041667,0.764141745
54,15.90633333,10.23666667,3.072821197,1.479734995,13.0715,1.769443928
55,5.373266667,1.210208333,1.901217644,0.537645765,3.2917375,1.059184816
56,6.522416667,7.39925,1.553454398,2.306693512,6.960833333,1.363013199
57,14.54833333,19.17,4.197546692,3.284602739,16.85916667,2.650545672
58,29.325,27.59666667,2.868061456,4.734370512,28.46083333,2.712827882
59,16.43166667,25.58516667,3.956111657,4.729662621,21.00841667,3.162686972
60,12.24833333,14.249,2.93559731,3.709266786,13.24866667,2.322581219
61,16.6845,11.73291667,2.753081184,1.740188563,14.20870833,1.674254691
62,11.38383333,16.28833333,3.215579334,3.70457801,13.83608333,2.452724287
63,12.3475,12.22333333,2.645929729,2.247185557,12.28541667,1.697609357
64,9.5945,5.145858333,3.028415919,1.643360456,7.370179167,1.747585344
65,6.450416667,9.303,2.628414802,2.955565731,7.876708333,1.956882395
66,15.39383333,8.748583333,3.328580938,2.052464086,12.07120833,2.033909987
67,5.529416667,10.53475,2.220738699,2.93010086,8.032083333,1.872080722
68,9.881733333,8.868333333,2.710376708,1.183875143,9.375033333,1.450174012
69,4.540833333,4.100366667,1.125093005,1.567486769,4.3206,0.944645607
70,4.978866667,4.177475,1.997284035,1.830268312,4.578170833,1.327390346
71,4.814233333,8.397666667,2.123180654,1.618341273,6.60595,1.357880921
72,7.967866667,9.072866667,1.543874761,1.9989152,8.520366667,1.240457807
73,14.61083333,13.18833333,3.058126397,2.3354332,13.89958333,1.88749887
74,15.70606667,14.80953333,4.096939365,3.544822264,15.2578,2.650919994
75,12.49083333,10.64916667,3.721698142,3.484807159,11.57,2.500608474
76,8.735166667,4.501258333,2.215384192,1.211417324,6.6182125,1.311264238
77,5.49275,5.234,1.474959307,1.708987029,5.363375,1.104251012
78,3.210775,3.150833333,0.955051908,1.226811578,3.180804167,0.760304505
79,5.862958333,8.997766667,1.665475442,2.675512308,7.4303625,1.575404929
80,10.26166667,7.2357,3.024077328,1.614574148,8.748683333,1.705802528
81,12.5155,11.63375,3.244081514,2.886428217,12.074625,2.125413522
82,18.75153333,12.04333333,5.625166478,2.718196632,15.39743333,3.134110972
83,19.31036667,9.196116667,5.291881765,2.796204843,14.25324167,3.110988736
84,15.22,7.301483333,4.240704451,1.8473778,11.26074167,2.407920002
85,12.35483333,4.722866667,3.039477781,1.458956634,8.53885,1.830658195
86,7.6572,5.690675,1.957985006,2.334219177,6.6739375,1.50389884
87,6.380058333,8.1459,1.340413335,2.782744439,7.262979167,1.521606832
88,4.9424,5.0659,1.720352324,1.501371513,5.00415,1.116658837
89,5.047825,8.138241667,1.319994108,2.999853935,6.593033333,1.634757836
90,4.926791667,10.73781667,1.734506354,3.573668398,7.832304167,2.034804793
91,3.2832,5.444833333,0.882940458,1.493099303,4.364016667,0.877676682
92,5.6352,10.97583333,1.711527142,3.133682232,8.305516667,1.83269442
93,8.340233333,9.247375,2.722021867,3.061756822,8.793804167,2.005605133
94,5.920108333,7.486233333,1.695712014,2.13486556,6.703170833,1.343182187
95,8.649166667,10.47805833,2.123726163,3.269833884,9.5636125,1.916148272
96,2.650516667,3.321733333,0.877782132,1.050042664,2.986125,0.672911708
97,6.298033333,8.896283333,1.786696827,3.720910387,7.597158333,2.03655457
98,7.823966667,6.022033333,2.478254177,2.517423163,6.923,1.737653819
99,2.583591667,2.503983333,0.834153466,1.083345895,2.5437875,0.668663859
100,2.0054,4.848441667,0.804095119,2.038721828,3.426920833,1.111930901
101,4.777033333,6.605033333,1.096009379,1.963164165,5.691033333,1.1158789
102,5.90245,8.461283333,1.576298234,1.931621725,7.181866667,1.248028696
103,6.295725,3.64985,2.079152239,1.4068073,4.9727875,1.258208839
104,5.014325,7.039916667,1.308088538,2.277653699,6.027120833,1.301657244
105,10.91,10.232,1.925680124,2.125116054,10.571,1.404169459
106,11.795,13.3255,2.545030065,2.570288854,12.56025,1.775989658
107,14.36414167,6.473758333,3.011976433,2.351953463,10.41895,2.041789672
108,15.97333333,13.60536667,3.115482922,3.440110959,14.78935,2.282971951
109,17.05305,14.94291667,3.938869025,3.368073164,15.99798333,2.543837386
110,17.45666667,14.48236667,3.699450068,3.253867955,15.96951667,2.429137852
111,12.03916667,12.51028333,4.095800595,2.939730207,12.274725,2.465873748
112,9.22725,12.37811667,2.742268496,2.902682336,10.80268333,1.980149281
113,7.3404,9.661333333,2.109316457,2.645221805,8.500866667,1.672045891
114,8.935775,6.742066667,3.838473431,1.661639231,7.838920833,2.058124587
115,7.986533333,9.6887,2.092609751,2.797587033,8.837616667,1.717615145
116,6.074166667,5.158833333,1.493204028,1.134007274,5.6165,0.921846634
117,1.846616667,1.382116667,0.562809356,0.487986219,1.614366667,0.367471213
118,4.095983333,3.922275,1.35095002,1.001690439,4.009129167,0.822615578
119,3.599416667,3.716983333,0.884428993,1.249383929,3.6582,0.748648554
120,4.340816667,4.425083333,1.581179156,2.167356818,4.38295,1.311957917
121,5.912191667,4.477116667,2.484256587,2.020789046,5.194654167,1.573116754
122,5.759883333,2.525733333,2.050878273,1.019790462,4.142808333,1.169695986
123,3.924308333,4.605333333,2.293150102,1.551244487,4.264820833,1.35571065
124,4.7457,3.735416667,1.942470973,1.686480975,4.240558333,1.262346533
125,4.116391667,1.975816667,1.912151256,0.581693177,3.046104167,1.002525223
126,13.14916667,12.56366667,2.259701797,2.624160262,12.85641667,1.694547312
127,9.82625,2.924408333,3.466454503,1.069330503,6.375329167,1.914335105
128,4.7505,1.791141667,1.650727578,0.579189116,3.270820833,0.9094059
129,11.29041667,13.98616667,2.259723976,2.105408871,12.63829167,1.536254781
130,18.01241667,17.36333333,3.593628485,2.920033814,17.687875,2.265329659
131,14.40125,9.442416667,3.730656887,2.777323939,11.92183333,2.332379051
132,17.98933333,7.151366667,3.970907066,1.641612467,12.57035,2.385753456
133,19.0917,14.0575,6.367361225,2.920365825,16.5746,3.465549914
134,20.93286667,12.44203333,5.042714376,2.046501586,16.68745,2.80463759
135,7.139833333,4.944816667,2.379596228,2.014014898,6.042325,1.541562769
136,8.2289,8.149416667,1.930807517,1.724649734,8.189158333,1.266027138
137,11.44916667,5.208316667,4.076500367,2.213109798,8.328741667,2.359748129
138,4.083533333,8.78925,1.486007172,2.348527931,6.436391667,1.444883725
139,5.615,6.81025,2.047781072,1.900958985,6.212625,1.372017615
140,5.12315,3.956783333,1.800698267,1.400552727,4.539966667,1.122157178
141,3.608275,3.306866667,1.633949009,1.114631355,3.457570833,0.967735368
142,4.880283333,1.874916667,1.482854085,0.649673654,3.3776,0.851422945
143,8.724158333,5.345983333,2.336174812,1.899703342,7.035070833,1.513981751
144,4.043116667,1.458866667,2.337878331,0.615613343,2.750991667,1.212528598
145,1.759916667,2.572166667,0.476666341,0.76830997,2.166041667,0.45018103
146,5.076583333,6.002241667,1.855322236,2.794562571,5.5394125,1.64315595
147,8.956025,1.858666667,4.373876516,0.7653686,5.407345833,2.293984009
148,6.195616667,1.538866667,3.136338332,0.48348343,3.867241667,1.625989854
149,5.152683333,3.486125,1.470875643,1.081781584,4.319404167,0.909606943
150,14.56083333,8.500416667,4.043623948,1.980143519,11.530625,2.29059902
151,8.750366667,2.718366667,2.464682477,1.343145577,5.734366667,1.509810017
152,2.9085,3.28125,0.840696064,0.964118133,3.094875,0.626735874
153,10.47986667,13.2075,3.739964816,3.132627691,11.84368333,2.402569348
154,16.02536667,20.3875,3.456749517,4.258980952,18.20643333,2.720623727
155,13.42286667,12.62375,4.38396968,2.729103327,13.02330833,2.526633953
156,15.88361667,14.4225,4.383817044,3.071562411,15.15305833,2.621994153
157,18.7412,8.354766667,2.880749279,2.280074585,13.54798333,2.097674802
158,11.85156667,14.28483333,3.749037959,2.699522971,13.0682,2.273334087
159,11.23703333,10.7,2.266695261,2.400606615,10.96851667,1.615503806
160,12.84528333,7.570441667,3.783742721,3.041583401,10.2078625,2.436851593
161,4.407616667,3.623033333,1.606878067,0.965175753,4.015325,0.920274303
162,10.70916667,7.749583333,3.994043569,2.07747552,9.229375,2.223054797
163,7.602283333,6.5232,2.078550445,2.065121488,7.062741667,1.437224804
164,7.268,4.491366667,2.206138403,1.421618686,5.879683333,1.315652889
165,1.72325,5.181916667,0.578184176,1.591242141,3.452583333,0.903026565
166,8.215,3.032616667,1.842273176,0.733606792,5.623808333,1.110054755
167,1.367266667,3.327483333,0.485570692,2.026646801,2.347375,1.039388014
168,3.152166667,5.78565,1.426521276,2.156293538,4.468908333,1.293779682
169,3.174366667,1.341766667,1.065254417,0.509777229,2.258066667,0.608280705
170,8.3105,3.936283333,3.676692553,0.895504423,6.123391667,1.905865346
171,1.8151,1.982475,0.727373925,0.622996039,1.8987875,0.468651465
172,2.471175,4.636366667,0.804657086,2.312699221,3.553770833,1.218521782
173,4.840833333,2.850166667,1.375084272,1.101220685,3.8455,0.886129323
174,11.16416667,10.68333333,1.983278376,1.997489839,10.92375,1.377399463
175,9.689133333,5.004616667,2.030475006,1.331437628,7.346875,1.283875351
176,4.404033333,3.4465,2.191461098,0.840699037,3.925266667,1.152129199
177,13.69266667,17.29783333,3.059947735,3.500401903,15.49525,2.304417512
178,10.894,16.04075,2.721875568,4.097726009,13.467375,2.464725636
179,17.05916667,13.86583333,3.63396925,3.567030099,15.4625,2.512241713
180,25.37008333,15.46083333,5.766402298,3.236323311,20.41545833,3.394604549
181,17.2725,14.80166667,4.741015766,3.295400108,16.03708333,2.835176264
182,11.87558333,7.19795,3.496267873,2.319064476,9.536766667,2.10878889
183,11.7045,14.56351667,2.58887198,4.128801458,13.13400833,2.401669907
184,11.14826667,6.60595,4.872507831,2.002811167,8.877108333,2.619304408
185,9.352416667,3.6684,3.04243832,1.191588169,6.510408333,1.704173068
186,5.05645,9.098283333,2.167445398,3.251765028,7.077366667,1.956916148
187,9.954733333,5.4574,3.598651416,1.590031479,7.706066667,1.980208689
188,7.420266667,6.122783333,1.926492726,1.630208593,6.771525,1.241494791
189,4.228616667,6.900033333,1.580623605,2.46257887,5.564325,1.457794313
190,2.822758333,1.933341667,1.304952259,1.303286933,2.37805,0.906636888
191,5.829833333,2.049083333,2.10357619,0.759148886,3.939458333,1.162472751
192,5.498041667,2.67675,2.409702698,0.935866793,4.087395833,1.297887033
193,3.599083333,1.838091667,1.120716238,0.763502515,2.7185875,0.688080136
194,5.471,6.196516667,1.376437095,2.607310691,5.833758333,1.443744501
195,5.689525,1.687075,2.649877215,0.581743415,3.6883,1.390752254
196,3.0475,2.043316667,0.662111676,0.644332281,2.545408333,0.463758456
197,8.354366667,5.862116667,2.673995522,1.558689413,7.108241667,1.535684716
198,8.554333333,3.11245,2.682635405,1.677458129,5.833391667,1.64793303
199,7.161533333,8.946033333,2.387030098,3.074928162,8.053783333,1.912636894
200,7.81325,5.1075,2.435891222,1.30081968,6.460375,1.379533777
201,12.43883333,18.92666667,2.671353674,3.859146226,15.68275,2.39277232
202,14.45,25.83333333,3.195549699,3.917256564,20.14166667,2.742225946
203,18.6485,17.63453333,5.053884357,4.671552938,18.14151667,3.367139018
204,19.3912,12.7772,5.804248605,3.740608119,16.0842,3.446385815
205,24.98141667,15.77691667,4.362009185,3.241370776,20.37916667,2.825470738
206,10.82286667,12.34695,2.797845809,3.950073191,11.58490833,2.372407639
207,9.418166667,10.7132,3.819697755,2.752552012,10.06568333,2.306284063
208,9.4937,9.182983333,4.088296599,3.3157964,9.338341667,2.57430318
209,7.9924,6.350416667,3.429095094,2.484609394,7.171408333,2.077832282
210,5.451833333,6.83545,1.741430746,2.044477402,6.143641667,1.321184871
211,5.732166667,8.515583333,2.174039854,2.810905272,7.123875,1.761778494
212,8.819025,7.629766667,3.490656491,2.6082329,8.224395833,2.134450063
213,3.84865,2.77715,1.610170036,1.184719294,3.3129,0.983917823
214,3.33285,3.6285,1.661666906,2.283346983,3.480675,1.38129286
215,2.397816667,3.060733333,0.768483939,1.619892847,2.729275,0.879482971
216,4.489816667,4.332783333,2.602024039,1.608895634,4.4113,1.496097435
217,7.125333333,2.230866667,2.842838174,0.959636272,4.6781,1.553445254
218,6.243508333,4.0255,2.32188068,1.404397954,5.134504167,1.346960177
219,2.2786,1.521058333,0.721766807,0.685690959,1.899829167,0.493198264
220,7.476866667,2.393591667,2.456075588,1.316827598,4.935229167,1.462202082
221,2.154916667,3.648,0.837551989,1.688424938,2.901458333,0.934712721
222,5.644166667,4.987866667,1.061596467,1.28087662,5.316016667,0.816398727
223,13.07891667,8.765866667,4.329183294,3.331075534,10.92239167,2.708753983
224,8.453666667,6.343166667,2.603265904,1.601750306,7.398416667,1.510799361
225,12.05728333,22.09916667,3.080604904,4.413115861,17.078225,2.832431013
226,15.29595,26.06666667,4.583115164,4.062006769,20.68130833,3.198360478
227,21.64061667,18.84416667,6.464867026,4.964102418,20.24239167,3.996506816
228,19.7312,18.79583333,5.03127345,3.888114651,19.26351667,3.110920751
229,11.81693333,15.34203333,3.783596298,3.71802953,13.57948333,2.619931774
230,15.73553333,12.66645,4.776367778,3.834453476,14.20099167,3.012270504
231,13.56606667,11.785,4.646012553,3.734689452,12.67553333,2.92088736
232,8.166366667,9.505366667,2.514795981,1.922786901,8.835866667,1.554312736
233,9.525116667,8.946166667,3.272736894,2.906141415,9.235641667,2.1411532
234,8.20495,10.04525,3.010932895,3.090585085,9.1251,2.118680454
235,10.40078333,14.83,4.149457972,1.703399008,12.61539167,2.241526296
236,8.30975,7.42595,2.896367056,2.238749082,7.86785,1.792501813
237,2.972583333,3.3971,1.061892082,1.891585432,3.184841667,1.061714363
238,6.00145,5.840583333,1.636170092,1.448250964,5.921016667,1.068646612
