pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,,,,
1,2,,,,
2,3,,,,
3,4,,,,
4,5,,,,
5,6,,,,
6,7,,,,
7,8,,,,
8,9,,,,
9,10,,,,
10,11,,,,
11,12,,,,
