pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,10,,,
1,2,10,,,
2,3,5,,,
3,4,5,,,
4,5,2,,,
5,6,2,,,
6,7,3,,,
7,8,3,,,
8,9,7,,,
9,10,7,,,
10,11,15,,,
11,12,9,,,
12,13,9,,,
13,14,4,,,
14,15,4,,,
15,16,6,,,
16,17,6,,,
