pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,50,,,
3,4,30,,,
4,5,10,,,
5,6,20,,,
6,7,20,,,
7,8,30,,,
8,9,40,,,
9,10,35,,,
10,11,15,,,
11,12,15,,,
