pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,15,,,
1,2,20,,,
2,3,25,,,
3,4,30,,,
4,5,40,,,
5,6,50,,,
6,7,5,,,
7,8,10,,,
8,9,20,,,
9,10,30,,,
