pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,exclude
1,2,20,,,
2,3,0,,,exclude
3,4,10,,,
4,5,10,,,
5,6,10,,,
6,7,5,,,
7,8,5,,,
8,9,15,,,
9,10,20,,,
