pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,10,,,
1,2,15,,,
2,3,8,,,
3,4,8,,,
4,5,3,,,
5,6,3,,,
6,7,4,,,
7,8,5,,,
8,9,12,,,
9,10,12,,,
