pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,50,,,
1,2,10,,,
2,3,30,,,
3,4,20,,,
4,5,40,,,
5,6,15,,,
6,7,25,,,
