pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,10,,,
1,2,7,,,
2,3,6,,,
3,4,2,,,
4,5,4,,,
5,6,6,,,
6,7,12,,,
7,8,15,,,
8,9,8,,,
9,10,10,,,
