Time,50E
6/3/2024 7:00,0.233
6/3/2024 8:00,3.2
6/3/2024 9:00,0.171
6/3/2024 10:00,9.7
6/3/2024 11:00,0.145
6/3/2024 12:00,0.324
6/3/2024 13:00,0.749
6/3/2024 14:00,0.476
6/3/2024 15:00,1.37
6/3/2024 16:00,3.31
6/3/2024 17:00,0.833
6/3/2024 18:00,6.72
6/3/2024 19:00,27
6/3/2024 20:00,13
6/3/2024 21:00,16.1
6/3/2024 22:00,10.3
6/3/2024 23:00,1.12
6/4/2024 0:00,1.97
6/4/2024 1:00,27.5
6/4/2024 2:00,7.6
6/4/2024 3:00,5.87
6/4/2024 4:00,2.86
6/4/2024 5:00,17.4
6/4/2024 6:00,3.35
6/4/2024 7:00,0.308
6/4/2024 8:00,0.561
6/4/2024 9:00,
6/4/2024 10:00,
6/4/2024 11:00,
6/4/2024 12:00,
