Time,A22
5/25/2024 10:00,0.845
5/25/2024 11:00,4.71
5/25/2024 12:00,6.11
5/25/2024 13:00,3.37
5/25/2024 14:00,8.92
5/25/2024 15:00,3.02
5/25/2024 16:00,3.68
5/25/2024 17:00,6.58
5/25/2024 18:00,10.7
5/25/2024 19:00,31.7
5/25/2024 20:00,16.4
5/25/2024 21:00,30.7
5/25/2024 22:00,3.9
5/25/2024 23:00,15.3
5/26/2024 0:00,10.5
5/26/2024 1:00,12.7
5/26/2024 2:00,6.54
5/26/2024 3:00,7.23
5/26/2024 4:00,17.4
5/26/2024 5:00,2.39
5/26/2024 6:00,14.6
5/26/2024 7:00,5.55
5/26/2024 8:00,3.87
5/26/2024 9:00,4.71
5/26/2024 10:00,1.84
5/26/2024 11:00,5.09
5/26/2024 12:00,14.2
5/26/2024 13:00,2.34
5/26/2024 14:00,5.22
5/26/2024 15:00,7.43
5/26/2024 16:00,7.11
5/26/2024 17:00,1.47
5/26/2024 18:00,7.13
5/26/2024 19:00,25.6
5/26/2024 20:00,19
5/26/2024 21:00,15.3
5/26/2024 22:00,16.8
5/26/2024 23:00,11.9
5/27/2024 0:00,15.9
5/27/2024 1:00,8.27
5/27/2024 2:00,9.07
5/27/2024 3:00,8.37
5/27/2024 4:00,6.78
5/27/2024 5:00,10.3
5/27/2024 6:00,17.9
5/27/2024 7:00,12.1
5/27/2024 8:00,3.13
5/27/2024 9:00,4.28
5/27/2024 10:00,3.87
5/27/2024 11:00,2.7
5/27/2024 12:00,2.83
5/27/2024 13:00,13.8
5/27/2024 14:00,3.98
5/27/2024 15:00,7.98
5/27/2024 16:00,14.6
5/27/2024 17:00,5.05
5/27/2024 18:00,10.4
5/27/2024 19:00,20.7
5/27/2024 20:00,9.79
5/27/2024 21:00,14.3
5/27/2024 22:00,19.1
5/27/2024 23:00,6.84
5/28/2024 0:00,11.3
5/28/2024 1:00,22.4
5/28/2024 2:00,6.66
5/28/2024 3:00,7.66
5/28/2024 4:00,20.6
5/28/2024 5:00,1.84
5/28/2024 6:00,17.8
5/28/2024 7:00,0.999
5/28/2024 8:00,8.53
5/28/2024 9:00,17.6
5/28/2024 10:00,24.1
5/28/2024 11:00,20.9
5/28/2024 12:00,22.8
5/28/2024 13:00,15.6
5/28/2024 14:00,6.66
5/28/2024 15:00,15.8
5/28/2024 16:00,1.33
5/28/2024 17:00,3.21
5/28/2024 18:00,3.65
5/28/2024 19:00,11.1
5/28/2024 20:00,2.84
5/28/2024 21:00,0.292
5/28/2024 22:00,1.77
5/28/2024 23:00,7.44
5/29/2024 0:00,0.0573
5/29/2024 1:00,0.0244
5/29/2024 2:00,0.526
5/29/2024 3:00,2.08
5/29/2024 4:00,0.363
5/29/2024 5:00,0.997
5/29/2024 6:00,2.81
5/29/2024 7:00,0.0301
5/29/2024 8:00,1.33
5/29/2024 9:00,0.922
5/29/2024 10:00,0.0244
5/29/2024 11:00,0.163
5/29/2024 12:00,0.0244
5/29/2024 13:00,0.715
5/29/2024 14:00,0.516
5/29/2024 15:00,6.03
5/29/2024 16:00,0.0244
5/29/2024 17:00,0.0244
5/29/2024 18:00,1.36
5/29/2024 19:00,3.99
5/29/2024 20:00,2.3
5/29/2024 21:00,1.71
5/29/2024 22:00,13.7
5/29/2024 23:00,0.125
5/30/2024 0:00,0.804
5/30/2024 1:00,1.27
5/30/2024 2:00,0.574
5/30/2024 3:00,16.2
5/30/2024 4:00,0.0244
5/30/2024 5:00,0.0244
5/30/2024 6:00,7.5
5/30/2024 7:00,0.061
5/30/2024 8:00,0.516
5/30/2024 9:00,0.0244
5/30/2024 10:00,0.0244
5/30/2024 11:00,1.35
5/30/2024 12:00,0.0244
5/30/2024 13:00,1.37
5/30/2024 14:00,0.0244
5/30/2024 15:00,0.813
5/30/2024 16:00,0.514
5/30/2024 17:00,0.085
5/30/2024 18:00,0.521
5/30/2024 19:00,7.61
5/30/2024 20:00,7.07
