Time,50D
5/25/2024 10:00,0.488
5/25/2024 11:00,3.81
5/25/2024 12:00,0.311
5/25/2024 13:00,1.06
5/25/2024 14:00,0.414
5/25/2024 15:00,0.0648
5/25/2024 16:00,3.89
5/25/2024 17:00,0.728
5/25/2024 18:00,0.793
5/25/2024 19:00,15
5/25/2024 20:00,14.7
5/25/2024 21:00,5.21
5/25/2024 22:00,6.89
5/25/2024 23:00,5.45
5/26/2024 0:00,13.3
5/26/2024 1:00,7.6
5/26/2024 2:00,1.53
5/26/2024 3:00,0.583
5/26/2024 4:00,7.01
5/26/2024 5:00,0.646
5/26/2024 6:00,6.87
5/26/2024 7:00,4.96
5/26/2024 8:00,1.13
5/26/2024 9:00,0.798
5/26/2024 10:00,11.2
5/26/2024 11:00,0.692
5/26/2024 12:00,3.73
5/26/2024 13:00,0.17
5/26/2024 14:00,0.0244
5/26/2024 15:00,1.17
5/26/2024 16:00,2.64
5/26/2024 17:00,0.461
5/26/2024 18:00,3.11
5/26/2024 19:00,13.5
5/26/2024 20:00,28.2
5/26/2024 21:00,1.36
5/26/2024 22:00,13.8
5/26/2024 23:00,1.51
5/27/2024 0:00,2.3
5/27/2024 1:00,7
5/27/2024 2:00,0.327
5/27/2024 3:00,3.3
5/27/2024 4:00,10.2
5/27/2024 5:00,2.65
5/27/2024 6:00,6.37
5/27/2024 7:00,2.68
5/27/2024 8:00,0.86
5/27/2024 9:00,0.979
5/27/2024 10:00,1.63
5/27/2024 11:00,0.0244
5/27/2024 12:00,2.73
5/27/2024 13:00,0.0244
5/27/2024 14:00,0.195
5/27/2024 15:00,0.379
5/27/2024 16:00,11.2
5/27/2024 17:00,0.0244
5/27/2024 18:00,2.09
5/27/2024 19:00,20.6
5/27/2024 20:00,15
5/27/2024 21:00,12.2
5/27/2024 22:00,0.338
5/27/2024 23:00,14.3
5/28/2024 0:00,10.9
5/28/2024 1:00,4.73
5/28/2024 2:00,0.532
5/28/2024 3:00,6.68
5/28/2024 4:00,1.56
5/28/2024 5:00,10.1
5/28/2024 6:00,7.04
5/28/2024 7:00,0.765
5/28/2024 8:00,0.133
5/28/2024 9:00,0.482
5/28/2024 10:00,12.5
5/28/2024 11:00,24.3
5/28/2024 12:00,24.5
5/28/2024 13:00,19.6
5/28/2024 14:00,3.81
5/28/2024 15:00,0.604
5/28/2024 16:00,1.57
5/28/2024 17:00,0.0244
5/28/2024 18:00,0.804
5/28/2024 19:00,0.765
5/28/2024 20:00,3.02
5/28/2024 21:00,1.12
5/28/2024 22:00,0.879
5/28/2024 23:00,0.2
5/29/2024 0:00,0.0922
5/29/2024 1:00,0.562
5/29/2024 2:00,0.0524
5/29/2024 3:00,0.0787
5/29/2024 4:00,0.713
5/29/2024 5:00,2
5/29/2024 6:00,0.13
5/29/2024 7:00,0.0244
5/29/2024 8:00,0.0244
5/29/2024 9:00,3.84
5/29/2024 10:00,7.33
5/29/2024 11:00,0.798
5/29/2024 12:00,0.0642
5/29/2024 13:00,0.0244
5/29/2024 14:00,0.118
5/29/2024 15:00,11.7
5/29/2024 16:00,4.38
5/29/2024 17:00,0.0244
5/29/2024 18:00,0.219
5/29/2024 19:00,0.714
5/29/2024 20:00,3.83
5/29/2024 21:00,0.0341
5/29/2024 22:00,0.0244
5/29/2024 23:00,2.54
5/30/2024 0:00,15.3
5/30/2024 1:00,0.959
5/30/2024 2:00,0.0244
5/30/2024 3:00,0.307
5/30/2024 4:00,0.0244
5/30/2024 5:00,4.4
5/30/2024 6:00,5.7
5/30/2024 7:00,0.051
5/30/2024 8:00,0.0773
5/30/2024 9:00,2.21
5/30/2024 10:00,0.314
5/30/2024 11:00,1.16
5/30/2024 12:00,0.0519
5/30/2024 13:00,0.431
5/30/2024 14:00,0.87
5/30/2024 15:00,0.0244
5/30/2024 16:00,17.8
5/30/2024 17:00,0.301
5/30/2024 18:00,0.0692
5/30/2024 19:00,6.68
5/30/2024 20:00,16
5/30/2024 21:00,12
5/30/2024 22:00,0.0244
5/30/2024 23:00,9.66
5/31/2024 0:00,16.6
5/31/2024 1:00,0.658
5/31/2024 2:00,1.5
5/31/2024 3:00,3.12
5/31/2024 4:00,16.5
5/31/2024 5:00,1.66
5/31/2024 6:00,2.07
5/31/2024 7:00,0.497
5/31/2024 8:00,0.366
5/31/2024 9:00,0.793
5/31/2024 10:00,0.293
5/31/2024 11:00,2.48
5/31/2024 12:00,0.108
5/31/2024 13:00,0.0511
5/31/2024 14:00,0.3
5/31/2024 15:00,0.449
5/31/2024 16:00,1.24
5/31/2024 17:00,1.78
5/31/2024 18:00,2.27
5/31/2024 19:00,6.41
5/31/2024 20:00,25.2
5/31/2024 21:00,4.81
5/31/2024 22:00,17.7
5/31/2024 23:00,0.772
6/1/2024 0:00,2.87
6/1/2024 1:00,14.2
6/1/2024 2:00,0.268
6/1/2024 3:00,0.918
6/1/2024 4:00,0.908
6/1/2024 5:00,17.4
6/1/2024 6:00,2.69
6/1/2024 7:00,1.58
6/1/2024 8:00,3.08
6/1/2024 9:00,2.2
6/1/2024 10:00,0.68
6/1/2024 11:00,0.0244
6/1/2024 12:00,0.171
6/1/2024 13:00,0.0244
6/1/2024 14:00,0.0244
6/1/2024 15:00,0.15
6/1/2024 16:00,10.8
6/1/2024 17:00,3.35
6/1/2024 18:00,6.39
6/1/2024 19:00,14.4
6/1/2024 20:00,6.92
6/1/2024 21:00,1.47
6/1/2024 22:00,9.95
6/1/2024 23:00,7.88
6/2/2024 0:00,0.221
6/2/2024 1:00,1.56
6/2/2024 2:00,0.0244
6/2/2024 3:00,10.1
6/2/2024 4:00,0.805
6/2/2024 5:00,0.0244
6/2/2024 6:00,6.91
6/2/2024 7:00,0.698
6/2/2024 8:00,0.415
6/2/2024 9:00,2.23
6/2/2024 10:00,1.12
6/2/2024 11:00,0.423
6/2/2024 12:00,0.477
6/2/2024 13:00,0.0244
6/2/2024 14:00,2.07
6/2/2024 15:00,13.8
6/2/2024 16:00,1.42
6/2/2024 17:00,0.884
6/2/2024 18:00,4.83
6/2/2024 19:00,19
6/2/2024 20:00,15.4
6/2/2024 21:00,5.11
6/2/2024 22:00,7.24
6/2/2024 23:00,1.53
6/3/2024 0:00,2.23
6/3/2024 1:00,8.09
6/3/2024 2:00,0.0244
6/3/2024 3:00,2.18
6/3/2024 4:00,1.68
6/3/2024 5:00,0.217
6/3/2024 6:00,3.7
6/3/2024 7:00,2.16
6/3/2024 8:00,3.56
6/3/2024 9:00,0.0244
6/3/2024 10:00,0.155
6/3/2024 11:00,0.612
6/3/2024 12:00,1.02
6/3/2024 13:00,0.272
6/3/2024 14:00,0.209
6/3/2024 15:00,1.36
6/3/2024 16:00,6.89
6/3/2024 17:00,0.878
6/3/2024 18:00,0.115
6/3/2024 19:00,25
6/3/2024 20:00,15.6
6/3/2024 21:00,2.29
6/3/2024 22:00,19.4
6/3/2024 23:00,6.7
6/4/2024 0:00,0.0244
6/4/2024 1:00,2.23
6/4/2024 2:00,8.48
6/4/2024 3:00,0.783
6/4/2024 4:00,0.216
6/4/2024 5:00,11.8
6/4/2024 6:00,6.46
6/4/2024 7:00,0.0244
6/4/2024 8:00,5.67
6/4/2024 9:00,
6/4/2024 10:00,
6/4/2024 11:00,
6/4/2024 12:00,
