Time,B5F
5/25/2024 10:00,7.26
5/25/2024 11:00,0.416
5/25/2024 12:00,1.36
5/25/2024 13:00,6.44
5/25/2024 14:00,2.75
5/25/2024 15:00,0.0586
5/25/2024 16:00,21.6
5/25/2024 17:00,0.0244
5/25/2024 18:00,3.81
5/25/2024 19:00,24.3
5/25/2024 20:00,40.1
5/25/2024 21:00,38
5/25/2024 22:00,43.9
5/25/2024 23:00,36.8
5/26/2024 0:00,9.64
5/26/2024 1:00,36.8
5/26/2024 2:00,27.1
5/26/2024 3:00,4.63
5/26/2024 4:00,12.2
5/26/2024 5:00,29.6
5/26/2024 6:00,2.44
5/26/2024 7:00,6.07
5/26/2024 8:00,2.32
5/26/2024 9:00,5.76
5/26/2024 10:00,0.727
5/26/2024 11:00,7.09
5/26/2024 12:00,1.09
5/26/2024 13:00,0.977
5/26/2024 14:00,15.3
5/26/2024 15:00,14.5
5/26/2024 16:00,18.1
5/26/2024 17:00,3.01
5/26/2024 18:00,3.48
5/26/2024 19:00,51.7
5/26/2024 20:00,53.4
5/26/2024 21:00,44
5/26/2024 22:00,30.4
5/26/2024 23:00,12.6
5/27/2024 0:00,7.31
5/27/2024 1:00,10.9
5/27/2024 2:00,7.75
5/27/2024 3:00,1.82
5/27/2024 4:00,1.05
5/27/2024 5:00,32
5/27/2024 6:00,10.4
5/27/2024 7:00,0.76
5/27/2024 8:00,0.256
5/27/2024 9:00,0.96
5/27/2024 10:00,1.77
5/27/2024 11:00,0.0244
5/27/2024 12:00,10.8
5/27/2024 13:00,0.173
5/27/2024 14:00,0.0244
5/27/2024 15:00,2.34
5/27/2024 16:00,13.1
5/27/2024 17:00,0.0337
5/27/2024 18:00,1.07
5/27/2024 19:00,34.7
5/27/2024 20:00,47.3
5/27/2024 21:00,38.7
5/27/2024 22:00,29.1
5/27/2024 23:00,7.66
5/28/2024 0:00,38.7
5/28/2024 1:00,8.84
5/28/2024 2:00,2.18
5/28/2024 3:00,27.3
5/28/2024 4:00,0.483
5/28/2024 5:00,25.7
5/28/2024 6:00,4.7
5/28/2024 7:00,2.47
5/28/2024 8:00,6.66
5/28/2024 9:00,8.4
5/28/2024 10:00,12.5
5/28/2024 11:00,9.97
5/28/2024 12:00,22.8
5/28/2024 13:00,29
5/28/2024 14:00,1.93
5/28/2024 15:00,15.1
5/28/2024 16:00,2.51
5/28/2024 17:00,11.9
5/28/2024 18:00,7.15
5/28/2024 19:00,15.2
5/28/2024 20:00,13.9
5/28/2024 21:00,7.32
5/28/2024 22:00,9.42
5/28/2024 23:00,5.49
5/29/2024 0:00,1.52
5/29/2024 1:00,0.0244
5/29/2024 2:00,0.108
5/29/2024 3:00,12.7
5/29/2024 4:00,7.23
5/29/2024 5:00,0.261
5/29/2024 6:00,2.04
5/29/2024 7:00,0.166
5/29/2024 8:00,0.989
5/29/2024 9:00,2.91
5/29/2024 10:00,0.422
5/29/2024 11:00,1.25
5/29/2024 12:00,0.0244
5/29/2024 13:00,0.633
5/29/2024 14:00,0.77
5/29/2024 15:00,6.09
5/29/2024 16:00,5.63
5/29/2024 17:00,0.198
5/29/2024 18:00,1.55
5/29/2024 19:00,23.2
5/29/2024 20:00,26.4
5/29/2024 21:00,14.6
5/29/2024 22:00,1.42
5/29/2024 23:00,3.59
5/30/2024 0:00,15
5/30/2024 1:00,14
5/30/2024 2:00,0.629
5/30/2024 3:00,5.98
5/30/2024 4:00,10.4
5/30/2024 5:00,3.59
5/30/2024 6:00,1.86
5/30/2024 7:00,0.354
5/30/2024 8:00,5.83
5/30/2024 9:00,1.97
5/30/2024 10:00,0.239
5/30/2024 11:00,0.708
5/30/2024 12:00,0.413
5/30/2024 13:00,2.92
5/30/2024 14:00,0.953
5/30/2024 15:00,0.356
5/30/2024 16:00,5.79
5/30/2024 17:00,0.0244
5/30/2024 18:00,3.61
5/30/2024 19:00,22.2
5/30/2024 20:00,25.7
5/30/2024 21:00,25
5/30/2024 22:00,4.18
5/30/2024 23:00,3.1
5/31/2024 0:00,2.06
5/31/2024 1:00,2.89
5/31/2024 2:00,17.8
5/31/2024 3:00,2.02
5/31/2024 4:00,1.41
5/31/2024 5:00,15.7
5/31/2024 6:00,0.798
5/31/2024 7:00,0.644
5/31/2024 8:00,2.09
5/31/2024 9:00,5.06
5/31/2024 10:00,0.522
5/31/2024 11:00,0.509
5/31/2024 12:00,1.14
5/31/2024 13:00,0.0435
5/31/2024 14:00,4.19
5/31/2024 15:00,0.0615
5/31/2024 16:00,9.67
5/31/2024 17:00,0.103
5/31/2024 18:00,6.8
5/31/2024 19:00,35.5
5/31/2024 20:00,44.6
5/31/2024 21:00,30.6
