Time,55C
5/25/2024 10:00,4.26
5/25/2024 11:00,5.45
5/25/2024 12:00,1.67
5/25/2024 13:00,2.65
5/25/2024 14:00,4.43
5/25/2024 15:00,1.93
5/25/2024 16:00,8.16
5/25/2024 17:00,4.53
5/25/2024 18:00,1.86
5/25/2024 19:00,16.8
5/25/2024 20:00,19.5
5/25/2024 21:00,8.23
5/25/2024 22:00,4.95
5/25/2024 23:00,4.73
5/26/2024 0:00,16.4
5/26/2024 1:00,3.75
5/26/2024 2:00,23.8
5/26/2024 3:00,0.413
5/26/2024 4:00,3.38
5/26/2024 5:00,3.88
5/26/2024 6:00,23.2
5/26/2024 7:00,0.302
5/26/2024 8:00,1.26
5/26/2024 9:00,10.7
5/26/2024 10:00,0.771
5/26/2024 11:00,7.89
5/26/2024 12:00,2.58
5/26/2024 13:00,2.78
5/26/2024 14:00,1.49
5/26/2024 15:00,4.71
5/26/2024 16:00,16.6
5/26/2024 17:00,7.28
5/26/2024 18:00,2.84
5/26/2024 19:00,25.7
5/26/2024 20:00,25.2
5/26/2024 21:00,1.84
5/26/2024 22:00,5.75
5/26/2024 23:00,19.4
5/27/2024 0:00,12.2
5/27/2024 1:00,2.35
5/27/2024 2:00,5.96
5/27/2024 3:00,4.12
5/27/2024 4:00,3.76
5/27/2024 5:00,16.6
5/27/2024 6:00,9.24
5/27/2024 7:00,1.3
5/27/2024 8:00,9.84
5/27/2024 9:00,7.03
5/27/2024 10:00,4.25
5/27/2024 11:00,4.35
5/27/2024 12:00,2.64
5/27/2024 13:00,2.15
5/27/2024 14:00,5.37
5/27/2024 15:00,2.07
5/27/2024 16:00,16.3
5/27/2024 17:00,1.28
5/27/2024 18:00,13
5/27/2024 19:00,10.8
5/27/2024 20:00,32.5
5/27/2024 21:00,3.31
5/27/2024 22:00,5.9
5/27/2024 23:00,10.8
5/28/2024 0:00,3.66
5/28/2024 1:00,4.85
5/28/2024 2:00,8.26
5/28/2024 3:00,11.4
5/28/2024 4:00,1.13
5/28/2024 5:00,3.96
5/28/2024 6:00,9.08
5/28/2024 7:00,1.27
