Time,B65
5/29/2024 3:00,0.0244
5/29/2024 4:00,0.0244
5/29/2024 5:00,5.57
5/29/2024 6:00,2.66
5/29/2024 7:00,0.865
5/29/2024 8:00,0.0244
5/29/2024 9:00,1.21
5/29/2024 10:00,0.0244
5/29/2024 11:00,0.0244
5/29/2024 12:00,0.847
5/29/2024 13:00,0.0244
5/29/2024 14:00,1.82
5/29/2024 15:00,2.29
5/29/2024 16:00,0.171
5/29/2024 17:00,0.0244
5/29/2024 18:00,1.32
5/29/2024 19:00,3.65
5/29/2024 20:00,3.84
5/29/2024 21:00,0.708
5/29/2024 22:00,14
5/29/2024 23:00,14.1
5/30/2024 0:00,0.0244
5/30/2024 1:00,0.0244
5/30/2024 2:00,10.3
5/30/2024 3:00,0.809
5/30/2024 4:00,0.386
5/30/2024 5:00,11.4
5/30/2024 6:00,0.61
5/30/2024 7:00,0.0244
5/30/2024 8:00,0.104
5/30/2024 9:00,0.0244
5/30/2024 10:00,1.66
5/30/2024 11:00,0.308
5/30/2024 12:00,0.297
5/30/2024 13:00,0.89
5/30/2024 14:00,0.138
5/30/2024 15:00,0.544
5/30/2024 16:00,6.74
5/30/2024 17:00,0.0401
5/30/2024 18:00,2.03
5/30/2024 19:00,14.5
5/30/2024 20:00,15.6
5/30/2024 21:00,27.7
5/30/2024 22:00,0.132
5/30/2024 23:00,20.4
5/31/2024 0:00,15.7
5/31/2024 1:00,0.605
5/31/2024 2:00,0.303
5/31/2024 3:00,10.9
5/31/2024 4:00,0.426
5/31/2024 5:00,2.66
5/31/2024 6:00,14.9
5/31/2024 7:00,3.89
5/31/2024 8:00,2.72
5/31/2024 9:00,0.779
5/31/2024 10:00,0.237
5/31/2024 11:00,0.375
5/31/2024 12:00,0.206
5/31/2024 13:00,0.253
5/31/2024 14:00,0.608
5/31/2024 15:00,0.823
5/31/2024 16:00,1.8
5/31/2024 17:00,0.508
5/31/2024 18:00,0.62
5/31/2024 19:00,15.2
5/31/2024 20:00,26
5/31/2024 21:00,0.185
5/31/2024 22:00,27.1
5/31/2024 23:00,5.25
6/1/2024 0:00,20.3
6/1/2024 1:00,10.9
6/1/2024 2:00,0.0339
6/1/2024 3:00,8.03
6/1/2024 4:00,0.316
6/1/2024 5:00,22.2
6/1/2024 6:00,6.63
6/1/2024 7:00,3.51
6/1/2024 8:00,8.19
6/1/2024 9:00,0.312
6/1/2024 10:00,1.17
6/1/2024 11:00,0.168
6/1/2024 12:00,1.25
6/1/2024 13:00,2.19
6/1/2024 14:00,0.297
6/1/2024 15:00,1.78
6/1/2024 16:00,3.92
6/1/2024 17:00,0.838
6/1/2024 18:00,0.141
6/1/2024 19:00,26
6/1/2024 20:00,25.2
6/1/2024 21:00,4.34
6/1/2024 22:00,19.1
6/1/2024 23:00,32
6/2/2024 0:00,0.0244
6/2/2024 1:00,2.33
6/2/2024 2:00,13.9
6/2/2024 3:00,0.0244
6/2/2024 4:00,15.2
6/2/2024 5:00,5.68
6/2/2024 6:00,1.72
6/2/2024 7:00,1.56
6/2/2024 8:00,0.0886
6/2/2024 9:00,0.38
6/2/2024 10:00,4.42
6/2/2024 11:00,0.0683
6/2/2024 12:00,0.0244
6/2/2024 13:00,0.563
6/2/2024 14:00,1.66
6/2/2024 15:00,3.65
6/2/2024 16:00,1.63
6/2/2024 17:00,0.188
6/2/2024 18:00,0.707
6/2/2024 19:00,10.9
6/2/2024 20:00,10.6
6/2/2024 21:00,0.0244
6/2/2024 22:00,12.7
6/2/2024 23:00,0.993
6/3/2024 0:00,7.81
6/3/2024 1:00,23.6
6/3/2024 2:00,1.14
6/3/2024 3:00,0.322
6/3/2024 4:00,1.39
6/3/2024 5:00,12.9
6/3/2024 6:00,0.0244
6/3/2024 7:00,5.58
6/3/2024 8:00,0.65
6/3/2024 9:00,0.216
6/3/2024 10:00,1.14
6/3/2024 11:00,0.367
6/3/2024 12:00,0.949
6/3/2024 13:00,0.284
6/3/2024 14:00,0.143
6/3/2024 15:00,0.177
6/3/2024 16:00,2.56
6/3/2024 17:00,0.124
6/3/2024 18:00,1.47
6/3/2024 19:00,16.2
6/3/2024 20:00,15.4
6/3/2024 21:00,9.63
6/3/2024 22:00,3.5
6/3/2024 23:00,19.7
6/4/2024 0:00,6.61
6/4/2024 1:00,7.81
6/4/2024 2:00,0.25
6/4/2024 3:00,0.793
6/4/2024 4:00,4.49
6/4/2024 5:00,14.3
6/4/2024 6:00,0.0244
6/4/2024 7:00,0.0244
6/4/2024 8:00,11.9
6/4/2024 9:00,
6/4/2024 10:00,
6/4/2024 11:00,
6/4/2024 12:00,
