x	y	name	color	
169.76443481445312	245.92425537109375	FLAG-only	-179
245.14459228515625	195.15802001953125	FLAG-only	-179
183.60977172851562	741.279541015625	FLAG-only	-179
266.6817626953125	679.7447509765625	FLAG-only	-179
320.5247497558594	830.5050659179688	FLAG-only	-179
275.9119873046875	813.5829467773438	FLAG-only	-179
217.45391845703125	487.44842529296875	FLAG-only	-179
265.1434020996094	468.98797607421875	FLAG-only	-179
575.8942260742188	836.6585083007812	FLAG-only	-179
651.2744140625	702.8203125	FLAG-only	-179
598.9697875976562	650.5156860351562	FLAG-only	-179
685.1185302734375	321.3044128417969	FLAG-only	-179
631.2755737304688	321.3044128417969	FLAG-only	-179
680.50341796875	907.423583984375	FLAG-only	-179
660.504638671875	93.62557220458984	FLAG-only	-179
69.77034759521484	222.84869384765625	TH-only	-16711681
112.8447265625	596.6727294921875	TH-only	-16711681
35.92620086669922	710.5121459960938	TH-only	-16711681
43.6180534362793	836.6585083007812	TH-only	-16711681
326.67822265625	324.3811340332031	TH-only	-16711681
297.4491882324219	418.22174072265625	TH-only	-16711681
437.4408874511719	722.819091796875	TH-only	-16711681
529.7431030273438	670.5145263671875	TH-only	-16711681
506.6675720214844	578.2122802734375	TH-only	-16711681
465.1315612792969	475.1414489746094	TH-only	-16711681
509.74432373046875	332.072998046875	TH-only	-16711681
522.05126953125	273.61492919921875	TH-only	-16711681
672.8115844726562	798.1992797851562	TH-only	-16711681
855.877685546875	878.1945190429688	TH-only	-16711681
728.1929321289062	861.2724609375	TH-only	-16711681
791.26611328125	676.66796875	TH-only	-16711681
758.9603271484375	705.8970336914062	TH-only	-16711681
689.733642578125	418.22174072265625	TH-only	-16711681
631.2755737304688	455.14263916015625	TH-only	-16711681
869.7230224609375	325.9195251464844	TH-only	-16711681
922.027587890625	339.7648620605469	TH-only	-16711681
943.5648193359375	947.4212036132812	TH-only	-16711681
71.30872344970703	98.24068450927734	FLAG+TH	-16711936
125.15168762207031	324.3811340332031	FLAG+TH	-16711936
111.30635070800781	404.37640380859375	FLAG+TH	-16711936
62.07849884033203	470.5263366699219	FLAG+TH	-16711936
52.84827423095703	550.5216064453125	FLAG+TH	-16711936
14.389013290405273	632.0552368164062	FLAG+TH	-16711936
57.46338653564453	667.437744140625	FLAG+TH	-16711936
154.38072204589844	784.3539428710938	FLAG+TH	-16711936
209.76206970214844	776.6620483398438	FLAG+TH	-16711936
192.83999633789062	573.59716796875	FLAG+TH	-16711936
191.30162048339844	518.2158203125	FLAG+TH	-16711936
231.29925537109375	710.5121459960938	FLAG+TH	-16711936
318.9863586425781	576.6738891601562	FLAG+TH	-16711936
252.83644104003906	552.0599975585938	FLAG+TH	-16711936
451.2862243652344	279.7684020996094	FLAG+TH	-16711936
386.6746826171875	527.446044921875	FLAG+TH	-16711936
674.3499755859375	195.15802001953125	FLAG+TH	-16711936
798.9579467773438	195.15802001953125	FLAG+TH	-16711936
737.4231567382812	239.77076721191406	FLAG+TH	-16711936
786.6510009765625	412.0682678222656	FLAG+TH	-16711936
689.733642578125	472.0647277832031	FLAG+TH	-16711936
622.0453491210938	399.76129150390625	FLAG+TH	-16711936
588.2012329101562	542.8297729492188	FLAG+TH	-16711936
691.2720336914062	876.6561279296875	FLAG+TH	-16711936
860.4927978515625	256.6928405761719	FLAG+TH	-16711936
811.2649536132812	125.93135070800781	FLAG+TH	-16711936
955.8717651367188	136.699951171875	FLAG+TH	-16711936
