x	y	name	color	
518.620849609375	178.12884521484375	TH-only	-16711681
192.93682861328125	319.7305908203125	TH-only	-16711681
381.26715087890625	442.9241027832031	TH-only	-16711681
344.45068359375	503.8128356933594	TH-only	-16711681
337.37060546875	683.6470336914062	TH-only	-16711681
154.70436096191406	481.15655517578125	TH-only	-16711681
64.07925415039062	325.3946533203125	TH-only	-16711681
34.342891693115234	372.12322998046875	TH-only	-16711681
11.686613082885742	615.67822265625	TH-only	-16711681
132.048095703125	849.3211059570312	TH-only	-16711681
149.04029846191406	886.1375122070312	TH-only	-16711681
143.376220703125	917.2899169921875	TH-only	-16711681
321.7944030761719	1007.9150390625	TH-only	-16711681
317.5463562011719	947.0263061523438	TH-only	-16711681
327.45849609375	908.7938232421875	TH-only	-16711681
558.269287109375	983.8427124023438	TH-only	-16711681
592.2537231445312	988.0907592773438	TH-only	-16711681
654.5584716796875	921.5379638671875	TH-only	-16711681
495.96453857421875	959.7704467773438	TH-only	-16711681
498.7966003417969	890.3855590820312	TH-only	-16711681
539.861083984375	877.6414184570312	TH-only	-16711681
476.14031982421875	828.080810546875	TH-only	-16711681
520.036865234375	762.9440307617188	TH-only	-16711681
504.4606628417969	553.3734741210938	TH-only	-16711681
522.868896484375	489.6526794433594	TH-only	-16711681
515.788818359375	390.5314636230469	TH-only	-16711681
824.4805908203125	651.0786743164062	TH-only	-16711681
960.4182739257812	730.3756103515625	TH-only	-16711681
286.39398193359375	741.7037353515625	TH-only	-16711681
99.47969055175781	544.8773193359375	TH-only	-16711681
252.40956115722656	495.3167419433594	TH-only	-16711681
294.89007568359375	536.3812255859375	TH-only	-16711681
520.036865234375	447.1721496582031	FLAG-only	-1
375.60308837890625	770.0241088867188	FLAG-only	-1
511.5407409667969	95.99984741210938	FLAG+TH	-256
599.3338012695312	190.8730010986328	FLAG+TH	-256
776.3359985351562	340.9708557128906	FLAG+TH	-256
767.8399047851562	468.41241455078125	FLAG+TH	-256
120.7199478149414	178.12884521484375	FLAG+TH	-256
28.678821563720703	513.7249755859375	FLAG+TH	-256
173.1125946044922	976.7626342773438	FLAG+TH	-256
266.5697326660156	567.5336303710938	FLAG+TH	-256
297.72210693359375	112.99205017089844	FLAG+TH	-256
286.39398193359375	206.44920349121094	FLAG+TH	-256
361.4429016113281	485.4046325683594	FLAG+TH	-256
395.42730712890625	517.9730224609375	FLAG+TH	-256
382.68316650390625	686.4790649414062	FLAG+TH	-256
426.5797119140625	655.3267211914062	FLAG+TH	-256
469.0602111816406	706.3033447265625	FLAG+TH	-256
440.7398681640625	614.26220703125	FLAG+TH	-256
498.7966003417969	659.5747680664062	FLAG+TH	-256
535.613037109375	632.67041015625	FLAG+TH	-256
630.4862060546875	758.6959838867188	FLAG+TH	-256
749.431640625	964.0184936523438	FLAG+TH	-256
661.6386108398438	639.75048828125	FLAG+TH	-256
643.2303466796875	478.32452392578125	FLAG+TH	-256
876.8732299804688	370.70721435546875	FLAG+TH	-256
864.1290893554688	499.5647888183594	FLAG+TH	-256
919.353759765625	491.0686950683594	FLAG+TH	-256
885.3693237304688	554.7894897460938	FLAG+TH	-256
851.3848876953125	578.8617553710938	FLAG+TH	-256
950.506103515625	617.09423828125	FLAG+TH	-256
956.1702270507812	913.0418701171875	FLAG+TH	-256
997.2346801757812	229.10548400878906	FLAG+TH	-256
