TimestampRaw_Bonsai,ROI,Ypos,Xpos,Event,Timestamp_Bonsai,Xscaled,Yscaled,Speed_cm,DistFromFED,ToneStart_5000,ToneStart_10000,ToneStart_20000,Dispense_Bonsai,Retrieval_Bonsai
53161.2664576,False,,,False,0.0,,,0.0,,0,0,0,0,0
53161.7500672,False,,,False,0.4836095999999088,,,,,0,0,0,0,0
53162.253824,False,,,False,0.9873663999969722,,,,,0,0,0,0,0
53162.7471488,False,,,False,1.480691199998546,,,,,0,0,0,0,0
53162.8713472,False,,,False,1.6048895999992965,,,,,0,0,0,0,0
53162.899904,False,48.0735397,108.50264,False,1.6334463999955915,3.209207671304086,1.2828382312492617,,5.931184512526834,0,0,0,0,0
53162.93312,False,54.9486885,104.281128,False,1.6666623999990406,3.0741446679931044,1.5028016578930543,7.770953145496604,6.113442094175806,0,0,0,0,0
53162.9648384,False,54.3991394,103.200119,False,1.69838080000045,3.039558879264753,1.485219390707068,1.2232130906556664,6.142697696638174,0,0,0,0,0
53163.0123648,False,55.329834,103.924591,False,1.745907199998328,3.0627376275745326,1.5149960223597347,0.7939719441597033,6.127503359997863,0,0,0,0,0
53163.0471936,False,56.52071,102.858025,False,1.7807360000006156,3.0286139280115845,1.553096894542727,1.4685506694612833,6.1700536127796735,0,0,0,0,0
53163.0797312,False,56.0835915,101.558014,False,1.8132735999970464,2.987021391973001,1.539111730598436,1.3486179536178944,6.206833062025756,0,0,0,0,0
53163.1081344,False,53.8381958,98.8309631,False,1.8416767999951844,2.8997721588224343,1.467272568027404,3.979093843378841,6.274206603480924,0,0,0,0,0
53163.1401344,False,51.3519936,95.6179199,False,1.8736767999944277,2.7969740939679637,1.3877290452397466,4.0618526114089955,6.3563607743666175,0,0,0,0,0
53163.172352,False,50.0545273,93.8846588,False,1.9058943999989424,2.74152015952739,1.3462179243018486,2.150062362739689,6.4016304652263125,0,0,0,0,0
53163.2039296,False,49.5210152,91.4315262,False,1.937471999997797,2.663034665117786,1.329148744697776,2.543580579399751,6.474856449453573,0,0,0,0,0
53163.25248,False,49.6094475,89.1473389,False,1.9860224000003655,2.5899544045706637,1.331978046622702,1.5063729287766399,6.546972586789093,0,0,0,0,0
53163.2844544,False,48.0277786,88.6944656,False,2.0179968000011286,2.5754651817478096,1.281374151175389,1.6462345305333028,6.551073755212587,0,0,0,0,0
53163.3170816,False,46.2917366,88.1302643,False,2.050623999995878,2.5574141322541775,1.2258312446542179,1.7899949851086607,6.558168563223174,0,0,0,0,0
53163.3513472,False,46.1493301,88.1828842,False,2.084889599995222,2.559097652691387,1.221275092834442,0.14175260163053838,6.555664413310323,0,0,0,0,0
53163.379712,False,45.7813339,89.0959778,False,2.1132543999992777,2.5883111581652636,1.2095014269111832,1.1104183794930504,6.524771835566992,0,0,0,0,0
53163.413888,False,44.9273911,87.2960587,False,2.147430400000303,2.5307245684877264,1.1821803914092615,1.8650208997334095,6.576402898743421,0,0,0,0,0
53163.445376,False,44.8083153,86.9618073,False,2.178918400000839,2.5200305332830655,1.178370681720018,0.36053000438086963,6.58624033520802,0,0,0,0,0
53163.4784128,False,44.8524551,87.2306595,False,2.211955200000375,2.5286321872825717,1.1797828899415144,0.2638515353282641,6.578030787011711,0,0,0,0,0
53163.5245952,False,44.7706451,86.708168,False,2.2581375999943702,2.5119156006201484,1.1771654618018168,0.36637896772098455,6.594009227923123,0,0,0,0,0
53163.5569152,False,45.3164406,85.4168625,False,2.2904576000000816,2.4706015882421215,1.1946276363552988,1.387772791270582,6.63778417915272,0,0,0,0,0
53163.5899776,False,46.0714798,85.5807419,False,2.3235199999980978,2.4758447437619453,1.2187843512881287,0.7476521322725445,6.6370201975316805,0,0,0,0,0
53163.6211968,False,45.7470207,85.566658,False,2.354739199996402,2.4753941436375513,1.2084036108099354,0.33282452940172985,6.635564849166772,0,0,0,0,0
53163.6529408,False,45.3125954,86.3550491,False,2.3864831999962917,2.500617918851183,1.1945046130735144,0.9072476590072512,6.608237942705471,0,0,0,0,0
53163.685056,False,46.9198875,84.600914,False,2.4185983999996097,2.4444961419098385,1.245928296868329,2.370175227469684,6.6728530745380725,0,0,0,0,0
53163.7166464,False,47.8420334,86.765686,False,2.4501887999940664,2.5137558308088677,1.2754314215177216,2.3830571947303536,6.6104529900272855,0,0,0,0,0
53163.750208,False,46.8956223,93.1006927,False,2.4837503999951878,2.7164379577096534,1.2451519563562228,6.106128103335985,6.405743932887871,0,0,0,0,0
53163.7986304,False,49.5128174,98.8456802,False,2.5321727999980794,2.9002430175398866,1.3288864643848117,4.171202219655605,6.242833850127366,0,0,0,0,0
53163.8322304,False,53.3697815,104.474243,False,2.565772800000559,3.0803231869418606,1.4522861266405713,6.497122927611214,6.095220140789899,0,0,0,0,0
53163.8610944,False,59.7129173,107.642258,False,2.594636800000444,3.181680620116097,1.6552283358673612,7.859114295994119,6.049183519301661,0,0,0,0,0
