TimestampRaw_Bonsai,ROI,Ypos,Xpos,Event,Timestamp_Bonsai,Xscaled,Yscaled,Speed_cm,DistFromFED,ToneStart_5000,ToneStart_10000,ToneStart_20000,Dispense_Bonsai,Retrieval_Bonsai
57439.2991744,False,113.38868,203.34726,False,0.0,3.6073719308306846,2.1192973647897255,0.0,5.7941227819918915,0,0,0,0,0
57439.784064,False,,,False,0.48488959999667713,,,,,0,0,0,0,0
57440.2979712,False,,,False,0.9987967999986722,,,,,0,0,0,0,0
57440.7920768,False,,,False,1.492902399993909,,,,,0,0,0,0,0
57441.2886016,False,,,False,1.9894271999946795,,,,,0,0,0,0,0
57441.7866752,False,,,False,2.48750079999445,,,,,0,0,0,0,0
57442.2993664,False,,,False,3.0001919999995152,,,,,0,0,0,0,0
57442.7951232,False,,,False,3.495948799994949,,,,,0,0,0,0,0
57443.2892672,False,,,False,3.99009279999882,,,,,0,0,0,0,0
57443.7848192,False,,,False,4.485644799999136,,,,,0,0,0,0,0
57444.297408,False,,,False,4.998233599995729,,,,,0,0,0,0,0
57444.7926528,False,,,False,5.493478399999731,,,,,0,0,0,0,0
57445.2903424,False,,,False,5.991168000000471,,,,,0,0,0,0,0
57445.7862784,False,,,False,6.4871039999998175,,,,,0,0,0,0,0
57446.2989696,False,,,False,6.999795199997607,,,,,0,0,0,0,0
57446.40896,False,,,False,7.109785599997849,,,,,0,0,0,0,0
57446.4595328,True,1026.33191,859.981873,False,7.160358399996767,16.269113790421365,19.7233823183816,,21.02027177215228,0,0,0,0,0
57446.4938496,True,925.035461,828.451599,False,7.194675200000347,15.6611224018374,17.770105011430992,59.61260953720726,18.977544197538965,0,0,0,0,0
57446.5263488,True,930.424011,830.05603,False,7.22717439999542,15.692060294466469,17.87401124443595,3.335906448560616,19.08570011686753,0,0,0,0,0
57446.5595136,True,933.655396,832.173706,False,7.2603391999946325,15.732894978358242,17.93632133578496,2.246310815332172,19.158379311678125,0,0,0,0,0
57446.5931008,True,937.983582,834.552856,False,7.293926399994234,15.77877160829649,18.01978080131925,2.8355243162955484,19.252642536676372,0,0,0,0,0
57446.6233856,True,939.596436,834.90686,False,7.324211200000718,15.785597790128094,18.05088111281807,1.0513735110958198,19.28415531773387,0,0,0,0,0
57446.6548736,True,943.160889,836.837463,False,7.355699199993978,15.822825186210167,18.119613681682278,2.482430675612378,19.36159454939059,0,0,0,0,0
57446.7006336,True,942.376221,835.470703,False,7.401459199994861,15.796470251576201,18.104483099978566,0.6641045422782431,19.338157001068375,0,0,0,0,0
57446.7345408,True,941.398438,831.875671,False,7.435366399993654,15.727148034532235,18.08562872389849,2.118738758739333,19.296229865370414,0,0,0,0,0
57446.7666816,True,941.288208,828.425537,False,7.4675071999954525,15.660619853982304,18.083503182878342,2.0709542654403945,19.271142784080926,0,0,0,0,0
57446.7993856,True,938.309082,822.770752,False,7.500211200000194,15.551579869607485,18.02605734674299,3.7685504060607276,19.179727376996606,0,0,0,0,0
57446.8316928,True,933.450195,821.286133,False,7.532518399995752,15.522952285612238,17.9323644897097,3.032414499222625,19.08189201080897,0,0,0,0,0
57446.8624384,True,928.594482,819.554626,False,7.563263999996707,15.489564014223514,17.83873283622533,3.2331961358859624,18.98248746336814,0,0,0,0,0
57446.8936192,True,924.882019,816.118164,False,7.594444799993653,15.423299467864164,17.767146222850624,3.1284671247692626,18.8925980468018,0,0,0,0,0
57446.9270784,True,913.871155,810.882629,False,7.627903999993578,15.322343789691814,17.554826136673473,7.026459027526335,18.65861601737623,0,0,0,0,0
57446.9725696,True,904.642456,806.355896,False,7.673395199999504,15.235055785711298,17.376871149037356,4.357104718860924,18.461624294226628,0,0,0,0,0
57447.0061696,True,902.845276,805.418762,False,7.706995199994708,15.216985235422097,17.34221651953,1.1631872825423233,18.42290365897069,0,0,0,0,0
57447.0395392,True,903.074707,809.090271,False,7.740364799996314,15.28778214175753,17.346640587404394,2.1257372185746033,18.451074329989307,0,0,0,0,0
57447.0712832,True,904.395386,814.144348,False,7.772108799996204,15.385238804939089,17.372106952177617,3.173167441495595,18.50841361527232,0,0,0,0,0
57447.1036544,True,903.812622,817.691895,False,7.804479999998875,15.453645379096894,17.360869641218102,2.1415152940544697,18.521591005594175,0,0,0,0,0
57447.1366784,True,901.976501,821.302979,False,7.837503999995533,15.523277123351743,17.32546412091091,2.3654353147010037,18.512829374058832,0,0,0,0,0
57447.1680128,True,896.677612,826.6651,False,7.868838399997912,15.626673731720743,17.22328680139056,4.639159365818968,18.454116423975222,0,0,0,0,0
57447.1989376,True,897.405396,829.958984,False,7.899763199995505,15.690188977639457,17.237320501343476,2.103397466509137,18.490101314556515,0,0,0,0,0
