Elapsed Hours (since 7:00),F_SNI_Met_Met1_FED007_033024_00.CSV,F_SNI_Met_Met1_FED008_032924_00.CSV,F_SNI_Met_Met1_FED009_032824_00.CSV,F_SNI_Met_Met2_FED007_042524_00.CSV,F_SNI_Met_Met2_FED008_042424_00.CSV,F_SNI_Met_Met2_FED009_042524_00.CSV,F_SNI_Met_Met2_FED015_042524_00.CSV,F_SNI_Met_Met2_FED016_042424_00.CSV,M_SNI_Met_Met1_FED010_032924_00.CSV,M_SNI_Met_Met1_FED011_033024_00.CSV,M_SNI_Met_Met1_FED012_032924_00.CSV,M_SNI_Met_Met2_FED010_042424_00.CSV,M_SNI_Met_Met2_FED011_042524_00.CSV,M_SNI_Met_Met2_FED012_042424_00.CSV,F_Ctrl_Veh_Met1_FED001_040124_00.CSV,F_Ctrl_Veh_Met1_FED002_032924_00.CSV,F_Ctrl_Veh_Met1_FED003_032924_00.CSV,F_Ctrl_Veh_Met2_FED001_042424_00.CSV,F_Ctrl_Veh_Met2_FED002_042524_00.CSV,F_Ctrl_Veh_Met2_FED003_042424_00.CSV,F_Ctrl_Veh_Met2_FED013_042424_00.CSV,F_Ctrl_Veh_Met2_FED014_042524_00.CSV,M_Ctrl_Veh_Met1_FED004_033024_00.CSV,M_Ctrl_Veh_Met1_FED005_032824_00.CSV,M_Ctrl_Veh_Met1_FED006_032924_00.CSV,M_Ctrl_Veh_Met2_FED004_042524_00.CSV,M_Ctrl_Veh_Met2_FED005_042424_00.CSV,M_Ctrl_Veh_Met2_FED006_042724_00.csv,F_SNI_Veh_Met1_FED007_033124_00.CSV,F_SNI_Veh_Met1_FED008_032824_00.CSV,F_SNI_Veh_Met1_FED009_032924_00.CSV,F_SNI_Veh_Met2_FED007_042424_00.CSV,F_SNI_Veh_Met2_FED008_042524_00.CSV,F_SNI_Veh_Met2_FED009_042424_00.CSV,F_SNI_Veh_Met2_FED015_042624_00.CSV,F_SNI_Veh_Met2_FED016_042524_00.CSV,M_SNI_Veh_Met1_FED010_032824_00.CSV,M_SNI_Veh_Met1_FED011_032924_00.CSV,M_SNI_Veh_Met1_FED012_033024_00.CSV,M_SNI_Veh_Met2_FED010_042524_00.CSV,M_SNI_Veh_Met2_FED011_042624_00.CSV,M_SNI_Veh_Met2_FED012_042524_00.CSV,SNI_MET,SNI_MET SEM,VEH_CTRL,VEH_CTRL SEM,VEH_SNI,VEH_SNI SEM
13.0,18.0,11.0,56.0,65.0,31.0,102.0,129.0,87.0,107.0,20.0,32.0,119.0,94.0,88.0,219.0,90.0,19.0,116.0,26.0,102.0,140.0,180.0,86.0,0.0,95.0,168.0,172.0,186.0,54.0,9.0,78.0,101.0,21.0,65.0,180.0,112.0,61.0,13.0,104.0,47.0,13.0,112.0,68.5,10.819066401598514,114.21428571428571,18.02842035080636,69.28571428571429,13.116732276756059
14.0,115.0,13.0,40.0,118.0,76.0,183.0,129.0,179.0,74.0,6.0,130.0,93.0,156.0,98.0,175.0,24.0,15.0,109.0,23.0,82.0,68.0,271.0,332.0,13.0,118.0,214.0,105.0,65.0,31.0,43.0,154.0,124.0,64.0,63.0,74.0,46.0,187.0,19.0,63.0,109.0,42.0,152.0,100.71428571428571,14.798807707924924,115.28571428571429,26.511127369678245,83.64285714285714,13.99788333404715
15.0,50.0,31.0,62.0,132.0,34.0,133.0,75.0,129.0,72.0,21.0,59.0,62.0,143.0,107.0,237.0,24.0,10.0,42.0,25.0,76.0,75.0,106.0,313.0,78.0,128.0,185.0,123.0,53.0,60.0,49.0,130.0,82.0,58.0,143.0,119.0,50.0,139.0,18.0,94.0,103.0,84.0,138.0,79.28571428571429,11.163337054461932,105.35714285714286,23.331016742293926,90.5,10.645511874819505
16.0,57.0,25.0,87.0,142.0,50.0,172.0,65.0,41.0,65.0,24.0,39.0,143.0,45.0,95.0,168.0,85.0,29.0,14.0,22.0,124.0,17.0,217.0,75.0,135.0,95.0,188.0,94.0,124.0,71.0,37.0,99.0,113.0,55.0,163.0,105.0,5.0,59.0,19.0,149.0,70.0,64.0,62.0,75.0,12.550557099845548,99.07142857142857,17.34316354708783,76.5,12.083841722284795
17.0,114.0,31.0,79.0,93.0,78.0,159.0,121.0,26.0,116.0,53.0,56.0,62.0,26.0,34.0,257.0,93.0,108.0,18.0,32.0,140.0,154.0,259.0,137.0,15.0,69.0,30.0,66.0,47.0,47.0,58.0,63.0,21.0,122.0,44.0,73.0,60.0,41.0,9.0,139.0,90.0,93.0,34.0,74.85714285714286,11.033344636942644,101.78571428571429,21.519523099067573,63.857142857142854,9.84263943362796
18.0,60.0,16.0,36.0,55.0,45.0,63.0,66.0,9.0,159.0,18.0,6.0,62.0,60.0,75.0,2.0,49.0,134.0,65.0,34.0,95.0,41.0,107.0,80.0,44.0,111.0,87.0,104.0,119.0,48.0,40.0,25.0,20.0,26.0,43.0,47.0,84.0,184.0,13.0,104.0,70.0,153.0,86.0,52.142857142857146,10.285409030879428,76.57142857142857,10.221564301323506,67.35714285714286,13.617057476456193
19.0,62.0,21.0,18.0,54.0,22.0,139.0,83.0,23.0,28.0,14.0,38.0,24.0,29.0,59.0,3.0,51.0,40.0,13.0,2.0,31.0,132.0,67.0,130.0,59.0,74.0,156.0,123.0,62.0,37.0,28.0,45.0,88.0,38.0,190.0,53.0,4.0,23.0,9.0,118.0,134.0,27.0,27.0,43.857142857142854,9.121196869878945,67.35714285714286,13.446110243886066,58.642857142857146,14.467320940527738
20.0,51.0,0.0,43.0,26.0,32.0,107.0,9.0,23.0,113.0,24.0,27.0,29.0,33.0,31.0,0.0,20.0,79.0,18.0,6.0,26.0,70.0,51.0,143.0,97.0,101.0,49.0,52.0,13.0,22.0,34.0,65.0,105.0,45.0,90.0,55.0,6.0,163.0,9.0,32.0,74.0,40.0,57.0,39.142857142857146,8.68360659794539,51.785714285714285,11.233377742700728,56.92857142857143,11.16876742425412
21.0,57.0,19.0,22.0,30.0,30.0,90.0,33.0,10.0,100.0,36.0,13.0,148.0,20.0,26.0,0.0,30.0,30.0,0.0,7.0,22.0,52.0,99.0,34.0,17.0,72.0,19.0,29.0,51.0,31.0,19.0,76.0,34.0,24.0,7.0,156.0,24.0,102.0,9.0,32.0,58.0,32.0,21.0,45.285714285714285,10.72043779419549,33.0,7.421382827810668,44.642857142857146,11.05113347220131
22.0,31.0,19.0,38.0,24.0,24.0,58.0,58.0,45.0,60.0,9.0,52.0,76.0,6.0,38.0,0.0,39.0,18.0,33.0,12.0,50.0,116.0,53.0,145.0,27.0,62.0,42.0,87.0,18.0,20.0,16.0,96.0,41.0,22.0,195.0,36.0,7.0,65.0,8.0,40.0,40.0,9.0,37.0,38.42857142857143,5.565508266151129,50.142857142857146,10.968915692080445,45.142857142857146,13.221634428257126
23.0,73.0,21.0,21.0,20.0,41.0,158.0,58.0,30.0,66.0,1.0,22.0,79.0,5.0,41.0,0.0,38.0,25.0,18.0,13.0,17.0,68.0,196.0,121.0,27.0,64.0,28.0,18.0,43.0,0.0,18.0,45.0,10.0,33.0,41.0,35.0,7.0,47.0,13.0,22.0,23.0,13.0,25.0,45.42857142857143,10.847450850448885,48.285714285714285,14.000168198137414,23.714285714285715,3.9257232432676092
24.0,0.0,32.0,8.0,18.0,31.0,38.0,68.0,5.0,143.0,18.0,4.0,61.0,0.0,25.0,92.0,24.0,25.0,26.0,4.0,12.0,69.0,24.0,149.0,95.0,83.0,17.0,19.0,23.0,44.0,13.0,59.0,85.0,1.0,88.0,9.0,4.0,85.0,15.0,27.0,100.0,7.0,5.0,32.214285714285715,10.236853574932079,47.285714285714285,11.442368045960377,38.714285714285715,9.923569773456808
25.0,10.0,41.0,64.0,36.0,9.0,91.0,51.0,4.0,175.0,72.0,15.0,42.0,24.0,21.0,112.0,127.0,20.0,2.0,22.0,8.0,102.0,39.0,193.0,25.0,53.0,140.0,0.0,5.0,22.0,0.0,87.0,13.0,33.0,60.0,13.0,0.0,73.0,32.0,18.0,22.0,2.0,15.0,46.785714285714285,12.02615216724637,60.57142857142857,16.6564228068975,27.857142857142858,7.264891597367923
26.0,13.0,5.0,89.0,32.0,6.0,25.0,25.0,9.0,153.0,7.0,36.0,19.0,0.0,0.0,83.0,108.0,0.0,23.0,0.0,7.0,62.0,123.0,133.0,39.0,63.0,62.0,9.0,38.0,13.0,18.0,12.0,19.0,18.0,93.0,29.0,7.0,83.0,19.0,9.0,18.0,18.0,20.0,29.928571428571427,11.261362655291906,53.57142857142857,12.06061353099887,26.857142857142858,7.087256124344351
27.0,5.0,9.0,81.0,0.0,19.0,49.0,11.0,0.0,66.0,20.0,7.0,3.0,5.0,18.0,60.0,174.0,31.0,15.0,20.0,4.0,75.0,54.0,172.0,62.0,31.0,75.0,22.0,24.0,14.0,0.0,11.0,0.0,18.0,22.0,27.0,7.0,107.0,0.0,6.0,61.0,0.0,24.0,20.928571428571427,6.866437153551576,58.5,14.293143672543001,21.214285714285715,7.908945117576771
28.0,15.0,18.0,45.0,14.0,0.0,33.0,4.0,6.0,78.0,14.0,13.0,24.0,9.0,21.0,,89.0,0.0,13.0,4.0,27.0,91.0,3.0,270.0,47.0,77.0,41.0,10.0,19.0,18.0,29.0,4.0,18.0,6.0,14.0,5.0,5.0,59.0,6.0,36.0,14.0,7.0,0.0,21.0,5.388224849889529,53.15384615384615,20.187533013022513,15.785714285714286,4.294359412409648
29.0,0.0,8.0,52.0,54.0,18.0,31.0,11.0,7.0,148.0,4.0,20.0,24.0,0.0,7.0,,118.0,9.0,1.0,6.0,1.0,73.0,0.0,139.0,64.0,96.0,13.0,17.0,14.0,0.0,7.0,25.0,12.0,31.0,20.0,14.0,5.0,49.0,4.0,23.0,16.0,9.0,18.0,27.428571428571427,10.364624050641972,42.38461538461539,13.705949700739861,16.642857142857142,3.4203771125179654
30.0,25.0,0.0,36.0,51.0,18.0,66.0,9.0,4.0,151.0,0.0,9.0,9.0,6.0,2.0,,91.0,0.0,0.0,6.0,13.0,83.0,50.0,106.0,62.0,81.0,37.0,36.0,6.0,9.0,18.0,46.0,14.0,13.0,44.0,10.0,10.0,120.0,9.0,12.0,51.0,0.0,15.0,27.571428571428573,10.909071880483856,43.92307692307692,10.481033871041404,26.5,8.334194094739527
