ID,TimePoint,Group,Sex,Weight
Met1-1,Null,MET,F,21.44
Met1-2,Null,MET,F,20.48
Met1-3,Null,MET,F,23.34
Met1-4,Null,VEH,M,27.15
Met1-5,Null,VEH,M,29.97
Met1-6,Null,VEH,M,29.87
Met1-7,Null,VEH,F,22.67
Met1-8,Null,VEH,F,22.35
Met1-9,Null,VEH,F,23.19
Met1-10,Null,MET,M,27.13
Met1-11,Null,MET,M,28.15
Met1-12,Null,MET,M,26.2
Met1-13,Null,MET,F,21.37
Met1-14,Null,MET,F,19.15
Met1-15,Null,MET,F,23.49
Met1-16,Null,VEH,M,25.73
Met1-17,Null,VEH,M,29.71
Met1-18,Null,VEH,M,30.03
Met1-19,Null,VEH,F,22.41
Met1-20,Null,VEH,F,22.99
Met1-21,Null,VEH,F,21.49
Met1-22,Null,MET,M,27.03
Met1-23,Null,MET,M,26.85
Met1-24,Null,MET,M,24.99
Met2-1,Null,MET,F,21.25
Met2-2,Null,MET,F,22.03
Met2-3,Null,MET,F,22.13
Met2-4,Null,MET,F,23.73
Met2-5,Null,MET,M,29.42
Met2-6,Null,MET,M,30
Met2-7,Null,MET,F,22.02
Met2-8,Null,MET,F,24.66
Met2-9,Null,MET,F,22.31
Met2-10,Null,MET,F,23.71
Met2-11,Null,MET,M,28.73
Met2-12,Null,MET,M,25.91
Met2-13,Null,VEH,F,20.62
Met2-14,Null,VEH,F,22.99
Met2-15,Null,VEH,F,22.69
Met2-16,Null,VEH,F,23.38
Met2-17,Null,VEH,M,29.86
Met2-18,Null,VEH,M,29
Met2-19,Null,VEH,F,22.86
Met2-20,Null,VEH,F,24.61
Met2-21,Null,VEH,F,23.18
Met2-22,Null,VEH,F,22.69
Met2-23,Null,VEH,M,28.87
Met2-24,Null,VEH,M,25.99
