,F_SNI_Veh_Met1_FED007_033124_00.csv,F_SNI_Veh_Met1_FED008_032824_00.csv,F_SNI_Veh_Met1_FED009_032924_00.csv,F_SNI_Veh_Met2_FED007_042424_00.csv,F_SNI_Veh_Met2_FED008_042524_00.csv,F_SNI_Veh_Met2_FED009_042424_00.csv,F_SNI_Veh_Met2_FED015_042624_00.csv,F_SNI_Veh_Met2_FED016_042524_00.csv,M_SNI_Veh_Met1_FED010_032824_00.csv,M_SNI_Veh_Met1_FED011_032924_00.csv,M_SNI_Veh_Met1_FED012_033024_00.csv,M_SNI_Veh_Met2_FED010_042524_00.csv,M_SNI_Veh_Met2_FED011_042624_00.csv,M_SNI_Veh_Met2_FED012_042524_00.csv,Average,STD
Pellets Taken,39.0,43.0,36.0,51.0,43.0,45.0,27.0,36.0,27.0,31.0,28.0,36.0,47.0,50.0,38.5,8.290402235764512
Pellets Taken (Night),39.0,42.0,28.0,39.0,35.0,28.0,14.0,28.0,19.0,30.0,27.0,25.0,34.0,37.0,30.357142857142858,7.92859617855755
Pellets Taken (Day),,1.0,8.0,8.0,8.0,6.0,9.0,6.0,8.0,1.0,1.0,10.0,13.0,9.0,6.769230769230769,3.722764343733613
Pellets per Hour,8.281720049548753,8.774018024145555,7.131458757497386,9.286328460877042,7.947835909020896,7.591021976477204,4.994347960127428,6.492985971943888,4.625487770058056,5.179856115107913,5.652125154199843,6.347029727214848,8.43175362535506,9.184610674558629,7.137184298295177,1.6008475244841933
Pellets per Hour (Night),8.281720049548753,8.66624634607669,6.391072787217855,8.07360552041403,7.727216975346498,5.7081374936293106,3.069427527405603,6.144093624283799,3.3531055443894306,6.078001013000169,5.507706255666364,5.210745715609078,8.584654229204657,7.8956727919383525,6.477957562409328,1.8271160248065366
Pellets per Hour (Day),,18.367346938775512,11.99500208246564,12.095758084838304,9.082308420056764,5.866376969038566,10.650887573964498,6.0776589758019135,46.829268292682926,0.9533898305084745,19.35483870967742,11.43946615824595,8.056464107419522,11.87683284457478,13.28043069138848,11.20768810219219
Number of Meals,16.0,15.0,23.0,22.0,11.0,24.0,20.0,29.0,23.0,10.0,18.0,24.0,17.0,20.0,19.428571428571427,5.3018760934116616
Number of Meals (Night),16.0,15.0,18.0,21.0,10.0,19.0,14.0,25.0,18.0,10.0,18.0,20.0,15.0,19.0,17.0,4.076197322920545
Number of Meals (Day),,,5.0,1.0,1.0,5.0,6.0,4.0,5.0,,,4.0,2.0,1.0,3.4,1.9550504398153572
Average Pellets per Meal,2.375,2.8,1.5217391304347827,2.090909090909091,3.8181818181818183,1.375,1.1,1.1379310344827587,1.1304347826086956,3.0,1.5,1.4166666666666667,2.7058823529411766,2.25,2.015838919730357,0.8399118584441004
Average Pellets per Meal (Night),2.375,2.8,1.5555555555555556,1.8571428571428572,3.5,1.4736842105263157,1.0,1.12,1.0555555555555556,3.0,1.5,1.25,2.2666666666666666,1.9473684210526316,1.9072123761785416,0.7823925454205625
Average Pellets per Meal (Day),,,1.4,7.0,7.0,1.0,1.3333333333333333,1.25,1.4,,,2.25,6.0,8.0,3.663333333333333,2.9273170626334934
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,76.92307692307692,43.85290096535146
Total Pokes,263.0,187.0,557.0,501.0,264.0,737.0,681.0,341.0,668.0,110.0,445.0,479.0,281.0,569.0,434.5,196.84892684492846
Total Pokes (Night),262.0,184.0,530.0,463.0,239.0,581.0,590.0,323.0,641.0,104.0,443.0,436.0,241.0,529.0,397.57142857142856,170.5108678177319
Total Pokes (Day),,3.0,26.0,29.0,24.0,93.0,81.0,13.0,26.0,5.0,1.0,41.0,39.0,31.0,31.692307692307693,27.822007522177522
Correct Pokes (%),0.00844106463878327,0.00946524064171123,0.009658886894075404,0.009580838323353293,0.009924242424242424,0.008941655359565807,0.009456681350954479,0.008064516129032258,0.009535928143712576,0.00890909090909091,0.009685393258426966,0.009540709812108559,0.009395017793594307,0.009789103690685414,0.009313454954952633,0.0005336709445208453
Correct Pokes (%) (Night),84.7328244274809,95.65217391304348,96.79245283018868,97.62419006479482,99.581589958159,97.59036144578313,95.9322033898305,82.35294117647058,95.63182527301092,93.26923076923077,97.06546275395034,95.87155963302753,94.1908713692946,99.62192816635161,94.70782965504408,5.066480059869699
Correct Pokes (%) (Day),,100.0,100.0,100.0,104.16666666666667,100.0,97.53086419753086,69.23076923076923,96.15384615384616,40.0,200.0,97.5609756097561,97.43589743589743,100.0,100.1599245611128,34.87738902205343
Recording Duration (Hours),4.7091666666666665,4.900833333333333,5.048055555555556,5.491944444444444,5.410277777777778,5.928055555555556,5.4061111111111115,5.544444444444444,5.8372222222222225,5.9847222222222225,4.953888888888889,5.671944444444445,5.574166666666667,5.443888888888889,5.4217658730158735,0.3912746963758494
Battery Change (V),-0.020000000000000018,-0.010000000000000675,-0.009999999999999787,-0.019999999999999574,-0.009999999999999787,-0.009999999999999787,-0.020000000000000462,0.0,-0.020000000000000018,0.0,-0.009999999999999787,-0.010000000000000231,-0.020000000000000018,-0.009999999999999787,-0.012142857142857138,0.0069929320675306906
