Variable,F_Halo1_V1_FED001_050423_00.CSV,F_Halo1_V1_FED002_050423_00.CSV,F_Halo1_V1_FED003_050323_00.CSV,F_Halo1_V1_FED004_050323_00.CSV,F_Halo2_V1_FED001_011824_00.CSV,F_Halo2_V1_FED002_011724_00.CSV,F_Halo3_V1_FED006_020824_00.CSV,F_Halo3_V1_FED007_020724_00.CSV,F_Halo3_V1_FED008_020824_00.CSV,F_Halo3_V1_FED009_020724_00.CSV,F_Halo3_V1_FED010_020824_00.CSV,M_Halo1_V1_FED007_050423_00.CSV,M_Halo1_V1_FED008_050323_00.CSV,M_Halo2_V1_FED003_011824_00.CSV,M_Halo2_V1_FED004_011724_00.CSV,M_Halo2_V1_FED006_011924_02.csv,M_Halo3_V1_FED002_020824_00.CSV,M_Halo3_V1_FED003_020724_00.CSV,Average,STD
Pellets Taken,148.0,133.0,159.0,165.0,133.0,123.0,110.0,151.0,148.0,96.0,149.0,132.0,138.0,78.0,126.0,173.0,152.0,135.0,136.05555555555554,23.79439435275416
Pellets Taken (Night),66.0,45.0,77.0,79.0,74.0,76.0,34.0,57.0,67.0,54.0,90.0,38.0,48.0,15.0,77.0,114.0,92.0,79.0,65.66666666666667,23.884526125407934
Pellets Taken (Day),82.0,88.0,82.0,86.0,59.0,47.0,76.0,94.0,81.0,42.0,59.0,94.0,90.0,63.0,49.0,59.0,60.0,56.0,70.38888888888889,17.211961944732742
Pellets per Hour,6.2374151252634045,5.622489959839357,6.588170297986948,6.852317559928939,5.373013735523835,5.4045477291867545,4.941352632892438,5.987113827853956,6.54923604538247,3.791136463361123,6.664761502429084,5.664628258770518,5.817738951214371,3.1425214033909685,5.546927545093244,7.486026804495463,7.026645264847512,5.445683231553589,5.785651463278555,1.0852262110252042
Pellets per Hour (Night),5.549716207693924,3.78522360857984,6.303008253939381,6.571316342799047,6.076365129328042,6.05644714997233,2.892933112739305,4.692645444566411,5.596936999651932,4.393220338983051,7.3301509015633135,3.184283419845907,4.0116076610562965,1.247084362947738,6.532497525569119,9.24761711620361,7.979761474521142,6.438613569989359,5.438301589997208,1.9575983776711001
Pellets per Hour (Day),6.928438988898537,7.478753541076488,6.8804773447697185,7.132490151358075,4.691848906560636,4.603330068560235,7.232355273592387,7.189750780801836,7.621935281509749,3.2231933489661055,5.854142550024806,8.26817826426896,7.65613554195515,4.924653667433882,4.483871787702397,5.4719703215169,5.938960681880671,4.47264498380441,6.114062860260052,1.450939696302253
Number of Meals,48.0,82.0,70.0,80.0,49.0,72.0,63.0,57.0,79.0,81.0,50.0,72.0,74.0,65.0,39.0,60.0,51.0,44.0,63.111111111111114,13.89409052921374
Number of Meals (Night),27.0,37.0,39.0,40.0,30.0,46.0,27.0,34.0,41.0,47.0,38.0,28.0,38.0,15.0,28.0,38.0,35.0,28.0,34.22222222222222,7.9079673565599835
Number of Meals (Day),21.0,45.0,31.0,40.0,19.0,26.0,36.0,23.0,38.0,34.0,12.0,44.0,36.0,50.0,11.0,22.0,16.0,16.0,28.88888888888889,12.028832464437947
Average Pellets per Meal,3.0625,1.6097560975609757,2.257142857142857,2.05,2.693877551020408,1.6944444444444444,1.7301587301587302,2.6315789473684212,1.860759493670886,1.1728395061728396,2.96,1.8194444444444444,1.8513513513513513,1.1846153846153846,3.2051282051282053,2.8666666666666667,2.9607843137254903,3.0454545454545454,2.2586945854958693,0.6754519857876173
Average Pellets per Meal (Night),2.4444444444444446,1.2162162162162162,1.9743589743589745,1.975,2.466666666666667,1.6521739130434783,1.2592592592592593,1.6764705882352942,1.6341463414634145,1.148936170212766,2.3684210526315788,1.3571428571428572,1.263157894736842,1.0,2.75,3.0,2.6285714285714286,2.8214285714285716,1.9242441321339885,0.6545945873990474
Average Pellets per Meal (Day),3.857142857142857,1.9333333333333333,2.6129032258064515,2.125,3.0526315789473686,1.7692307692307692,2.0833333333333335,4.043478260869565,2.1052631578947367,1.2058823529411764,4.833333333333333,2.1136363636363638,2.4722222222222223,1.24,4.363636363636363,2.6363636363636362,3.6875,3.4375,2.7540217104828617,1.0667058595524819
