MM:DD:YYYY hh:mm:ss,LibaryVersion,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2021-02-01 17:27:44,1.1.4,ProRat2,5,3.87,0,3,Poke,Left,27,11,11,4,,0.0,0 days 02:04:51.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:27:47,1.1.4,ProRat2,5,3.87,0,3,Pellet,Left,27,11,12,5,0.57,,0 days 02:04:54.000000000,1.0,0.65,0.0,0.0,,0,ProRat2
2021-02-01 17:28:08,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,28,11,12,5,,0.51,0 days 02:05:15.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:28:12,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,29,11,12,5,,0.69,0 days 02:05:19.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:28:18,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,30,11,12,5,,0.62,0 days 02:05:25.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:28:20,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,31,11,12,5,,0.43,0 days 02:05:27.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:28:22,1.1.4,ProRat2,5,3.87,0,4,Pellet,Left,31,11,13,6,0.38,,0 days 02:05:29.000000000,1.0,0.5833333333333334,0.0,0.0,,0,ProRat2
2021-02-01 17:28:58,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,32,11,13,6,,0.21,0 days 02:06:05.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:29:05,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,33,11,13,6,,0.68,0 days 02:06:12.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:29:09,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,34,11,13,6,,0.44,0 days 02:06:16.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:29:15,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,34,12,13,6,,0.44,0 days 02:06:22.000000000,0.0,,0.0,1.0,0.0,0,ProRat2
2021-02-01 17:29:20,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,34,13,13,6,,0.03,0 days 02:06:27.000000000,0.0,,0.0,1.0,0.0,0,ProRat2
2021-02-01 17:29:22,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,34,14,13,6,,0.52,0 days 02:06:29.000000000,0.0,,0.0,1.0,0.0,0,ProRat2
2021-02-01 17:36:53,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,35,14,13,6,,0.71,0 days 02:14:00.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:36:58,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,36,14,13,6,,0.75,0 days 02:14:05.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:37:01,1.1.4,ProRat2,5,3.87,0,5,Pellet,Left,36,14,14,7,2.09,,0 days 02:14:08.000000000,1.0,8.65,0.0,0.0,,0,ProRat2
2021-02-01 17:37:34,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,37,14,14,7,,0.21,0 days 02:14:41.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:37:35,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,38,14,14,7,,0.0,0 days 02:14:42.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:37:37,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,39,14,14,7,,0.69,0 days 02:14:44.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:37:41,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,40,14,14,7,,0.82,0 days 02:14:48.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:37:43,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,41,14,14,7,,0.62,0 days 02:14:50.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
