MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time,UnixTime,TimeDiff,ElapseTime,hours
2/10/21 17:00,1.2.5,ProRat,5,4.02,1,1,Left,Left,1,0,0,0,nan,0,###############################################################################################################################################################################################################################################################,,0,0
2/10/21 17:39,1.2.5,ProRat,5,4.02,3,1,Pellet,Left,1,0,1,1,Timed_out,nan,###############################################################################################################################################################################################################################################################,2340,2340,0
2/10/21 17:46,1.2.5,ProRat,5,4.02,1,1,Left,Left,2,0,1,0,nan,0.58,###############################################################################################################################################################################################################################################################,419.9999995,2760,0
2/10/21 17:46,1.2.5,ProRat,5,4.02,1,1,Pellet,Left,2,0,2,1,1.25,nan,###############################################################################################################################################################################################################################################################,0,2760,0
2/10/21 17:46,1.2.5,ProRat,5,4.02,1,1,Left,Left,3,0,2,1,nan,0.03,###############################################################################################################################################################################################################################################################,0,2760,0
2/10/21 17:46,1.2.5,ProRat,5,4.02,1,1,Pellet,Left,3,0,3,2,0.59,nan,###############################################################################################################################################################################################################################################################,0,2760,0
2/10/21 17:47,1.2.5,ProRat,5,4.02,1,2,Left,Left,4,0,3,2,nan,0.11,###############################################################################################################################################################################################################################################################,60.00000024,2820,0
2/10/21 17:48,1.2.5,ProRat,5,4.02,1,2,Right,Left,4,1,3,2,nan,0.07,###############################################################################################################################################################################################################################################################,60.00000024,2880,0
2/10/21 17:48,1.2.5,ProRat,5,4.02,1,2,Left,Left,5,1,3,2,nan,0,###############################################################################################################################################################################################################################################################,0,2880,0
2/10/21 17:48,1.2.5,ProRat,5,4.02,1,2,Pellet,Left,5,1,4,3,2.04,nan,###############################################################################################################################################################################################################################################################,0,2880,0
2/10/21 17:51,1.2.5,ProRat,5,4.02,1,2,Left,Left,6,1,4,3,nan,0,###############################################################################################################################################################################################################################################################,180,3060,0
2/10/21 17:55,1.2.5,ProRat,5,4.02,1,2,Right,Left,6,2,4,3,nan,0.01,###############################################################################################################################################################################################################################################################,240,3300,0
