,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
0,8/2/2023 15:56:12,1.16.3,PRexp,3,4.07,,1,Left,Left,1,0,0,0,,,0.37
1,8/2/2023 15:56:16,1.16.3,PRexp,3,4.07,2.0,1,Pellet,Left,1,0,1,1,0.88,,
2,8/2/2023 16:03:07,1.16.3,PRexp,3,4.07,,1,Left,Left,2,0,1,1,,,0.04
3,8/2/2023 16:03:09,1.16.3,PRexp,3,4.06,1.0,1,Pellet,Left,2,0,2,2,1.15,413.0,
4,8/2/2023 16:10:18,1.16.3,PRexp,3,4.06,,2,Right,Left,2,1,2,2,,,0.07
5,8/2/2023 16:19:39,1.16.3,PRexp,3,4.06,,2,Left,Left,3,1,2,2,,,0.03
6,8/2/2023 16:19:41,1.16.3,PRexp,3,4.06,,2,Left,Left,4,1,2,2,,,0.29
7,8/2/2023 16:19:43,1.16.3,PRexp,3,4.07,1.0,2,Pellet,Left,4,1,3,3,0.54,993.0,
8,8/2/2023 16:20:26,1.16.3,PRexp,3,4.06,,2,Right,Left,4,2,3,3,,,0.4
9,8/2/2023 16:20:27,1.16.3,PRexp,3,4.07,,2,Right,Left,4,3,3,3,,,0.38
10,8/2/2023 16:21:12,1.16.3,PRexp,3,4.07,,2,Left,Left,5,3,3,3,,,0.5
11,8/2/2023 16:38:42,1.16.3,PRexp,3,4.06,,2,Left,Left,6,3,3,3,,,0.47
12,8/2/2023 16:38:43,1.16.3,PRexp,3,4.07,1.0,2,Pellet,Left,6,3,4,4,0.61,1141.0,
13,8/2/2023 16:39:20,1.16.3,PRexp,3,4.06,,3,Left,Left,7,3,4,4,,,0.2
14,8/2/2023 16:39:24,1.16.3,PRexp,3,4.06,,3,Left,Left,8,3,4,4,,,0.31
15,8/2/2023 16:39:25,1.16.3,PRexp,3,4.06,,3,Left,Left,9,3,4,4,,,0.46
16,8/2/2023 16:39:27,1.16.3,PRexp,3,4.07,1.0,3,Pellet,Left,9,3,5,5,0.47,44.0,
17,8/2/2023 16:39:54,1.16.3,PRexp,3,4.07,,4,Left,Left,10,3,5,5,,,0.23
18,8/2/2023 16:39:57,1.16.3,PRexp,3,4.07,,4,Left,Left,11,3,5,5,,,0.2
19,8/2/2023 16:39:58,1.16.3,PRexp,3,4.06,,4,Left,Left,12,3,5,5,,,0.0
20,8/2/2023 16:40:01,1.16.3,PRexp,3,4.06,,4,Left,Left,13,3,5,5,,,0.35
21,8/2/2023 16:40:02,1.16.3,PRexp,3,4.06,1.0,4,Pellet,Left,13,3,6,6,0.68,35.0,
22,8/2/2023 16:40:29,1.16.3,PRexp,3,4.07,,5,Left,Left,14,3,6,6,,,0.25
23,8/2/2023 16:40:32,1.16.3,PRexp,3,4.07,,5,Left,Left,15,3,6,6,,,0.33
24,8/2/2023 16:40:34,1.16.3,PRexp,3,4.07,,5,Left,Left,16,3,6,6,,,0.87
25,8/2/2023 16:40:35,1.16.3,PRexp,3,4.06,,5,Left,Left,17,3,6,6,,,0.0
26,8/2/2023 16:40:36,1.16.3,PRexp,3,4.06,,5,Left,Left,18,3,6,6,,,0.85
27,8/2/2023 16:40:38,1.16.3,PRexp,3,4.06,1.0,5,Pellet,Left,18,3,7,7,0.34,35.0,
28,8/2/2023 16:41:10,1.16.3,PRexp,3,4.06,,6,Left,Left,19,3,7,7,,,0.32
29,8/2/2023 16:41:14,1.16.3,PRexp,3,4.07,,6,Left,Left,20,3,7,7,,,0.51
30,8/2/2023 16:41:16,1.16.3,PRexp,3,4.07,,6,Left,Left,21,3,7,7,,,0.28
31,8/2/2023 16:41:18,1.16.3,PRexp,3,4.06,,6,Left,Left,22,3,7,7,,,0.85
32,8/2/2023 16:41:19,1.16.3,PRexp,3,4.06,,6,Left,Left,23,3,7,7,,,0.29
33,8/2/2023 16:41:21,1.16.3,PRexp,3,4.07,,6,Left,Left,24,3,7,7,,,0.39
34,8/2/2023 16:41:22,1.16.3,PRexp,3,4.06,1.0,6,Pellet,Left,24,3,8,8,0.47,45.0,
