,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
0,3/17/2021 14:31:52,1.4.2,SharonCE,3,3.91,1,1,Right,Left,0,1,0,0,,0.08
1,3/17/2021 14:35:50,1.4.2,SharonCE,3,3.91,1,1,Left,Left,1,1,0,0,,0.41
2,3/17/2021 14:36:10,1.4.2,SharonCE,3,3.91,2,1,Pellet,Left,1,1,1,1,17.11,
3,3/17/2021 14:36:58,1.4.2,SharonCE,3,3.91,1,1,Left,Left,2,1,1,1,,0.01
4,3/17/2021 14:43:36,1.4.2,SharonCE,3,3.91,1,1,Pellet,Left,2,1,2,2,Timed_out,
5,3/17/2021 14:43:42,1.4.2,SharonCE,3,3.91,1,2,Left,Left,3,1,2,2,,0.28
6,3/17/2021 14:45:02,1.4.2,SharonCE,3,3.91,1,2,Left,Left,4,1,2,2,,0.03
7,3/17/2021 14:57:21,1.4.2,SharonCE,3,3.91,1,2,Pellet,Left,4,1,3,3,Timed_out,
8,3/17/2021 14:57:30,1.4.2,SharonCE,3,3.91,1,2,Right,Left,4,2,3,3,,0.49
9,3/17/2021 15:01:01,1.4.2,SharonCE,3,3.91,1,2,Left,Left,5,2,3,3,,0.3
10,3/17/2021 15:01:13,1.4.2,SharonCE,3,3.91,1,2,Right,Left,5,3,3,3,,0.13
11,3/17/2021 15:04:00,1.4.2,SharonCE,3,3.91,1,2,Left,Left,6,3,3,3,,0.35
12,3/17/2021 15:04:02,1.4.2,SharonCE,3,3.91,1,2,Pellet,Left,6,3,4,4,1.19,
13,3/17/2021 15:04:20,1.4.2,SharonCE,3,3.9,1,3,Left,Left,7,3,4,4,,0.0
14,3/17/2021 15:04:25,1.4.2,SharonCE,3,3.91,1,3,Right,Left,7,4,4,4,,0.0
15,3/17/2021 15:04:26,1.4.2,SharonCE,3,3.9,1,3,Left,Left,8,4,4,4,,0.03
16,3/17/2021 15:05:39,1.4.2,SharonCE,3,3.91,1,3,Right,Left,8,5,4,4,,0.0
17,3/17/2021 15:05:45,1.4.2,SharonCE,3,3.9,1,3,Left,Left,9,5,4,4,,0.04
18,3/17/2021 15:36:10,1.4.2,SharonCE,3,3.9,2,3,Pellet,Left,9,5,5,5,Timed_out,
19,3/17/2021 15:38:35,1.4.2,SharonCE,3,3.91,1,1,Left,Left,10,5,5,0,,0.0
20,3/17/2021 15:38:37,1.4.2,SharonCE,3,3.91,1,1,Pellet,Left,10,5,6,1,0.88,
21,3/17/2021 15:40:17,1.4.2,SharonCE,3,3.9,1,1,Left,Left,11,5,6,1,,0.38
22,3/17/2021 15:40:39,1.4.2,SharonCE,3,3.9,1,1,Pellet,Left,11,5,7,2,20.80,
23,3/17/2021 15:41:16,1.4.2,SharonCE,3,3.91,1,2,Right,Left,11,6,7,2,,0.25
24,3/17/2021 15:44:22,1.4.2,SharonCE,3,3.91,1,2,Left,Left,12,6,7,2,,0.01
25,3/17/2021 15:56:11,1.4.2,SharonCE,3,3.91,1,2,Left,Left,13,6,7,2,,0.05
26,3/17/2021 15:57:06,1.4.2,SharonCE,3,3.91,1,2,Pellet,Left,13,6,8,3,54.68,
27,3/17/2021 16:13:36,1.4.2,SharonCE,3,3.9,1,2,Right,Left,13,7,8,3,,0.01
28,3/17/2021 16:13:54,1.4.2,SharonCE,3,3.9,1,2,Right,Left,13,8,8,3,,0.1
29,3/17/2021 17:02:00,1.4.2,SharonCE,3,3.9,1,1,Left,Left,14,8,8,0,,0.0
30,3/17/2021 17:02:03,1.4.2,SharonCE,3,3.9,1,1,Pellet,Left,14,8,9,1,1.38,
31,3/17/2021 17:02:50,1.4.2,SharonCE,3,3.9,1,1,Left,Left,15,8,9,1,,0.0
32,3/17/2021 17:02:51,1.4.2,SharonCE,3,3.9,1,1,Pellet,Left,15,8,10,2,0.44,
33,3/17/2021 17:03:19,1.4.2,SharonCE,3,3.9,1,2,Left,Left,16,8,10,2,,0.0
34,3/17/2021 17:03:39,1.4.2,SharonCE,3,3.9,1,2,Left,Left,17,8,10,2,,0.08
35,3/17/2021 17:03:40,1.4.2,SharonCE,3,3.9,2,2,Pellet,Left,17,8,11,3,0.56,
36,3/17/2021 17:04:35,1.4.2,SharonCE,3,3.9,1,2,Right,Left,17,9,11,3,,1.09
37,3/17/2021 17:04:38,1.4.2,SharonCE,3,3.9,1,2,Right,Left,17,10,11,3,,0.43
38,3/17/2021 17:04:53,1.4.2,SharonCE,3,3.89,1,2,Left,Left,18,10,11,3,,0.0
39,3/17/2021 17:04:59,1.4.2,SharonCE,3,3.9,1,2,Left,Left,19,10,11,3,,0.03
40,3/17/2021 17:05:00,1.4.2,SharonCE,3,3.9,1,2,Pellet,Left,19,10,12,4,0.06,
41,3/17/2021 17:05:22,1.4.2,SharonCE,3,3.9,1,3,Left,Left,20,10,12,4,,0.0
42,3/17/2021 17:05:25,1.4.2,SharonCE,3,3.89,1,3,Left,Left,21,10,12,4,,0.14
43,3/17/2021 17:05:29,1.4.2,SharonCE,3,3.89,1,3,Left,Left,22,10,12,4,,0.23
44,3/17/2021 17:05:31,1.4.2,SharonCE,3,3.89,1,3,Pellet,Left,22,10,13,5,0.56,
45,3/17/2021 17:07:06,1.4.2,SharonCE,3,3.9,1,4,Right,Left,22,11,13,5,,0.1
46,3/17/2021 17:07:51,1.4.2,SharonCE,3,3.9,1,4,Left,Left,23,11,13,5,,0.01
47,3/17/2021 17:07:54,1.4.2,SharonCE,3,3.9,1,4,Left,Left,24,11,13,5,,0.34
48,3/17/2021 17:07:56,1.4.2,SharonCE,3,3.9,1,4,Left,Left,25,11,13,5,,0.25
49,3/17/2021 17:07:57,1.4.2,SharonCE,3,3.9,1,4,Left,Left,26,11,13,5,,0.14
50,3/17/2021 17:07:59,1.4.2,SharonCE,3,3.9,1,4,Pellet,Left,26,11,14,6,0.88,
51,3/17/2021 17:08:43,1.4.2,SharonCE,3,3.89,1,5,Left,Left,27,11,14,6,,0.13
52,3/17/2021 17:09:35,1.4.2,SharonCE,3,3.9,1,5,Right,Left,27,12,14,6,,0.4
53,3/17/2021 17:10:27,1.4.2,SharonCE,3,3.9,1,5,Left,Left,28,12,14,6,,0.0
54,3/17/2021 17:18:18,1.4.2,SharonCE,3,3.9,1,5,Left,Left,29,12,14,6,,0.03
55,3/17/2021 17:18:20,1.4.2,SharonCE,3,3.9,1,5,Left,Left,30,12,14,6,,0.19
56,3/17/2021 17:18:22,1.4.2,SharonCE,3,3.9,1,5,Left,Left,31,12,14,6,,0.02
57,3/17/2021 17:18:25,1.4.2,SharonCE,3,3.9,2,5,Pellet,Left,31,12,15,7,0.50,
58,3/17/2021 17:19:21,1.4.2,SharonCE,3,3.89,1,6,Left,Left,32,12,15,7,,0.6
59,3/17/2021 17:19:23,1.4.2,SharonCE,3,3.9,1,6,Left,Left,33,12,15,7,,0.19
60,3/17/2021 17:19:33,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,13,15,7,,0.09
61,3/17/2021 17:19:35,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,14,15,7,,0.01
62,3/17/2021 17:19:36,1.4.2,SharonCE,3,3.89,1,6,Right,Left,33,15,15,7,,0.02
63,3/17/2021 17:19:47,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,16,15,7,,0.42
64,3/17/2021 17:19:49,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,17,15,7,,0.31
65,3/17/2021 17:19:51,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,18,15,7,,0.11
66,3/17/2021 17:19:55,1.4.2,SharonCE,3,3.89,1,6,Right,Left,33,19,15,7,,0.67
67,3/17/2021 17:19:56,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,20,15,7,,0.2
68,3/17/2021 17:19:58,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,21,15,7,,0.3
69,3/17/2021 17:19:59,1.4.2,SharonCE,3,3.89,1,6,Right,Left,33,22,15,7,,0.0
70,3/17/2021 17:20:00,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,23,15,7,,0.0
71,3/17/2021 17:20:02,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,24,15,7,,0.0
72,3/17/2021 17:20:04,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,25,15,7,,1.49
73,3/17/2021 17:20:07,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,26,15,7,,0.0
74,3/17/2021 17:20:09,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,27,15,7,,0.38
75,3/17/2021 17:20:10,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,28,15,7,,0.2
76,3/17/2021 17:20:11,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,29,15,7,,0.0
77,3/17/2021 17:20:12,1.4.2,SharonCE,3,3.89,1,6,Right,Left,33,30,15,7,,0.04
78,3/17/2021 17:20:26,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,31,15,7,,0.0
79,3/17/2021 17:20:29,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,32,15,7,,0.68
80,3/17/2021 17:20:30,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,33,15,7,,0.04
81,3/17/2021 17:20:33,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,34,15,7,,0.0
82,3/17/2021 17:20:34,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,35,15,7,,0.61
83,3/17/2021 17:20:35,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,36,15,7,,0.7
84,3/17/2021 17:20:40,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,37,15,7,,0.35
85,3/17/2021 17:20:41,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,38,15,7,,0.04
86,3/17/2021 17:20:48,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,39,15,7,,0.75
87,3/17/2021 17:20:50,1.4.2,SharonCE,3,3.9,1,6,Right,Left,33,40,15,7,,0.04
88,3/17/2021 17:20:51,1.4.2,SharonCE,3,3.89,1,6,Right,Left,33,41,15,7,,0.0
89,3/17/2021 17:21:20,1.4.2,SharonCE,3,3.89,1,6,Left,Left,34,41,15,7,,0.04
90,3/17/2021 17:21:25,1.4.2,SharonCE,3,3.9,1,6,Left,Left,35,41,15,7,,0.18
91,3/17/2021 17:21:26,1.4.2,SharonCE,3,3.89,1,6,Left,Left,36,41,15,7,,0.02
92,3/17/2021 17:22:08,1.4.2,SharonCE,3,3.89,1,6,Right,Left,36,42,15,7,,0.76
93,3/17/2021 17:22:09,1.4.2,SharonCE,3,3.9,1,6,Right,Left,36,43,15,7,,0.43
94,3/17/2021 17:22:11,1.4.2,SharonCE,3,3.89,1,6,Right,Left,36,44,15,7,,0.0
95,3/17/2021 17:22:13,1.4.2,SharonCE,3,3.9,1,6,Right,Left,36,45,15,7,,0.94
96,3/17/2021 17:22:15,1.4.2,SharonCE,3,3.9,1,6,Right,Left,36,46,15,7,,0.2
97,3/17/2021 17:22:21,1.4.2,SharonCE,3,3.89,1,6,Right,Left,36,47,15,7,,0.18
98,3/17/2021 17:22:22,1.4.2,SharonCE,3,3.9,1,6,Right,Left,36,48,15,7,,0.06
99,3/17/2021 17:22:27,1.4.2,SharonCE,3,3.9,1,6,Right,Left,36,49,15,7,,0.87
100,3/17/2021 17:23:03,1.4.2,SharonCE,3,3.89,1,6,Left,Left,37,49,15,7,,0.42
101,3/17/2021 17:23:04,1.4.2,SharonCE,3,3.89,1,6,Pellet,Left,37,49,16,8,0.82,
102,3/17/2021 17:26:48,1.4.2,SharonCE,3,3.9,1,7,Right,Left,37,50,16,8,,0.05
103,3/17/2021 17:26:49,1.4.2,SharonCE,3,3.91,1,7,Right,Left,37,51,16,8,,0.08
104,3/17/2021 17:26:50,1.4.2,SharonCE,3,3.9,1,7,Right,Left,37,52,16,8,,0.13
105,3/17/2021 17:26:51,1.4.2,SharonCE,3,3.9,1,7,Right,Left,37,53,16,8,,0.0
106,3/17/2021 17:27:58,1.4.2,SharonCE,3,3.89,1,7,Right,Left,37,54,16,8,,0.0
107,3/17/2021 17:28:18,1.4.2,SharonCE,3,3.9,1,7,Left,Left,38,54,16,8,,0.51
108,3/17/2021 17:28:58,1.4.2,SharonCE,3,3.89,1,7,Left,Left,39,54,16,8,,0.0
109,3/17/2021 18:00:53,1.4.2,SharonCE,3,3.89,1,1,Left,Left,40,54,16,0,,0.08
110,3/17/2021 18:00:55,1.4.2,SharonCE,3,3.89,1,1,Pellet,Left,40,54,17,1,0.75,
111,3/17/2021 18:01:36,1.4.2,SharonCE,3,3.89,1,1,Left,Left,41,54,17,1,,0.0
112,3/17/2021 18:01:37,1.4.2,SharonCE,3,3.89,1,1,Pellet,Left,41,54,18,2,0.44,
113,3/17/2021 18:02:03,1.4.2,SharonCE,3,3.9,1,2,Left,Left,42,54,18,2,,0.24
114,3/17/2021 18:02:05,1.4.2,SharonCE,3,3.89,1,2,Left,Left,43,54,18,2,,0.46
115,3/17/2021 18:02:07,1.4.2,SharonCE,3,3.89,1,2,Pellet,Left,43,54,19,3,0.63,
116,3/17/2021 18:02:36,1.4.2,SharonCE,3,3.89,1,2,Left,Left,44,54,19,3,,0.04
117,3/17/2021 18:02:39,1.4.2,SharonCE,3,3.89,1,2,Left,Left,45,54,19,3,,0.21
118,3/17/2021 18:02:41,1.4.2,SharonCE,3,3.89,1,2,Pellet,Left,45,54,20,4,0.63,
119,3/17/2021 18:03:17,1.4.2,SharonCE,3,3.89,1,3,Left,Left,46,54,20,4,,0.21
120,3/17/2021 18:03:19,1.4.2,SharonCE,3,3.9,1,3,Left,Left,47,54,20,4,,0.32
121,3/17/2021 18:03:23,1.4.2,SharonCE,3,3.89,1,3,Left,Left,48,54,20,4,,0.18
122,3/17/2021 18:03:25,1.4.2,SharonCE,3,3.89,2,3,Pellet,Left,48,54,21,5,0.50,
123,3/17/2021 18:04:08,1.4.2,SharonCE,3,3.9,1,4,Left,Left,49,54,21,5,,0.02
124,3/17/2021 18:35:56,1.4.2,SharonCE,3,3.89,1,1,Left,Left,50,54,21,0,,0.12
125,3/17/2021 18:36:00,1.4.2,SharonCE,3,3.89,2,1,Pellet,Left,50,54,22,1,0.63,
126,3/17/2021 18:36:27,1.4.2,SharonCE,3,3.89,1,1,Left,Left,51,54,22,1,,0.0
127,3/17/2021 18:36:29,1.4.2,SharonCE,3,3.89,2,1,Pellet,Left,51,54,23,2,0.31,
128,3/17/2021 18:36:49,1.4.2,SharonCE,3,3.89,1,2,Left,Left,52,54,23,2,,0.07
129,3/17/2021 18:36:55,1.4.2,SharonCE,3,3.89,1,2,Left,Left,53,54,23,2,,0.2
130,3/17/2021 18:36:56,1.4.2,SharonCE,3,3.89,1,2,Pellet,Left,53,54,24,3,0.31,
