MM:DD:YYYY hh:mm:ss,LibaryVersion,Sessiontype,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
2/1/2021 15:33:10,1.1.4,ProRat2,4,3.89,0,1,Right,Left,0,1,0,0,nan,0.04
2/1/2021 15:33:44,1.1.4,ProRat2,4,3.89,0,1,Left,Left,1,1,0,0,nan,0.45
2/1/2021 15:33:48,1.1.4,ProRat2,4,3.89,0,1,Pellet,Left,1,1,1,1,2.21,nan
2/1/2021 15:37:42,1.1.4,ProRat2,4,3.89,0,1,Left,Left,2,1,1,1,nan,0.48
2/1/2021 15:37:45,1.1.4,ProRat2,4,3.89,0,1,Pellet,Left,2,1,2,2,1.07,nan
2/1/2021 15:43:22,1.1.4,ProRat2,4,3.89,0,2,Right,Left,2,2,2,2,nan,0.58
2/1/2021 15:48:47,1.1.4,ProRat2,4,3.89,0,2,Left,Left,3,2,2,2,nan,0.20
2/1/2021 16:01:00,1.1.4,ProRat2,4,3.89,0,2,Right,Left,3,3,2,2,nan,0.26
2/1/2021 16:04:44,1.1.4,ProRat2,4,3.89,0,2,Right,Left,3,4,2,2,nan,0.20
2/1/2021 16:05:22,1.1.4,ProRat2,4,3.89,0,2,Left,Left,4,4,2,2,nan,0.03
2/1/2021 16:05:26,1.1.4,ProRat2,4,3.89,0,2,Pellet,Left,4,4,3,3,1.71,nan
2/1/2021 16:06:27,1.1.4,ProRat2,4,3.89,0,2,Left,Left,5,4,3,3,nan,0.00
2/1/2021 16:06:39,1.1.4,ProRat2,4,3.89,0,2,Left,Left,6,4,3,3,nan,0.53
2/1/2021 16:06:41,1.1.4,ProRat2,4,3.89,0,2,Pellet,Left,6,4,4,4,0.06,nan
2/1/2021 16:07:17,1.1.4,ProRat2,4,3.89,0,3,Right,Left,6,5,4,4,nan,0.12
2/1/2021 16:07:41,1.1.4,ProRat2,4,3.89,0,3,Left,Left,7,5,4,4,nan,0.34
2/1/2021 16:07:46,1.1.4,ProRat2,4,3.89,0,3,Left,Left,8,5,4,4,nan,0.16
2/1/2021 16:07:47,1.1.4,ProRat2,4,3.89,0,3,Left,Left,9,5,4,4,nan,0.32
2/1/2021 16:07:50,1.1.4,ProRat2,4,3.89,0,3,Pellet,Left,9,5,5,5,1.39,nan
2/1/2021 16:08:26,1.1.4,ProRat2,4,3.89,0,4,Left,Left,10,5,5,5,nan,0.09
2/1/2021 16:08:31,1.1.4,ProRat2,4,3.89,0,4,Left,Left,11,5,5,5,nan,0.00
2/1/2021 16:08:34,1.1.4,ProRat2,4,3.89,0,4,Left,Left,12,5,5,5,nan,0.06
2/1/2021 16:08:41,1.1.4,ProRat2,4,3.89,0,4,Right,Left,12,6,5,5,nan,0.42
2/1/2021 16:08:45,1.1.4,ProRat2,4,3.89,0,4,Left,Left,13,6,5,5,nan,0.35
2/1/2021 16:08:47,1.1.4,ProRat2,4,3.89,0,4,Pellet,Left,13,6,6,6,0.44,nan
2/1/2021 16:17:58,1.1.4,ProRat2,4,3.89,0,5,Left,Left,14,6,6,6,nan,0.00
2/1/2021 16:19:38,1.1.4,ProRat2,4,3.89,0,5,Left,Left,15,6,6,6,nan,0.25
2/1/2021 16:19:41,1.1.4,ProRat2,4,3.89,0,5,Left,Left,16,6,6,6,nan,0.23
2/1/2021 16:19:58,1.1.4,ProRat2,4,3.89,0,5,Left,Left,17,6,6,6,nan,0.10
2/1/2021 16:21:40,1.1.4,ProRat2,4,3.89,0,5,Left,Left,18,6,6,6,nan,0.07
2/1/2021 16:21:42,1.1.4,ProRat2,4,3.89,0,5,Pellet,Left,18,6,7,7,0.63,nan
2/1/2021 16:22:06,1.1.4,ProRat2,4,3.89,0,6,Left,Left,19,6,7,7,nan,0.21
