Elapsed Hours (since 12:00),YHC_Melox_FED001_091823_04_MSHAM.CSV,YHC_Melox_FED002_091823_00_M_SHAM.CSV,YHC_Melox_FED005_091823_05_FSHAM.CSV,YHC_Melox_FED006_091823_07_FSHAM.CSV,FED000_032523_01_FSHAM.CSV,FED001_032523_01_FSHAM.CSV,FED001_091123_02_FSHAM.CSV,FED002_032523_01_FSHAM.CSV,FED002_052023_01_MSHAM.CSV,FED002_091123_02_FSHAM.CSV,FED003_030623_01_MSHAM.CSV,FED003_031123_00_MSHAM.CSV,FED003_052023_01_MSHAM.CSV,FED003_091123_00_FSHAM.CSV,FED004_030623_01_MSHAM.CSV,FED004_091123_01_FSHAM.CSV,FED005_030923_00_MSHAM.CSV,FED005_091223_04_FSHAM.CSV,FED006_052923_01_FSHAM.CSV,FED011_091223_00_MSHAM.CSV,FED012_091223_00_MSHAM.CSV,FED019_091223_05_MSHAM.CSV,FED021_091223_00_MSHAM.CSV,FED027_091223_00_MSHAM.CSV,JMT_cPR_FED000_060524_01_F_SHAM.CSV,JMT_cPR_FED010_060524_01_F_SHAM.CSV,JMT_cPR_FED011_011001_41_F_SHAM.CSV,JMT_cPR_FED012_060524_02_F_SHAM.CSV,JMT_cPR_FED016_060524_01_F_SHAM.CSV,JMT_cPR_FED034_060524_01_M_SHAM.CSV,F_Ctrl_FR1_Met1_FED001_031524_02_Initial.csv,F_Ctrl_FR1_Met1_FED002_031524_03_Initial.csv,F_Ctrl_FR1_Met1_FED003_031524_03_Initial.csv,F_Ctrl_FR1_Met2_FED001_041224_02_Initial.csv,F_Ctrl_FR1_Met2_FED002_041224_03_Initial.csv,F_Ctrl_FR1_Met2_FED003_041224_03_Initial.csv,F_Ctrl_FR1_Met2_FED013_041224_04_Initial.csv,F_Ctrl_FR1_Met2_FED014_041224_00_Initial.csv,M_Ctrl_FR1_Met1_FED004_031524_05_Initial.csv,M_Ctrl_FR1_Met1_FED005_031524_02_Initial.csv,M_Ctrl_FR1_Met1_FED006_031524_04_Initial.csv,M_Ctrl_FR1_Met2_FED004_041224_01_Initial.csv,M_Ctrl_FR1_Met2_FED005_041224_01_Initial.csv,M_Ctrl_FR1_Met2_FED006_041224_01_Initial.csv,Ctrl_CE1r_FED004_020821_02_FSHAM.CSV,Ctrl_F_FED005_082123_02.CSV,Ctrl_F_FED005_090623_concat_00.CSV,Ctrl_F_FED006_082123_02.CSV,Ctrl_F_FED006_090623_01.CSV,Ctrl_M_FED001_082123_03.CSV,Ctrl_M_FED001_090523_01.CSV,Ctrl_M_FED002_082223_01_concat_00.CSV,Ctrl_M_FED002_090523_00.CSV,Ctrl_M_FED003_082123_02.CSV,Ctrl_M_FED003_090523_02.CSV,Ctrl_M_FED004_082123_03.CSV,Ctrl_M_FED004_090523_02.CSV,rPR_Ctrl_M_FED001_072821_00.CSV,rPR_Ctrl_M_FED002_072823_03.CSV,rPR_Ctrl_M_FED003_073123_02.CSV,rPR_Ctrl_M_FED004_072823_03.CSV,YHC_Hal_FED001_042123_04_F_SHAM.CSV,YHC_Hal_FED002_042123_04_F_SHAM.CSV,YHC_Hal_FED003_042123_04_FSHAM.CSV,YHC_Hal_FED004_042123_05_F_SHAM.CSV,YHC_Hal_FED007_042123_02_MSHAM.CSV,YHC_Hal_FED008_042123_01_M_SHAM.CSV,RevNeu_Ctrl_F_CE6_FED000_041221_00.CSV,RevNeu_Ctrl_F_CE6_FED003_041221_00.CSV,RevNeu_Ctrl_F_CE6_FED005_041221_03.CSV,RevNeu_Ctrl_F_CE7_FED001_042221_01.CSV,YHC_Melox_FED003_091823_05_MSNI.CSV,YHC_Melox_FED004_091823_04_MSNI.CSV,YHC_Melox_FED007_091823_00_FSNI.CSV,YHC_Melox_FED008_091823_02_FSNI.CSV,JMT_2sB_FED014_091123_00_MSNI.CSV,JMT_FED022_091123_01_M_SNI.CSV,FED000_030623_01_FSNI.CSV,FED000_030923_00_FSNI.CSV,FED000_062123_01_MSNI.CSV,FED001_030623_01_FSNI.CSV,FED001_052023_01_MSNI.CSV,FED001_053023_04_FSNI.CSV,FED002_030623_01_MSNI.CSV,FED002_092623_03_MSNI.CSV,FED002_093023_00_MSNI.CSV,FED002_100523_00_MSNI.CSV,FED003_032523_01_FSNI.CSV,FED003_092623_02_MSNI.CSV,FED004_032523_01_FSNI.CSV,FED004_052223_01_MSNI.CSV,FED005_090723_Concat_MSNI.csv,FED006_091123_01_FSNI.CSV,FED007_091123_01_FSNI.CSV,FED008_091123_01_FSNI.CSV,FED009_091123_01_FSNI.CSV,FED010_091123_01_FSNI.CSV,FED015_091123_00_MSNI.CSV,FED016_091123_00_MSNI.CSV,FED018_091123_00_MSNI.CSV,FED024_091223_00_Concat_MSNI.csv,JMT_cPR_FED002_060524_01_F_SNI.CSV,JMT_cPR_FED003_060524_01_F_SNI.CSV,JMT_cPR_FED004_060524_01_F_SNI.CSV,JMT_cPR_FED005_060524_01_F_SNI.CSV,JMT_cPR_FED006_060524_01_F_SNI.CSV,JMT_cPR_FED027_060524_01_M_SNI.CSV,F_SNI_FR1_Met1_FED007_031524_05_Initial.csv,F_SNI_FR1_Met1_FED008_031624_02_Initial.csv,F_SNI_FR1_Met2_FED007_041224_02_Initial.csv,F_SNI_FR1_Met2_FED008_041224_02_Initial.csv,F_SNI_FR1_Met2_FED009_041224_02_Initial.csv,F_SNI_FR1_Met2_FED015_041224_02_Initial.csv,F_SNI_FR1_Met2_FED016_041224_01_Initial.csv,M_SNI_FR1_Met1_FED010_031524_04_Initial.csv,M_SNI_FR1_Met1_FED011_031524_01_Initial.csv,M_SNI_FR1_Met1_FED011_031824_03_Initial.csv,M_SNI_FR1_Met1_FED012_031524_03_Initial.csv,M_SNI_FR1_Met2_FED010_041224_02_Initial.csv,M_SNI_FR1_Met2_FED011_041224_02_Initial.csv,M_SNI_FR1_Met2_FED012_041224_06_Initial.csv,FED004_013021_00_MSNI.CSV,FED004_020821_02_MSNI.CSV,FED005_020821_03_FSNI.CSV,FED006_020221_02_FSNI.CSV,rPR_SNI_M_FED005_072823_03.CSV,rPR_SNI_M_FED006_072823_03.CSV,rPR_SNI_M_FED007_072823_03.CSV,rPR_SNI_M_FED008_072823_03.CSV,SNI_M_FED007_082123_02.CSV,SNI_M_FED008_082123_03.CSV,RevNeu_SNI_F_CE3r2_FED003_033121_concat_00.CSV,RevNeu_SNI_F_CE3r2_FED005_033121_01.CSV,RevNeu_SNI_F_CE3r2_FED006_033121_04.CSV,RevNeu_SNI_F_CE6_FED006_041221_00.CSV,RevNeu_SNI_F_CE6_FED022_040621_03.CSV,RevNeu_SNI_F_CE7_FED002_042221_03.CSV,RevNeu_SNI_F_CE7_FED003_042221_02.CSV,SHAM,SHAM SEM,SNI,SNI SEM
0.0,,,,,,,14.285714285714285,,,0.0,,50.0,,16.666666666666664,,,,,,,,,,,,,90.32258064516128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,62.5,,,,,,,,,25.0,16.0,,50.0,3.8461538461538463,11.11111111111111,,11.11111111111111,6.666666666666667,,,,,,,,,,,,,,,,36.84210526315789,,,,,,,,,,,,,,,,,,,,,,34.254992319508446,16.237311185637523,22.93271479982006,6.438348704289519
1.0,,,,,,,12.5,,,60.0,,,,0.0,,,,,,10.0,7.142857142857142,,,,,,72.22222222222221,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.25,6.25,,,,,,,100.0,,,,,,,,,,22.727272727272727,,0.0,26.666666666666668,11.76470588235294,,38.46153846153847,0.0,,,,,,,,,,,,,,,,83.33333333333334,,,,,,,,,,,,,,,,,,,,,,20.233134920634917,10.219276079639872,32.04535170711641,10.81992096201065
2.0,,,,,,,,,,,,100.0,,25.0,,,,,,57.14285714285714,0.0,25.0,40.0,,75.0,63.63636363636363,91.66666666666666,68.0,70.1492537313433,87.27272727272727,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.666666666666664,0.0,,,,,,,77.77777777777779,,,,,,,,,,50.0,,,22.22222222222222,50.0,,66.66666666666666,0.0,,,,50.0,62.5,64.70588235294117,,,,,,,,,,100.0,,,,,,40.0,44.44444444444444,,,,,,,,,,,,,,,57.1436821884583,8.205654718112127,48.21311858076564,7.3345392095733155
3.0,,,,,,,,,,,,100.0,,,,,,,,83.33333333333334,57.14285714285714,0.0,100.0,55.35714285714286,86.95652173913044,68.75,,87.75510204081633,66.66666666666666,86.36363636363636,0.0,0.0,,50.0,53.84615384615385,50.0,,,,,,100.0,37.5,33.33333333333333,69.23076923076923,46.15384615384615,,100.0,,31.25,,,,62.5,,75.0,,,,,,,,,,,,,,0.0,,,,,,55.55555555555556,0.0,,,,,,,100.0,,,,,,,,,,,,12.5,20.833333333333336,0.0,,0.0,,38.46153846153847,67.56756756756756,70.37037037037037,71.1864406779661,57.77777777777777,88.88888888888889,,,0.0,33.33333333333333,50.0,,,,,100.0,,0.0,50.0,,,69.23076923076923,73.58490566037736,,,,,,36.84210526315789,54.54545454545454,,,,,100.0,,,57.736129334910984,6.366248199921358,47.944918361087105,6.923821992960569
4.0,33.33333333333333,70.0,100.0,100.0,100.0,60.0,,,,50.0,,100.0,,100.0,,,,,,77.77777777777779,85.71428571428571,,,66.66666666666666,70.37037037037037,63.63636363636363,,95.45454545454545,72.88135593220339,92.85714285714286,100.0,40.0,48.0,63.63636363636363,45.33333333333333,45.45454545454545,25.0,55.55555555555556,63.1578947368421,35.714285714285715,42.30769230769231,57.14285714285714,20.0,42.30769230769231,75.0,38.88888888888889,,26.82926829268293,,30.0,,62.5,,27.27272727272727,,78.37837837837837,,,,,,,,,,,,100.0,95.65217391304348,79.48717948717949,,66.66666666666666,72.72727272727273,50.0,100.0,33.33333333333333,,,50.0,,100.0,,,64.70588235294117,,,,,,,,,,33.33333333333333,18.181818181818183,100.0,,70.96774193548387,,,,52.77777777777778,65.57377049180327,68.75,72.72727272727273,66.66666666666666,90.47619047619048,36.36363636363637,,58.82352941176471,58.333333333333336,46.51162790697674,,14.285714285714285,50.0,66.66666666666666,100.0,100.0,52.17391304347826,37.93103448275862,55.00000000000001,50.0,75.0,64.61538461538461,,,,,,22.22222222222222,33.33333333333333,,,,86.66666666666667,40.0,100.0,,64.30026044304287,3.966127860928381,61.179336552697265,3.9294995240859625
5.0,33.33333333333333,56.25,51.28205128205128,52.0,33.33333333333333,0.0,,100.0,28.57142857142857,,,,,,,,,40.0,,100.0,100.0,63.41463414634146,65.0,80.0,100.0,78.26086956521739,100.0,97.5609756097561,87.5,95.65217391304348,100.0,60.0,75.0,61.111111111111114,43.75,54.054054054054056,50.0,48.57142857142857,59.25925925925925,58.333333333333336,51.85185185185185,61.53846153846154,86.95652173913044,46.875,71.42857142857143,73.33333333333333,71.42857142857143,44.44444444444444,10.344827586206897,50.0,,,100.0,26.08695652173913,33.33333333333333,86.95652173913044,42.857142857142854,,50.0,,60.0,,,,,,,85.18518518518519,77.41935483870968,86.95652173913044,,52.0,55.00000000000001,66.66666666666666,100.0,44.44444444444444,0.0,,76.92307692307693,,20.0,,0.0,,,95.23809523809523,,,100.0,33.33333333333333,,26.08695652173913,,,,0.0,50.0,66.66666666666666,,30.434782608695656,,70.58823529411765,67.85714285714286,90.9090909090909,100.0,90.9090909090909,100.0,37.83783783783784,,73.17073170731707,55.88235294117647,56.25,40.54054054054054,54.347826086956516,66.66666666666666,33.33333333333333,,16.666666666666664,57.14285714285714,33.33333333333333,78.26086956521739,33.33333333333333,71.42857142857143,66.66666666666666,40.0,52.94117647058824,30.76923076923077,,100.0,0.0,66.66666666666666,,100.0,,100.0,67.85714285714286,80.0,0.0,63.78469171297268,3.549999873713808,56.12557931400537,4.345871104746035
6.0,41.66666666666667,66.66666666666666,47.22222222222222,82.35294117647058,25.0,,,25.0,0.0,,,100.0,,100.0,100.0,,,59.57446808510638,,80.0,44.44444444444444,100.0,,92.85714285714286,90.47619047619048,100.0,80.0,79.16666666666666,88.46153846153845,100.0,75.0,40.0,55.00000000000001,57.14285714285714,60.0,57.14285714285714,83.33333333333334,67.64705882352942,36.36363636363637,62.5,44.0,78.94736842105263,94.44444444444444,88.0,84.84848484848484,44.11764705882353,59.09090909090909,75.0,43.47826086956522,100.0,75.0,0.0,64.70588235294117,84.0,46.666666666666664,85.0,44.44444444444444,100.0,50.0,87.5,38.095238095238095,45.45454545454545,0.0,47.05882352941176,22.857142857142858,16.666666666666664,40.0,90.0,80.0,100.0,0.0,22.22222222222222,62.5,66.66666666666666,37.5,100.0,0.0,66.66666666666666,0.0,62.5,,,37.5,100.0,14.285714285714285,66.66666666666666,,,,100.0,73.68421052631578,3.225806451612903,,42.857142857142854,,16.666666666666664,55.55555555555556,100.0,,25.0,,95.0,95.83333333333334,100.0,90.47619047619048,100.0,100.0,58.06451612903226,,68.18181818181817,57.14285714285714,50.0,52.94117647058824,28.57142857142857,66.66666666666666,62.5,,64.28571428571429,36.36363636363637,35.714285714285715,76.92307692307693,50.0,84.84848484848484,72.22222222222221,0.0,30.0,36.36363636363637,80.0,,,,75.0,83.33333333333334,90.0,100.0,50.0,82.6086956521739,100.0,63.32895508596233,3.641919029369034,60.87808285365491,4.165729059268463
7.0,25.0,50.0,25.0,,68.75,8.333333333333332,0.0,55.55555555555556,,100.0,100.0,100.0,0.0,100.0,0.0,,,76.92307692307693,,77.77777777777779,66.66666666666666,82.75862068965517,87.5,73.68421052631578,81.81818181818183,83.33333333333334,89.47368421052632,86.95652173913044,90.0,92.10526315789474,84.0,61.36363636363637,51.28205128205128,77.5,61.36363636363637,44.44444444444444,66.66666666666666,69.44444444444444,57.49999999999999,78.37837837837837,70.0,88.88888888888889,78.57142857142857,93.75,70.0,65.0,80.0,100.0,31.57894736842105,93.33333333333333,78.94736842105263,50.0,66.66666666666666,65.21739130434783,29.411764705882355,92.85714285714286,77.27272727272727,0.0,44.44444444444444,91.30434782608695,40.54054054054054,30.76923076923077,57.692307692307686,42.857142857142854,63.63636363636363,60.0,71.42857142857143,100.0,58.333333333333336,100.0,100.0,72.72727272727273,44.44444444444444,50.0,55.55555555555556,38.88888888888889,0.0,33.33333333333333,71.42857142857143,57.89473684210527,36.36363636363637,0.0,66.66666666666666,71.42857142857143,18.75,78.57142857142857,100.0,0.0,100.0,100.0,89.47368421052632,0.0,,57.14285714285714,60.60606060606061,51.724137931034484,31.818181818181817,36.36363636363637,,60.71428571428571,,85.18518518518519,76.47058823529412,71.875,100.0,85.71428571428571,76.92307692307693,78.78787878787878,76.47058823529412,66.66666666666666,68.42105263157895,62.5,30.0,45.45454545454545,50.0,76.92307692307693,,67.64705882352942,71.42857142857143,54.90196078431373,81.81818181818183,44.44444444444444,70.0,100.0,0.0,50.0,16.666666666666664,79.41176470588235,0.0,,41.02564102564102,76.36363636363637,100.0,92.3076923076923,100.0,60.0,100.0,75.0,66.15274887261542,3.3782961567826555,59.940379244556446,3.6655868517262507
8.0,71.42857142857143,50.0,48.57142857142857,52.94117647058824,100.0,18.75,50.0,25.0,,,56.25,93.75,,100.0,100.0,,18.75,77.77777777777779,66.66666666666666,90.9090909090909,72.72727272727273,63.33333333333333,84.21052631578947,60.0,100.0,70.73170731707317,100.0,85.0,80.0,91.42857142857143,75.0,56.41025641025641,65.78947368421053,75.60975609756098,91.8918918918919,72.41379310344827,63.26530612244898,59.45945945945946,50.0,91.66666666666666,73.33333333333333,61.111111111111114,82.85714285714286,91.30434782608695,88.46153846153845,55.55555555555556,79.16666666666666,83.33333333333334,86.66666666666667,93.33333333333333,86.66666666666667,,62.5,72.0,25.0,88.88888888888889,70.0,,7.894736842105263,100.0,76.66666666666667,45.45454545454545,79.6875,64.70588235294117,78.78787878787878,72.72727272727273,11.11111111111111,100.0,87.5,100.0,100.0,50.0,33.33333333333333,60.0,50.0,17.647058823529413,14.285714285714285,61.111111111111114,66.66666666666666,71.42857142857143,42.30769230769231,57.14285714285714,41.66666666666667,57.14285714285714,28.57142857142857,94.11764705882352,,75.0,58.333333333333336,60.0,72.72727272727273,0.0,40.0,22.448979591836736,70.83333333333334,63.63636363636363,21.428571428571427,12.931034482758621,,42.42424242424242,,74.07407407407408,55.55555555555556,81.25,93.02325581395348,91.66666666666666,100.0,78.72340425531915,55.55555555555556,51.85185185185185,54.54545454545454,74.4186046511628,50.0,62.5,58.333333333333336,81.81818181818183,,91.66666666666666,86.20689655172413,82.6086956521739,92.3076923076923,61.111111111111114,88.46153846153845,84.84848484848484,75.0,35.0,40.54054054054054,96.42857142857143,27.27272727272727,80.0,83.33333333333334,82.75862068965517,100.0,71.42857142857143,100.0,66.66666666666666,100.0,92.85714285714286,71.60687546192234,2.8789748465610447,63.285681483090066,3.1391137790212107
9.0,90.0,53.84615384615385,82.5,75.86206896551724,68.18181818181817,61.53846153846154,68.08510638297872,0.0,11.538461538461538,58.333333333333336,50.0,75.0,,25.0,64.51612903225806,,12.096774193548388,52.27272727272727,43.75,74.19354838709677,35.714285714285715,80.95238095238095,76.92307692307693,77.77777777777779,81.81818181818183,84.0,100.0,100.0,91.22807017543859,87.87878787878788,100.0,52.77777777777778,52.17391304347826,73.52941176470588,76.47058823529412,48.888888888888886,78.84615384615384,63.888888888888886,56.41025641025641,81.81818181818183,84.61538461538461,80.76923076923077,75.0,93.33333333333333,69.44444444444444,56.25,100.0,69.6969696969697,72.22222222222221,83.33333333333334,89.47368421052632,88.88888888888889,78.37837837837837,83.33333333333334,97.22222222222221,93.33333333333333,68.18181818181817,,62.857142857142854,100.0,84.21052631578947,26.53061224489796,52.27272727272727,33.33333333333333,91.30434782608695,65.21739130434783,56.52173913043478,100.0,,100.0,100.0,87.17948717948718,67.74193548387096,71.875,44.0,3.79746835443038,10.0,68.0,63.63636363636363,60.0,78.57142857142857,,82.85714285714286,81.81818181818183,40.0,76.19047619047619,100.0,100.0,90.47619047619048,84.21052631578947,95.65217391304348,0.0,39.285714285714285,14.035087719298245,36.84210526315789,27.659574468085108,33.89830508474576,36.17021276595745,,39.53488372093023,70.0,77.27272727272727,65.0,82.35294117647058,100.0,86.66666666666667,88.23529411764706,87.87878787878788,71.42857142857143,56.75675675675676,79.16666666666666,85.71428571428571,76.08695652173914,71.7948717948718,84.0,80.0,,76.0,91.66666666666666,86.79245283018868,90.9090909090909,79.16666666666666,69.44444444444444,100.0,85.71428571428571,39.130434782608695,50.0,87.5,23.52941176470588,90.2439024390244,95.45454545454545,87.87878787878788,100.0,88.23529411764706,100.0,73.52941176470588,95.65217391304348,100.0,70.50053137065805,2.8329327160661584,70.41616177259213,3.2655144088198567
