Unnamed: 0,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1791,2021-09-04 19:01:30,1.8.1,PRexp,1,4.03,1,56,Left,Left,1612,11,169,24,,,0.22
1792,2021-09-04 19:01:32,1.8.1,PRexp,1,4.03,1,56,Left,Left,1613,11,169,24,,,0.14
1793,2021-09-04 19:01:35,1.8.1,PRexp,1,4.03,1,56,Left,Left,1614,11,169,24,,,0.34
1794,2021-09-04 19:01:35,1.8.1,PRexp,1,4.03,1,56,Left,Left,1615,11,169,24,,,0.0
1795,2021-09-04 19:01:36,1.8.1,PRexp,1,4.03,1,56,Left,Left,1616,11,169,24,,,0.14
1796,2021-09-04 19:01:37,1.8.1,PRexp,1,4.03,1,56,Left,Left,1617,11,169,24,,,0.22
1797,2021-09-04 19:01:39,1.8.1,PRexp,1,4.03,1,56,Left,Left,1618,11,169,24,,,0.32
1798,2021-09-04 19:01:40,1.8.1,PRexp,1,4.03,1,56,Left,Left,1619,11,169,24,,,0.3
1799,2021-09-04 19:01:41,1.8.1,PRexp,1,4.03,1,56,Left,Left,1620,11,169,24,,,0.3
1800,2021-09-04 19:01:43,1.8.1,PRexp,1,4.03,1,56,Left,Left,1621,11,169,24,,,0.31
1801,2021-09-04 19:01:44,1.8.1,PRexp,1,4.03,1,56,Left,Left,1622,11,169,24,,,0.15
1802,2021-09-04 19:01:46,1.8.1,PRexp,1,4.03,1,56,Left,Left,1623,11,169,24,,,0.06
1803,2021-09-04 19:01:49,1.8.1,PRexp,1,4.03,1,56,Left,Left,1624,11,169,24,,,0.51
1804,2021-09-04 19:01:52,1.8.1,PRexp,1,4.03,1,56,Left,Left,1625,11,169,24,,,0.4
1805,2021-09-04 19:01:54,1.8.1,PRexp,1,4.03,1,56,Left,Left,1626,11,169,24,,,0.38
1806,2021-09-04 19:02:03,1.8.1,PRexp,1,4.03,1,56,Left,Left,1627,11,169,24,,,0.47
