TimeStamp,Events,CH1-410,CH1-470,ToneStart,PelletGrab
0.0,,1374.787,1504.358,0,0
66.667,,1371.305,1503.588,0,0
133.337,,1396.793,1488.125,0,0
199.999,,1338.955,1473.82,0,0
266.668,,1339.434,1459.424,0,0
333.337,,1327.751,1420.854,0,0
400.001,,1328.205,1402.203,0,0
466.67,,1315.989,1390.632,0,0
533.332,,1311.624,1374.748,0,0
600.002,,1308.65,1379.236,0,0
666.669,,1320.108,1368.031,0,0
733.337,,1315.858,1384.975,0,0
800.003,,1338.23,1372.65,0,0
866.669,,1298.744,1355.424,0,0
933.336,,1283.792,1340.808,0,0
1000.001,,1286.45,1330.341,0,0
1066.668,,1280.137,1314.148,0,0
1133.338,,1278.722,1299.901,0,0
1200.002,,1278.212,1285.424,0,0
1266.672,,1268.154,1274.806,0,0
1333.334,,1264.365,1267.167,0,0
1400.002,,1273.497,1255.409,0,0
1466.672,,1273.183,1251.029,0,0
1533.334,,1267.526,1247.211,0,0
1600.004,,1269.273,1238.145,0,0
1666.67,,1276.905,1239.061,0,0
1733.335,,1274.242,1245.724,0,0
1800.0,,1265.117,1242.937,0,0
1866.668,,1265.001,1246.408,0,0
1933.334,,1265.719,1254.287,0,0
2000.005,,1261.164,1258.495,0,0
2066.667,,1267.515,1252.718,0,0
2133.339,,1262.018,1255.443,0,0
2200.002,,1260.526,1263.053,0,0
2266.669,,1270.463,1270.474,0,0
2333.335,,1263.732,1281.302,0,0
2400.002,,1256.92,1279.086,0,0
2466.671,,1264.604,1286.875,0,0
2533.336,,1272.055,1306.484,0,0
2599.999,,1269.771,1317.029,0,0
2666.666,,1269.005,1316.848,0,0
2733.334,,1272.928,1311.24,0,0
2800.0,,1274.069,1310.163,0,0
2866.671,,1264.687,1314.416,0,0
2933.337,,1271.825,1319.531,0,0
3000.006,,1280.132,1322.075,0,0
3066.667,,1276.117,1329.016,0,0
3133.335,,1262.766,1326.416,0,0
3200.002,,1241.906,1305.083,0,0
3266.669,,1263.165,1321.101,0,0
3333.334,,1269.955,1304.55,0,0
3400.0,,1260.5,1302.632,0,0
3466.667,,1268.287,1287.56,0,0
3533.337,,1274.15,1280.274,0,0
3600.0,,1273.156,1275.602,0,0
3666.671,,1275.175,1271.694,0,0
