TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart,PelletGrab

0.0,,1055.9,1217.854,,0,0

66.667,,1046.14,1198.107,,0,0

133.328,,1040.539,1181.565,,0,0

199.996,,1033.196,1177.154,,0,0

266.662,,1028.316,1171.716,,0,0

333.332,,1025.9,1169.03,,0,0

399.995,,1023.752,1165.535,,0,0

466.665,,1027.111,1160.578,,0,0

533.33,,1020.909,1144.7,,0,0

599.994,,1017.044,1133.54,,0,0

666.664,,1013.921,1129.825,,0,0

733.329,,1020.681,1106.838,,0,0

799.995,,1006.8,1099.918,,0,0

866.661,,1007.248,1105.015,,0,0

933.331,,1005.252,1104.784,,0,0

999.997,,1004.402,1112.838,,0,0

1066.665,,999.046,1107.218,,0,0

1133.331,,994.35,1105.09,,0,0

1199.998,,993.426,1099.967,,0,0

1266.662,,993.671,1093.648,,0,0

1333.333,,999.57,1087.66,,0,0

1399.998,,1000.656,1090.698,,0,0

1466.664,,999.556,1089.007,,0,0

1533.327,,1003.572,1090.953,,0,0

1599.997,,1002.43,1094.576,,0,0

1666.666,,1000.283,1096.974,,0,0

1733.33,,1003.062,1101.551,,0,0

1799.995,,1000.601,1125.325,,0,0

1866.662,,998.44,1139.433,,0,0

1933.332,,1000.902,1150.137,,0,0

1999.999,,997.862,1157.65,,0,0

2066.664,,996.316,1168.066,,0,0

2133.332,,997.222,1183.525,,0,0

2200.001,,1000.707,1202.454,,0,0

2266.663,,1000.421,1234.37,,0,0

2333.327,,993.744,1237.598,,0,0

2399.996,,991.026,1256.759,,0,0

2466.663,,990.575,1250.168,,0,0

2533.334,,992.262,1218.326,,0,0

2599.995,,991.866,1197.225,,0,0

2666.664,,988.783,1192.775,,0,0

2733.33,,990.925,1186.472,,0,0

2799.996,,991.436,1169.096,,0,0

2866.668,,988.15,1157.841,,0,0

2933.329,,990.804,1140.471,,0,0

2999.995,,990.377,1135.568,,0,0

3066.666,,989.498,1138.393,,0,0

3133.329,,992.386,1144.525,,0,0

3199.998,,993.037,1146.76,,0,0

3266.666,,989.552,1141.975,,0,0

3333.333,,993.05,1145.39,,0,0

3399.998,,992.76,1139.339,,0,0

3466.667,,988.848,1141.935,,0,0

3533.333,,989.613,1135.996,,0,0

3599.996,,986.484,1126.345,,0,0

3666.665,,988.368,1122.997,,0,0

3733.33,,989.516,1121.574,,0,0

3800.001,,987.631,1123.573,,0,0

3866.667,,987.632,1119.547,,0,0

3933.328,,995.403,1114.859,,0,0

3999.998,,993.282,1115.227,,0,0

4066.664,,992.108,1111.282,,0,0

4133.328,,994.717,1117.799,,0,0

4200.0,,997.986,1136.491,,0,0

4266.667,,992.944,1141.487,,0,0

4333.331,,996.509,1135.954,,0,0

4399.995,,996.082,1132.232,,0,0

4466.666,,995.958,1134.346,,0,0

4533.334,,993.984,1128.132,,0,0

4599.996,,994.759,1119.919,,0,0

4666.664,,995.326,1130.209,,0,0

4733.332,,996.131,1149.858,,0,0

4800.0,,997.412,1159.752,,0,0

4866.667,,996.755,1151.697,,0,0

4933.334,,990.902,1153.805,,0,0

4999.999,,986.802,1166.286,,0,0

5066.663,,985.609,1181.56,,0,0

5133.328,,988.732,1184.878,,0,0

5199.997,,992.361,1186.762,,0,0

5266.664,,993.624,1178.671,,0,0

5333.328,,991.581,1181.547,,0,0

5399.995,,995.747,1170.461,,0,0

5466.665,,991.819,1171.947,,0,0

5533.331,,988.805,1157.887,,0,0

5600.0,,988.435,1157.493,,0,0

5666.662,,992.552,1151.951,,0,0

5733.328,,996.14,1150.363,,0,0

5800.001,,995.053,1143.817,,0,0

5866.666,,995.283,1142.861,,0,0

5933.334,,990.97,1143.153,,0,0

5999.998,,991.139,1141.166,,0,0

6066.665,,992.308,1132.934,,0,0

6133.331,,989.727,1135.941,,0,0

6200.0,,988.693,1143.686,,0,0

6266.664,,989.86,1137.528,,0,0

6333.333,,992.878,1135.787,,0,0

6399.995,,989.496,1134.878,,0,0

6466.667,,990.158,1127.334,,0,0

6533.328,,992.099,1134.092,,0,0

6599.998,,993.877,1135.877,,0,0

6666.665,,995.648,1142.123,,0,0

6733.331,,997.949,1131.352,,0,0

6799.997,,997.877,1127.721,,0,0

6866.666,,996.153,1123.363,,0,0

6933.331,,999.964,1126.444,,0,0

6999.998,,1003.45,1127.713,,0,0

7066.663,,998.721,1115.256,,0,0

7133.329,,998.124,1100.552,,0,0

7199.999,,999.916,1088.74,,0,0

7266.666,,995.852,1075.699,,0,0

7333.328,,989.11,1072.45,,0,0

7399.997,,988.498,1082.205,,0,0

7466.666,,994.123,1088.046,,0,0

7533.33,,993.789,1091.921,,0,0

7600.001,,993.978,1097.334,,0,0

7666.663,,996.664,1092.711,,0,0

7733.332,,996.574,1100.944,,0,0

7799.994,,998.044,1105.174,,0,0

7866.664,,1002.939,1104.125,,0,0

7933.33,,1007.13,1109.033,,0,0

7999.999,,1007.822,1121.67,,0,0

8066.664,,1011.121,1114.648,,0,0

8133.331,,1010.888,1117.0,,0,0

8200.0,,1006.451,1107.999,,0,0

8266.661,,1007.678,1100.141,,0,0

8333.334,,1003.189,1087.841,,0,0

8399.999,,1011.448,1085.86,,0,0

8466.661,,1010.352,1085.195,,0,0

8533.331,,1010.543,1090.219,,0,0

8599.997,,1013.95,1093.09,,0,0

8666.664,,1011.887,1105.729,,0,0

8733.33,,1008.763,1138.69,,0,0

8799.994,,1008.199,1183.785,,0,0

8866.667,,1008.944,1220.911,,0,0

8933.332,,1007.663,1209.093,,0,0

8999.996,,1003.806,1178.439,,0,0

9066.667,,1005.589,1171.007,,0,0

