Group,file_name,Peak Firing Rate (Hz),Current at Peak (pA)
naive,2022_12_14_0008.abf,5.0,80
naive,2022_12_14_0009.abf,6.0,130
naive,2022_12_14_0023.abf,4.0,210
naive,2022_12_14_0029.abf,8.0,160
naive,2022_12_20_0002.abf,4.0,90
naive,2022_12_20_0027.abf,5.0,220
naive,2022_12_20_0042.abf,14.0,240
naive,2024_10_12_0009.abf,7.5,20
naive,2024_10_12_0013.abf,8.5,190
naive,2024_10_12_0026.abf,1.5,160
naive,2024_10_12_0043.abf,10.5,120
naive,2024_10_13_0003.abf,1.5,80
naive,2024_10_13_0003jmt.abf,4.0,30
naive,2024_10_13_0016.abf,6.0,150
naive,2024_10_13_0028.abf,5.0,130
naive,2024_10_13_0042.abf,5.5,10
naive,2025_01_02_0002.abf,9.0,250
naive,2025_01_02_0002_mc.abf,15.0,190
naive,2025_01_02_0009.abf,9.0,250
naive,2025_01_02_0016.abf,7.0,110
naive,2025_01_02_0033.abf,4.0,100
naive,2025_01_02_0040.abf,10.0,210
naive,2025_01_03_0002_mc.abf,10.0,190
naive,2025_01_03_0009_mc.abf,6.5,140
acute sham,2023_09_30_0003.abf,9.0,30
acute sham,2023_09_30_0009.abf,5.0,60
acute sham,2023_09_30_0019.abf,1.0,80
acute sham,2023_09_30_0029.abf,1.5,50
acute sham,2023_09_30_0040.abf,4.0,90
acute sham,2023_09_30_0050.abf,2.5,80
acute sham,2023_10_01_0002.abf,3.0,70
acute sham,2023_10_01_0012.abf,4.0,40
acute sham,2024_01_05_0006.abf,1.0,80
acute sham,2024_01_05_0014.abf,7.5,140
acute sham,2024_01_05_0022.abf,11.0,240
acute sham,2024_10_15_0003.abf,7.5,60
acute sham,2024_10_15_0014.abf,10.0,110
acute sham,2024_10_15_0022.abf,7.0,170
acute sham,2024_10_15_0030.abf,9.0,150
acute sham,2024_10_15_0034.abf,10.0,60
acute sham,2024_10_15_0040.abf,12.5,20
acute sham,2024_10_16_0002.abf,15.0,170
acute sham,2024_10_16_0008.abf,12.5,90
acute sni,2023_09_21_0002.abf,0.5,130
acute sni,2023_09_21_0023.abf,20.0,160
acute sni,2023_09_22_0002.abf,2.5,90
acute sni,2023_09_22_0012.abf,1.5,70
acute sni,2024_03_12_0011.abf,6.5,230
acute sni,2024_03_13_0002.abf,1.5,20
acute sni,2024_03_13_0008.abf,1.0,20
acute sni,2024_03_13_0017.abf,0.5,10
acute sni,2024_12_11_0002.abf,12.5,110
acute sni,2024_12_11_0009.abf,12.0,20
acute sni,2024_12_11_0014.abf,7.5,50
acute sni,2024_12_11_0022.abf,13.0,240
acute sni,2024_12_11_0029.abf,9.5,200
acute sni,2024_12_21_0002.abf,10.5,50
acute sni,2024_12_21_0011.abf,9.0,110
acute sni,2024_12_21_0018.abf,11.0,80
acute sni,2025_01_11_0007.abf,7.5,80
acute sni,2025_01_11_0014.abf,12.0,50
acute sni,2025_01_11_0018.abf,14.5,180
acute sni,2025_01_11_0026.abf,5.5,70
acute sni,2025_01_11_0033.abf,4.5,70
acute sni,2025_01_11_0044.abf,6.5,160
