Elapsed Hours (since 7:00),F_Halo1_H1_FED001_050323_00.CSV,F_Halo1_H1_FED002_050323_00.CSV,F_Halo1_H1_FED003_050423_00.CSV,F_Halo1_H1_FED004_050423_00.CSV,F_Halo2_H1_FED001_011724_00.CSV,F_Halo2_H1_FED002_011824_00.CSV,F_Halo3_H1_FED006_020724_00.csv,F_Halo3_H1_FED007_020824_00.CSV,F_Halo3_H1_FED008_020724_00.CSV,F_Halo3_H1_FED009_020824_00.CSV,F_Halo3_H1_FED010_020724_00.CSV,M_Halo1_H1_FED007_050323_00.CSV,M_Halo1_H1_FED008_050423_concat_00.CSV,M_Halo2_H1_FED003_011724_00.CSV,M_Halo2_H1_FED004_011824_00.CSV,M_Halo2_H1_FED006_012024_02.csv,M_Halo3_H1_FED002_020724_00.CSV,M_Halo3_H1_FED003_020824_00.CSV,F_Halo1_V1_FED001_050423_00.CSV,F_Halo1_V1_FED002_050423_00.CSV,F_Halo1_V1_FED003_050323_00.CSV,F_Halo1_V1_FED004_050323_00.CSV,F_Halo2_V1_FED001_011824_00.CSV,F_Halo2_V1_FED002_011724_00.CSV,F_Halo3_V1_FED006_020824_00.CSV,F_Halo3_V1_FED007_020724_00.CSV,F_Halo3_V1_FED008_020824_00.CSV,F_Halo3_V1_FED009_020724_00.CSV,F_Halo3_V1_FED010_020824_00.CSV,M_Halo1_V1_FED007_050423_00.CSV,M_Halo1_V1_FED008_050323_00.CSV,M_Halo2_V1_FED003_011824_00.CSV,M_Halo2_V1_FED004_011724_00.CSV,M_Halo2_V1_FED006_011924_02.csv,M_Halo3_V1_FED002_020824_00.CSV,M_Halo3_V1_FED003_020724_00.CSV,HAL,HAL SEM,VEH,VEH SEM
27.0,20.0,112.0,13.0,125.0,15.0,0.0,19.0,17.0,90.0,50.0,13.0,111.0,48.0,0.0,5.0,33.0,41.0,0.0,24.0,153.0,57.0,82.0,17.0,2.0,24.0,13.0,146.0,93.0,9.0,13.0,33.0,68.0,13.0,10.0,19.0,6.0,39.55555555555556,9.84162901064411,43.44444444444444,11.087360236232444
28.0,22.0,67.0,19.0,137.0,4.0,2.0,8.0,19.0,132.0,56.0,18.0,47.0,38.0,101.0,1.0,13.0,14.0,11.0,18.0,55.0,41.0,40.0,8.0,4.0,24.0,19.0,104.0,80.0,10.0,29.0,15.0,92.0,2.0,0.0,0.0,11.0,39.388888888888886,10.201607873043946,30.666666666666668,7.603318848788327
29.0,19.0,79.0,26.0,127.0,13.0,7.0,20.0,18.0,89.0,71.0,11.0,49.0,83.0,25.0,16.0,9.0,1.0,0.0,10.0,159.0,30.0,82.0,2.0,4.0,28.0,6.0,93.0,79.0,19.0,24.0,41.0,42.0,13.0,17.0,18.0,0.0,36.833333333333336,8.719390906352219,37.05555555555556,9.76571039359905
30.0,14.0,31.0,3.0,63.0,6.0,11.0,13.0,4.0,98.0,62.0,10.0,36.0,16.0,59.0,8.0,14.0,30.0,4.0,32.0,59.0,21.0,63.0,4.0,14.0,93.0,19.0,90.0,70.0,13.0,52.0,50.0,69.0,13.0,0.0,12.0,0.0,26.77777777777778,6.347021099200511,37.44444444444444,7.308881794530526
31.0,29.0,44.0,23.0,108.0,7.0,5.0,9.0,2.0,96.0,86.0,0.0,116.0,27.0,86.0,6.0,9.0,1.0,19.0,0.0,85.0,16.0,57.0,13.0,4.0,50.0,18.0,150.0,64.0,17.0,24.0,17.0,52.0,14.0,14.0,29.0,1.0,37.388888888888886,9.67414818289617,34.72222222222222,8.805377722374914
32.0,9.0,14.0,2.0,46.0,12.0,9.0,4.0,15.0,111.0,40.0,29.0,22.0,44.0,58.0,9.0,16.0,26.0,32.0,23.0,118.0,38.0,47.0,0.0,10.0,57.0,40.0,83.0,64.0,9.0,32.0,45.0,141.0,6.0,13.0,13.0,19.0,27.666666666666668,6.17500760762676,42.111111111111114,9.19394831116063
33.0,27.0,24.0,20.0,113.0,9.0,23.0,25.0,19.0,129.0,51.0,10.0,116.0,20.0,34.0,6.0,12.0,24.0,,14.0,87.0,44.0,29.0,17.0,,24.0,24.0,37.0,79.0,25.0,59.0,11.0,178.0,,1.0,,0.0,38.94117647058823,9.663633537587657,41.93333333333333,11.77748726805537
34.0,,,17.0,,,20.0,26.0,,308.0,32.0,9.0,,10.0,,2.0,15.0,43.0,,,,3.0,1.0,6.0,,,3.0,,91.0,,,,92.0,,,,17.0,48.2,29.112731083000632,30.428571428571427,15.892281958559007
35.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,2.0,,48.0,,,,,,,,1.0,13.0,0.0,17.0,15.50268793897798
36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,0.0,69.0,0.0
