Unnamed: 0,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5553,2021-06-13 07:26:06,1.8.1,yhc210607,5,4.09,1,1,Left,Left,4627,516,411,0,,,0.2
5554,2021-06-13 07:26:07,1.8.1,yhc210607,5,4.09,1,1,Pellet,Left,4627,516,412,1,0.61,2228.0,
5555,2021-06-13 07:26:53,1.8.1,yhc210607,5,4.09,1,1,Left,Left,4628,516,412,1,,,0.3
5556,2021-06-13 07:26:55,1.8.1,yhc210607,5,4.09,1,1,Pellet,Left,4628,516,413,2,0.36,48.0,
5557,2021-06-13 07:28:19,1.8.1,yhc210607,5,4.09,1,2,Left,Left,4629,516,413,2,,,0.08
5558,2021-06-13 07:28:21,1.8.1,yhc210607,5,4.09,1,2,Left,Left,4630,516,413,2,,,0.05
5559,2021-06-13 07:28:22,1.8.1,yhc210607,5,4.09,1,2,Pellet,Left,4630,516,414,3,0.36,87.0,
5560,2021-06-13 07:28:55,1.8.1,yhc210607,5,4.09,1,2,Left,Left,4631,516,414,3,,,0.04
5561,2021-06-13 07:28:56,1.8.1,yhc210607,5,4.09,1,2,Left,Left,4632,516,414,3,,,0.12
5562,2021-06-13 07:28:59,1.8.1,yhc210607,5,4.09,1,2,Pellet,Left,4632,516,415,4,1.53,36.0,
5563,2021-06-13 07:29:29,1.8.1,yhc210607,5,4.09,1,3,Left,Left,4633,516,415,4,,,0.35
5564,2021-06-13 07:29:29,1.8.1,yhc210607,5,4.09,1,3,Left,Left,4634,516,415,4,,,0.07
5565,2021-06-13 07:29:30,1.8.1,yhc210607,5,4.09,1,3,Left,Left,4635,516,415,4,,,0.1
5566,2021-06-13 07:29:32,1.8.1,yhc210607,5,4.09,1,3,Pellet,Left,4635,516,416,5,0.3,34.0,
5567,2021-06-13 07:30:13,1.8.1,yhc210607,5,4.09,1,4,Left,Left,4636,516,416,5,,,0.53
5568,2021-06-13 07:30:15,1.8.1,yhc210607,5,4.09,1,4,Left,Left,4637,516,416,5,,,0.45
5569,2021-06-13 07:30:23,1.8.1,yhc210607,5,4.09,1,4,Left,Left,4638,516,416,5,,,0.45
5570,2021-06-13 07:30:28,1.8.1,yhc210607,5,4.09,1,4,Left,Left,4639,516,416,5,,,0.41
5571,2021-06-13 07:30:29,1.8.1,yhc210607,5,4.09,1,4,Pellet,Left,4639,516,417,6,0.3,57.0,
5572,2021-06-13 07:50:58,1.8.1,yhc210607,5,4.09,1,5,Left,Left,4640,516,417,6,,,0.36
5573,2021-06-13 07:50:59,1.8.1,yhc210607,5,4.09,1,5,Left,Left,4641,516,417,6,,,0.1
5574,2021-06-13 07:51:01,1.8.1,yhc210607,5,4.09,1,5,Left,Left,4642,516,417,6,,,0.07
5575,2021-06-13 07:51:06,1.8.1,yhc210607,5,4.09,1,5,Left,Left,4643,516,417,6,,,0.45
5576,2021-06-13 07:51:07,1.8.1,yhc210607,5,4.09,1,5,Left,Left,4644,516,417,6,,,0.05
5577,2021-06-13 07:51:08,1.8.1,yhc210607,5,4.09,1,5,Pellet,Left,4644,516,418,7,0.42,1239.0,
5578,2021-06-13 08:35:51,1.8.1,yhc210607,5,4.09,1,1,Left,Left,4645,516,418,0,,,0.02
5579,2021-06-13 08:35:53,1.8.1,yhc210607,5,4.09,1,1,Pellet,Left,4645,516,419,1,0.98,2685.0,
5580,2021-06-13 08:36:27,1.8.1,yhc210607,5,4.09,1,1,Left,Left,4646,516,419,1,,,0.05
5581,2021-06-13 08:36:29,1.8.1,yhc210607,5,4.09,1,1,Pellet,Left,4646,516,420,2,0.36,35.0,
5582,2021-06-13 08:37:22,1.8.1,yhc210607,5,4.09,1,2,Left,Left,4647,516,420,2,,,0.27
5583,2021-06-13 08:37:23,1.8.1,yhc210607,5,4.09,1,2,Left,Left,4648,516,420,2,,,0.05
5584,2021-06-13 08:37:24,1.8.1,yhc210607,5,4.09,1,2,Pellet,Left,4648,516,421,3,0.55,56.0,
5585,2021-06-13 08:37:52,1.8.1,yhc210607,5,4.09,1,2,Left,Left,4649,516,421,3,,,0.16
5586,2021-06-13 08:37:53,1.8.1,yhc210607,5,4.09,1,2,Left,Left,4650,516,421,3,,,0.04
5587,2021-06-13 08:37:54,1.8.1,yhc210607,5,4.08,1,2,Pellet,Left,4650,516,422,4,0.24,30.0,
5588,2021-06-13 08:38:24,1.8.1,yhc210607,5,4.09,1,3,Left,Left,4651,516,422,4,,,0.11
5589,2021-06-13 08:38:25,1.8.1,yhc210607,5,4.09,1,3,Left,Left,4652,516,422,4,,,0.0
5590,2021-06-13 08:38:26,1.8.1,yhc210607,5,4.09,1,3,Left,Left,4653,516,422,4,,,0.37
5591,2021-06-13 08:38:27,1.8.1,yhc210607,5,4.09,1,3,Pellet,Left,4653,516,423,5,0.3,33.0,
5592,2021-06-13 08:39:02,1.8.1,yhc210607,5,4.09,1,4,Left,Left,4654,516,423,5,,,0.11
5593,2021-06-13 08:39:03,1.8.1,yhc210607,5,4.09,1,4,Left,Left,4655,516,423,5,,,0.36
5594,2021-06-13 08:39:04,1.8.1,yhc210607,5,4.09,1,4,Left,Left,4656,516,423,5,,,0.15
5595,2021-06-13 08:39:06,1.8.1,yhc210607,5,4.09,1,4,Left,Left,4657,516,423,5,,,0.05
5596,2021-06-13 08:39:07,1.8.1,yhc210607,5,4.09,1,4,Pellet,Left,4657,516,424,6,0.24,40.0,
5597,2021-06-13 08:39:42,1.8.1,yhc210607,5,4.09,1,5,Left,Left,4658,516,424,6,,,0.31
5598,2021-06-13 08:41:32,1.8.1,yhc210607,5,4.09,1,5,Right,Left,4658,517,424,6,,,0.11
