MM:DD:YYYY hh:mm:ss,LibaryVersion,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2/3/2021 7:08,1.1.4,ProRat2,5,3.87,0,1,Poke,Left,1993,176,209,0,,0.07,1 days 15:45:10.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:08,1.1.4,ProRat2,5,3.87,0,1,Pellet,Left,1993,176,210,1,1.65,,1 days 15:45:14.000000000,1,33.45,0,0,,0,ProRat2
2/3/2021 7:09,1.1.4,ProRat2,5,3.87,0,1,Poke,Left,1994,176,210,1,,0,1 days 15:46:13.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:09,1.1.4,ProRat2,5,3.87,0,1,Pellet,Left,1994,176,211,2,0.89,,1 days 15:46:15.000000000,1,1.0166666666666666,0,0,,0,ProRat2
2/3/2021 7:09,1.1.4,ProRat2,5,3.87,0,2,Poke,Left,1995,176,211,2,,0.05,1 days 15:47:02.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:09,1.1.4,ProRat2,5,3.87,0,2,Poke,Left,1996,176,211,2,,0,1 days 15:47:03.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:09,1.1.4,ProRat2,5,3.87,0,2,Pellet,Left,1996,176,212,3,0.44,,1 days 15:47:05.000000000,1,0.8333333333333334,0,0,,0,ProRat2
2/3/2021 7:11,1.1.4,ProRat2,5,3.87,0,2,Poke,Left,1997,176,212,3,,0.1,1 days 15:48:09.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:11,1.1.4,ProRat2,5,3.87,0,2,Poke,Left,1998,176,212,3,,0,1 days 15:48:10.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:11,1.1.4,ProRat2,5,3.87,0,2,Pellet,Left,1998,176,213,4,2.03,,1 days 15:48:16.000000000,1,1.1833333333333333,0,0,,0,ProRat2
2/3/2021 7:12,1.1.4,ProRat2,5,3.87,0,3,Poke,Left,1999,176,213,4,,0.14,1 days 15:49:26.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:12,1.1.4,ProRat2,5,3.87,0,3,Poke,Left,2000,176,213,4,,0.44,1 days 15:49:32.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:12,1.1.4,ProRat2,5,3.87,0,3,Poke,Left,2001,176,213,4,,0.62,1 days 15:49:34.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:12,1.1.4,ProRat2,5,3.87,0,3,Pellet,Left,2001,176,214,5,0.38,,1 days 15:49:36.000000000,1,1.3333333333333333,0,0,,0,ProRat2
2/3/2021 7:13,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,2002,176,214,5,,0.07,1 days 15:50:24.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:13,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,2003,176,214,5,,0,1 days 15:50:26.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:13,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,2004,176,214,5,,0,1 days 15:50:27.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:13,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,2005,176,214,5,,0,1 days 15:50:29.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:13,1.1.4,ProRat2,5,3.87,0,4,Pellet,Left,2005,176,215,6,0.51,,1 days 15:50:34.000000000,1,0.9666666666666667,0,0,,0,ProRat2
2/3/2021 7:20,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,2005,177,215,6,,0.5,1 days 15:57:42.000000000,0,,0,1,0,0,ProRat2
2/3/2021 7:20,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,2006,177,215,6,,0.19,1 days 15:57:44.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:29,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,2007,177,215,6,,0.02,1 days 16:06:15.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:29,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,2008,177,215,6,,0.04,1 days 16:06:18.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:29,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,2009,177,215,6,,0.42,1 days 16:06:22.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:29,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,2010,177,215,6,,0.47,1 days 16:06:24.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:29,1.1.4,ProRat2,5,3.87,0,5,Pellet,Left,2010,177,216,7,0.38,,1 days 16:06:28.000000000,1,15.9,0,0,,0,ProRat2
2/3/2021 7:30,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,2011,177,216,7,,0.12,1 days 16:07:12.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:30,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,2012,177,216,7,,0.06,1 days 16:07:16.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:32,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,2012,178,216,7,,0.11,1 days 16:09:15.000000000,0,,0,1,0,0,ProRat2
2/3/2021 7:32,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,2013,178,216,7,,0.44,1 days 16:09:22.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:32,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,2014,178,216,7,,0.33,1 days 16:09:24.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:32,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,2015,178,216,7,,0.35,1 days 16:09:26.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:36,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,2015,179,216,7,,0.01,1 days 16:13:14.000000000,0,,0,1,0,0,ProRat2
2/3/2021 7:42,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,2016,179,216,7,,1.09,1 days 16:19:25.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:42,1.1.4,ProRat2,5,3.87,0,6,Pellet,Left,2016,179,217,8,0.7,,1 days 16:19:30.000000000,1,13.033333333333333,0,0,,0,ProRat2
2/3/2021 7:42,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,2017,179,217,8,,0.52,1 days 16:20:05.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:43,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,2018,179,217,8,,0.33,1 days 16:20:07.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:43,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,2019,179,217,8,,0.1,1 days 16:20:11.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:50,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,2020,179,217,8,,0.07,1 days 16:27:21.000000000,0,,1,0,1,0,ProRat2
2/3/2021 7:50,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,2021,179,217,8,,0.44,1 days 16:27:23.000000000,0,,1,0,1,0,ProRat2
