Unnamed: 0,Unnamed: 0.1,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
11146,11146,2023-02-22 07:01:40,1.12.0,PRexp,4,4.03,,219,Left,Left,10587,211,349,37,,,0.03,2023-02-22 07:01:40
11147,11147,2023-02-22 07:04:51,1.12.0,PRexp,4,4.03,,219,Left,Left,10588,211,349,37,,,0.02,2023-02-22 07:04:51
11148,11148,2023-02-22 07:04:52,1.12.0,PRexp,4,4.03,,219,Left,Left,10589,211,349,37,,,0.02,2023-02-22 07:04:52
11149,11149,2023-02-22 07:04:55,1.12.0,PRexp,4,4.03,,219,Left,Left,10590,211,349,37,,,0.0,2023-02-22 07:04:55
11150,11150,2023-02-22 07:04:56,1.12.0,PRexp,4,4.04,,219,Left,Left,10591,211,349,37,,,0.0,2023-02-22 07:04:56
11151,11151,2023-02-22 07:04:57,1.12.0,PRexp,4,4.03,,219,Left,Left,10592,211,349,37,,,0.05,2023-02-22 07:04:57
11152,11152,2023-02-22 07:04:59,1.12.0,PRexp,4,4.04,,219,Left,Left,10593,211,349,37,,,0.0,2023-02-22 07:04:59
11153,11153,2023-02-22 07:05:00,1.12.0,PRexp,4,4.03,,219,Left,Left,10594,211,349,37,,,0.0,2023-02-22 07:05:00
11154,11154,2023-02-22 07:05:01,1.12.0,PRexp,4,4.03,,219,Left,Left,10595,211,349,37,,,0.25,2023-02-22 07:05:01
11155,11155,2023-02-22 07:05:03,1.12.0,PRexp,4,4.03,,219,Left,Left,10596,211,349,37,,,0.15,2023-02-22 07:05:03
11156,11156,2023-02-22 07:05:06,1.12.0,PRexp,4,4.03,,219,Left,Left,10597,211,349,37,,,1.64,2023-02-22 07:05:06
11157,11157,2023-02-22 07:05:18,1.12.0,PRexp,4,4.03,,219,Left,Left,10598,211,349,37,,,0.21,2023-02-22 07:05:18
11158,11158,2023-02-22 07:05:19,1.12.0,PRexp,4,4.03,,219,Left,Left,10599,211,349,37,,,0.03,2023-02-22 07:05:19
11159,11159,2023-02-22 07:05:21,1.12.0,PRexp,4,4.03,,219,Left,Left,10600,211,349,37,,,0.03,2023-02-22 07:05:21
11160,11160,2023-02-22 07:05:23,1.12.0,PRexp,4,4.03,,219,Left,Left,10601,211,349,37,,,0.03,2023-02-22 07:05:23
11161,11161,2023-02-22 07:05:24,1.12.0,PRexp,4,4.03,,219,Left,Left,10602,211,349,37,,,0.06,2023-02-22 07:05:24
11162,11162,2023-02-22 07:05:28,1.12.0,PRexp,4,4.03,,219,Left,Left,10603,211,349,37,,,0.74,2023-02-22 07:05:28
11163,11163,2023-02-22 07:05:50,1.12.0,PRexp,4,4.03,,219,Left,Left,10604,211,349,37,,,0.08,2023-02-22 07:05:50
11164,11164,2023-02-22 07:05:51,1.12.0,PRexp,4,4.03,,219,Left,Left,10605,211,349,37,,,0.0,2023-02-22 07:05:51
11165,11165,2023-02-22 07:05:52,1.12.0,PRexp,4,4.03,,219,Left,Left,10606,211,349,37,,,0.0,2023-02-22 07:05:52
11166,11166,2023-02-22 07:05:54,1.12.0,PRexp,4,4.03,,219,Left,Left,10607,211,349,37,,,0.39,2023-02-22 07:05:54
11167,11167,2023-02-22 07:06:42,1.12.0,PRexp,4,4.03,,219,Left,Left,10608,211,349,37,,,0.21,2023-02-22 07:06:42
11168,11168,2023-02-22 07:06:46,1.12.0,PRexp,4,4.03,,219,Left,Left,10609,211,349,37,,,0.05,2023-02-22 07:06:46
11169,11169,2023-02-22 07:12:40,1.12.0,PRexp,4,4.03,,219,Left,Left,10610,211,349,37,,,0.06,2023-02-22 07:12:40
11170,11170,2023-02-22 07:16:28,1.12.0,PRexp,4,4.03,,219,Left,Left,10611,211,349,37,,,0.01,2023-02-22 07:16:28
11171,11171,2023-02-22 07:20:27,1.12.0,PRexp,4,4.03,,219,Left,Left,10612,211,349,37,,,0.13,2023-02-22 07:20:27
11172,11172,2023-02-22 07:20:28,1.12.0,PRexp,4,4.03,,219,Left,Left,10613,211,349,37,,,0.0,2023-02-22 07:20:28
11173,11173,2023-02-22 07:20:36,1.12.0,PRexp,4,4.03,,219,Left,Left,10614,211,349,37,,,0.01,2023-02-22 07:20:36
11174,11174,2023-02-22 07:20:49,1.12.0,PRexp,4,4.04,,219,Left,Left,10615,211,349,37,,,0.01,2023-02-22 07:20:49
11175,11175,2023-02-22 07:20:52,1.12.0,PRexp,4,4.03,,219,Left,Left,10616,211,349,37,,,0.02,2023-02-22 07:20:52
11176,11176,2023-02-22 07:20:54,1.12.0,PRexp,4,4.03,,219,Left,Left,10617,211,349,37,,,0.03,2023-02-22 07:20:54
11177,11177,2023-02-22 07:21:03,1.12.0,PRexp,4,4.03,,219,Left,Left,10618,211,349,37,,,0.09,2023-02-22 07:21:03
11178,11178,2023-02-22 07:21:10,1.12.0,PRexp,4,4.03,,219,Left,Left,10619,211,349,37,,,1.93,2023-02-22 07:21:10
11179,11179,2023-02-22 07:21:13,1.12.0,PRexp,4,4.03,,219,Left,Left,10620,211,349,37,,,0.99,2023-02-22 07:21:13
11180,11180,2023-02-22 07:21:14,1.12.0,PRexp,4,4.03,,219,Left,Left,10621,211,349,37,,,0.02,2023-02-22 07:21:14
11181,11181,2023-02-22 07:21:16,1.12.0,PRexp,4,4.03,,219,Left,Left,10622,211,349,37,,,0.1,2023-02-22 07:21:16
11182,11182,2023-02-22 07:21:22,1.12.0,PRexp,4,4.03,,219,Left,Left,10623,211,349,37,,,0.0,2023-02-22 07:21:22
11183,11183,2023-02-22 07:21:42,1.12.0,PRexp,4,4.03,,219,Left,Left,10624,211,349,37,,,0.1,2023-02-22 07:21:42
