MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time,UnixTime,TimeDiff,ElapseTime,hours,mins
2/15/2021 7:12,1.2.5,ProRat,1,3.71,1,62,Left,Left,12478,456,658,25,nan,0.8,###############################################################################################################################################################################################################################################################,0,397680,110,
2/15/2021 7:12,1.2.5,ProRat,1,3.71,1,62,Left,Left,12479,456,658,25,nan,0.25,###############################################################################################################################################################################################################################################################,0,397680,110,
2/15/2021 7:16,1.2.5,ProRat,1,3.71,1,62,Left,Left,12480,456,658,25,nan,0.03,###############################################################################################################################################################################################################################################################,240,397920,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12481,456,658,25,nan,0,###############################################################################################################################################################################################################################################################,240,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12482,456,658,25,nan,0.35,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12483,456,658,25,nan,0.04,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12484,456,658,25,nan,0.33,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12485,456,658,25,nan,0,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12486,456,658,25,nan,0.32,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12487,456,658,25,nan,0.48,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12488,456,658,25,nan,0,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12489,456,658,25,nan,0,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12490,456,658,25,nan,0,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12491,456,658,25,nan,0,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12492,456,658,25,nan,0.42,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12493,456,658,25,nan,0,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12494,456,658,25,nan,1.3,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:20,1.2.5,ProRat,1,3.71,1,62,Left,Left,12495,456,658,25,nan,0.22,###############################################################################################################################################################################################################################################################,0,398160,110,
2/15/2021 7:21,1.2.5,ProRat,1,3.71,1,62,Left,Left,12496,456,658,25,nan,0.22,###############################################################################################################################################################################################################################################################,60,398220,110,
2/15/2021 7:21,1.2.5,ProRat,1,3.71,3,62,Pellet,Left,12496,456,659,26,0.37,nan,###############################################################################################################################################################################################################################################################,0,398220,110,
2/15/2021 7:35,1.2.5,ProRat,1,3.71,1,69,Left,Left,12497,456,659,26,nan,1.03,###############################################################################################################################################################################################################################################################,840,399060,110,
2/15/2021 7:35,1.2.5,ProRat,1,3.71,1,69,Left,Left,12498,456,659,26,nan,0.14,###############################################################################################################################################################################################################################################################,0,399060,110,
2/15/2021 7:35,1.2.5,ProRat,1,3.71,1,69,Left,Left,12499,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,399060,110,
2/15/2021 7:35,1.2.5,ProRat,1,3.71,1,69,Left,Left,12500,456,659,26,nan,0.8,###############################################################################################################################################################################################################################################################,0,399060,110,
2/15/2021 7:35,1.2.5,ProRat,1,3.71,1,69,Left,Left,12501,456,659,26,nan,0.12,###############################################################################################################################################################################################################################################################,0,399060,110,
2/15/2021 7:35,1.2.5,ProRat,1,3.71,1,69,Left,Left,12502,456,659,26,nan,0.32,###############################################################################################################################################################################################################################################################,0,399060,110,
2/15/2021 7:35,1.2.5,ProRat,1,3.71,1,69,Left,Left,12503,456,659,26,nan,0.3,###############################################################################################################################################################################################################################################################,0,399060,110,
2/15/2021 7:35,1.2.5,ProRat,1,3.71,1,69,Left,Left,12504,456,659,26,nan,0.23,###############################################################################################################################################################################################################################################################,0,399060,110,
2/15/2021 7:37,1.2.5,ProRat,1,3.71,1,69,Left,Left,12505,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,120,399180,110,
2/15/2021 7:37,1.2.5,ProRat,1,3.71,1,69,Left,Left,12506,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,399180,110,
2/15/2021 7:37,1.2.5,ProRat,1,3.71,1,69,Left,Left,12507,456,659,26,nan,0.42,###############################################################################################################################################################################################################################################################,0,399180,110,
2/15/2021 7:37,1.2.5,ProRat,1,3.71,1,69,Left,Left,12508,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,399180,110,
2/15/2021 7:37,1.2.5,ProRat,1,3.71,1,69,Left,Left,12509,456,659,26,nan,0.38,###############################################################################################################################################################################################################################################################,0,399180,110,
2/15/2021 7:37,1.2.5,ProRat,1,3.71,1,69,Left,Left,12510,456,659,26,nan,1.17,###############################################################################################################################################################################################################################################################,0,399180,110,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12511,456,659,26,nan,0.04,###############################################################################################################################################################################################################################################################,1200,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12512,456,659,26,nan,0.08,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12513,456,659,26,nan,0.12,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12514,456,659,26,nan,0.29,###############################################################################################################################################################################################################################################################,0,400380,111,
