Unnamed: 0,Unnamed: 0.1,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Time
6343,6343,2023-03-07 07:00:01,1.12.0,PRexp,5,4.2,,32,Left,Left,5640,345,359,19,,,0.02,2023-03-07 07:00:01
6344,6344,2023-03-07 07:00:03,1.12.0,PRexp,5,4.2,,32,Left,Left,5641,345,359,19,,,1.45,2023-03-07 07:00:03
6345,6345,2023-03-07 07:02:36,1.12.0,PRexp,5,4.2,,32,Left,Left,5642,345,359,19,,,0.15,2023-03-07 07:02:36
6346,6346,2023-03-07 07:03:39,1.12.0,PRexp,5,4.2,,32,Left,Left,5643,345,359,19,,,0.32,2023-03-07 07:03:39
6347,6347,2023-03-07 07:03:44,1.12.0,PRexp,5,4.2,1.0,32,Pellet,Left,5643,345,360,20,3.89,369.0,,2023-03-07 07:03:44
6348,6348,2023-03-07 07:28:15,1.12.0,PRexp,5,4.2,,36,Left,Left,5644,345,360,20,,,0.0,2023-03-07 07:28:15
6349,6349,2023-03-07 07:28:16,1.12.0,PRexp,5,4.2,,36,Left,Left,5645,345,360,20,,,0.06,2023-03-07 07:28:16
6350,6350,2023-03-07 07:28:18,1.12.0,PRexp,5,4.2,,36,Left,Left,5646,345,360,20,,,0.32,2023-03-07 07:28:18
6351,6351,2023-03-07 07:28:22,1.12.0,PRexp,5,4.2,,36,Left,Left,5647,345,360,20,,,1.06,2023-03-07 07:28:22
6352,6352,2023-03-07 07:28:26,1.12.0,PRexp,5,4.2,,36,Left,Left,5648,345,360,20,,,1.52,2023-03-07 07:28:26
6353,6353,2023-03-07 07:40:27,1.12.0,PRexp,5,4.2,,36,Left,Left,5649,345,360,20,,,1.71,2023-03-07 07:40:27
6354,6354,2023-03-07 07:40:30,1.12.0,PRexp,5,4.2,,36,Left,Left,5650,345,360,20,,,0.02,2023-03-07 07:40:30
6355,6355,2023-03-07 07:40:32,1.12.0,PRexp,5,4.2,,36,Left,Left,5651,345,360,20,,,0.02,2023-03-07 07:40:32
6356,6356,2023-03-07 07:40:51,1.12.0,PRexp,5,4.2,,36,Left,Left,5652,345,360,20,,,1.08,2023-03-07 07:40:51
6357,6357,2023-03-07 07:40:57,1.12.0,PRexp,5,4.2,,36,Left,Left,5653,345,360,20,,,1.76,2023-03-07 07:40:57
6358,6358,2023-03-07 07:40:58,1.12.0,PRexp,5,4.2,,36,Left,Left,5654,345,360,20,,,0.71,2023-03-07 07:40:58
6359,6359,2023-03-07 07:41:02,1.12.0,PRexp,5,4.2,,36,Left,Left,5655,345,360,20,,,0.0,2023-03-07 07:41:02
6360,6360,2023-03-07 07:41:03,1.12.0,PRexp,5,4.2,,36,Left,Left,5656,345,360,20,,,0.92,2023-03-07 07:41:03
6361,6361,2023-03-07 07:41:09,1.12.0,PRexp,5,4.2,,36,Left,Left,5657,345,360,20,,,1.16,2023-03-07 07:41:09
6362,6362,2023-03-07 07:41:16,1.12.0,PRexp,5,4.2,,36,Left,Left,5658,345,360,20,,,1.23,2023-03-07 07:41:16
6363,6363,2023-03-07 07:43:21,1.12.0,PRexp,5,4.2,,36,Left,Left,5659,345,360,20,,,0.22,2023-03-07 07:43:21
6364,6364,2023-03-07 07:46:48,1.12.0,PRexp,5,4.2,,36,Left,Left,5660,345,360,20,,,0.43,2023-03-07 07:46:48
6365,6365,2023-03-07 07:46:51,1.12.0,PRexp,5,4.2,,36,Left,Left,5661,345,360,20,,,0.85,2023-03-07 07:46:51
6366,6366,2023-03-07 07:46:53,1.12.0,PRexp,5,4.2,,36,Left,Left,5662,345,360,20,,,0.02,2023-03-07 07:46:53
6367,6367,2023-03-07 07:46:54,1.12.0,PRexp,5,4.2,,36,Left,Left,5663,345,360,20,,,0.02,2023-03-07 07:46:54
6368,6368,2023-03-07 07:46:57,1.12.0,PRexp,5,4.2,,36,Left,Left,5664,345,360,20,,,0.28,2023-03-07 07:46:57
6369,6369,2023-03-07 07:46:58,1.12.0,PRexp,5,4.2,,36,Left,Left,5665,345,360,20,,,0.0,2023-03-07 07:46:58
6370,6370,2023-03-07 07:46:59,1.12.0,PRexp,5,4.2,,36,Left,Left,5666,345,360,20,,,0.06,2023-03-07 07:46:59
6371,6371,2023-03-07 07:47:00,1.12.0,PRexp,5,4.2,,36,Left,Left,5667,345,360,20,,,0.03,2023-03-07 07:47:00
6372,6372,2023-03-07 07:47:02,1.12.0,PRexp,5,4.2,,36,Left,Left,5668,345,360,20,,,0.58,2023-03-07 07:47:02
6373,6373,2023-03-07 07:47:04,1.12.0,PRexp,5,4.2,,36,Left,Left,5669,345,360,20,,,0.22,2023-03-07 07:47:04
6374,6374,2023-03-07 07:47:07,1.12.0,PRexp,5,4.2,,36,Left,Left,5670,345,360,20,,,0.19,2023-03-07 07:47:07
6375,6375,2023-03-07 07:47:09,1.12.0,PRexp,5,4.2,,36,Left,Left,5671,345,360,20,,,0.13,2023-03-07 07:47:09
6376,6376,2023-03-07 07:47:11,1.12.0,PRexp,5,4.2,,36,Left,Left,5672,345,360,20,,,0.51,2023-03-07 07:47:11
6377,6377,2023-03-07 07:47:13,1.12.0,PRexp,5,4.2,,36,Left,Left,5673,345,360,20,,,0.22,2023-03-07 07:47:13
6378,6378,2023-03-07 07:47:14,1.12.0,PRexp,5,4.2,,36,Left,Left,5674,345,360,20,,,0.2,2023-03-07 07:47:14
6379,6379,2023-03-07 07:47:16,1.12.0,PRexp,5,4.2,,36,Left,Left,5675,345,360,20,,,0.5,2023-03-07 07:47:16
6380,6380,2023-03-07 07:47:21,1.12.0,PRexp,5,4.2,,36,Left,Left,5676,345,360,20,,,0.15,2023-03-07 07:47:21
6381,6381,2023-03-07 07:47:23,1.12.0,PRexp,5,4.2,,36,Left,Left,5677,345,360,20,,,0.91,2023-03-07 07:47:23
6382,6382,2023-03-07 07:47:24,1.12.0,PRexp,5,4.2,,36,Left,Left,5678,345,360,20,,,0.08,2023-03-07 07:47:24
6383,6383,2023-03-07 07:47:26,1.12.0,PRexp,5,4.2,,36,Left,Left,5679,345,360,20,,,0.49,2023-03-07 07:47:26
6384,6384,2023-03-07 07:47:27,1.12.0,PRexp,5,4.2,1.0,36,Pellet,Left,5679,345,361,21,0.47,2623.0,,2023-03-07 07:47:27
6385,6385,2023-03-07 07:49:33,1.12.0,PRexp,5,4.2,,40,Left,Left,5680,345,361,21,,,0.03,2023-03-07 07:49:33
6386,6386,2023-03-07 07:49:34,1.12.0,PRexp,5,4.2,,40,Left,Left,5681,345,361,21,,,0.13,2023-03-07 07:49:34
6387,6387,2023-03-07 07:49:40,1.12.0,PRexp,5,4.2,,40,Left,Left,5682,345,361,21,,,2.39,2023-03-07 07:49:40
6388,6388,2023-03-07 07:49:42,1.12.0,PRexp,5,4.2,,40,Left,Left,5683,345,361,21,,,0.42,2023-03-07 07:49:42
6389,6389,2023-03-07 07:49:44,1.12.0,PRexp,5,4.2,,40,Left,Left,5684,345,361,21,,,1.05,2023-03-07 07:49:44
6390,6390,2023-03-07 07:49:46,1.12.0,PRexp,5,4.2,,40,Left,Left,5685,345,361,21,,,0.02,2023-03-07 07:49:46
6391,6391,2023-03-07 08:07:42,1.12.0,PRexp,5,4.2,,40,Left,Left,5686,345,361,21,,,0.02,2023-03-07 08:07:42
6392,6392,2023-03-07 08:07:45,1.12.0,PRexp,5,4.2,,40,Left,Left,5687,345,361,21,,,0.01,2023-03-07 08:07:45
6393,6393,2023-03-07 08:07:51,1.12.0,PRexp,5,4.2,,40,Left,Left,5688,345,361,21,,,1.62,2023-03-07 08:07:51
6394,6394,2023-03-07 08:08:47,1.12.0,PRexp,5,4.2,,40,Left,Left,5689,345,361,21,,,1.49,2023-03-07 08:08:47
6395,6395,2023-03-07 08:08:48,1.12.0,PRexp,5,4.2,,40,Left,Left,5690,345,361,21,,,0.04,2023-03-07 08:08:48
6396,6396,2023-03-07 08:08:51,1.12.0,PRexp,5,4.2,,40,Left,Left,5691,345,361,21,,,0.07,2023-03-07 08:08:51
6397,6397,2023-03-07 08:08:54,1.12.0,PRexp,5,4.2,,40,Left,Left,5692,345,361,21,,,1.05,2023-03-07 08:08:54
6398,6398,2023-03-07 08:09:37,1.12.0,PRexp,5,4.2,,40,Left,Left,5693,345,361,21,,,0.65,2023-03-07 08:09:37
6399,6399,2023-03-07 08:09:41,1.12.0,PRexp,5,4.2,,40,Left,Left,5694,345,361,21,,,0.06,2023-03-07 08:09:41
6400,6400,2023-03-07 08:09:42,1.12.0,PRexp,5,4.2,,40,Left,Left,5695,345,361,21,,,0.02,2023-03-07 08:09:42
6401,6401,2023-03-07 08:09:44,1.12.0,PRexp,5,4.2,,40,Left,Left,5696,345,361,21,,,0.0,2023-03-07 08:09:44
6402,6402,2023-03-07 08:09:47,1.12.0,PRexp,5,4.2,,40,Left,Left,5697,345,361,21,,,0.84,2023-03-07 08:09:47
6403,6403,2023-03-07 08:09:50,1.12.0,PRexp,5,4.2,,40,Left,Left,5698,345,361,21,,,1.43,2023-03-07 08:09:50
6404,6404,2023-03-07 08:09:53,1.12.0,PRexp,5,4.2,,40,Left,Left,5699,345,361,21,,,0.0,2023-03-07 08:09:53
6405,6405,2023-03-07 08:09:55,1.12.0,PRexp,5,4.2,,40,Left,Left,5700,345,361,21,,,0.13,2023-03-07 08:09:55
6406,6406,2023-03-07 08:09:56,1.12.0,PRexp,5,4.2,,40,Left,Left,5701,345,361,21,,,0.1,2023-03-07 08:09:56
6407,6407,2023-03-07 08:10:00,1.12.0,PRexp,5,4.2,,40,Left,Left,5702,345,361,21,,,0.54,2023-03-07 08:10:00
6408,6408,2023-03-07 08:10:03,1.12.0,PRexp,5,4.2,,40,Left,Left,5703,345,361,21,,,0.0,2023-03-07 08:10:03
6409,6409,2023-03-07 08:10:06,1.12.0,PRexp,5,4.2,,40,Left,Left,5704,345,361,21,,,1.33,2023-03-07 08:10:06
6410,6410,2023-03-07 08:10:07,1.12.0,PRexp,5,4.2,,40,Left,Left,5705,345,361,21,,,0.01,2023-03-07 08:10:07
6411,6411,2023-03-07 08:10:09,1.12.0,PRexp,5,4.2,,40,Left,Left,5706,345,361,21,,,0.06,2023-03-07 08:10:09
6412,6412,2023-03-07 08:10:13,1.12.0,PRexp,5,4.2,,40,Left,Left,5707,345,361,21,,,1.2,2023-03-07 08:10:13
6413,6413,2023-03-07 08:10:15,1.12.0,PRexp,5,4.2,,40,Left,Left,5708,345,361,21,,,0.6,2023-03-07 08:10:15
6414,6414,2023-03-07 08:10:18,1.12.0,PRexp,5,4.2,,40,Left,Left,5709,345,361,21,,,1.29,2023-03-07 08:10:18
6415,6415,2023-03-07 08:10:26,1.12.0,PRexp,5,4.2,,40,Left,Left,5710,345,361,21,,,0.0,2023-03-07 08:10:26
