Mouse,Group,Model,Alpha_Pos,Alpha_Neg,Beta,Stickiness,Q_init,Decay,LogLikelihood,CrossEntropy,ROC_AUC,AIC
FED001_101023_02_updated,SHAM,WithDecay,0.3,0.7284713908003398,13.220388838171214,0.03276983436362078,1.0,0.0,-3187.1382068158073,0.7131658551836669,0.4971371929069346,6386.276413631615
FED001_101023_02_updated,SHAM,NoDecay,0.3,0.7496353048246518,14.953287975611527,0.028964666419508674,1.0,0.0,-3206.253030398665,0.7174430589390614,0.4971372959894311,6422.50606079733
FED002_101023_03,SHAM,WithDecay,0.3,0.0,2.931880395917268,0.19486701846774984,0.41528627390132067,0.1,-3135.2335115229434,0.6345342059346172,0.5025797476364178,6282.467023045887
FED002_101023_03,SHAM,NoDecay,0.3,0.7098546519388108,2.7485270674376014,0.20786798629362185,0.0,0.0,-3135.232840292527,0.6345340700855144,0.500309405940594,6280.465680585054
FED004_101023_01_updated,SHAM,WithDecay,0.3,0.2678636670418718,3.0910853569793355,0.16200571787277995,1.0,0.06156345118124106,-3127.9846575974407,0.7027599769933589,0.4866533775445687,6267.969315194881
FED004_101023_01_updated,SHAM,NoDecay,0.3,0.38244386095108135,2.960767617525978,0.1691426989162033,0.6780282899592719,0.0,-3080.5208596205093,0.6920963512964523,0.4913963946564311,6171.041719241019
FED005_101723_01,SNI,WithDecay,0.3,0.5457128038145312,20.0,0.024827189081595608,1.0,0.0,-1313.6924458728317,0.7162990435511624,0.5097724271881817,2639.3848917456635
FED005_101723_01,SNI,NoDecay,0.3,0.5457105297601749,20.0,0.024827676715108833,1.0,0.0,-1313.693391255792,0.7162995590271494,0.5093699768456504,2637.386782511584
FED006_101023_00,SNI,WithDecay,0.3,0.03430903993818646,3.7048325339373855,0.13341311760055605,1.0,0.0,-3726.9142156014195,0.7541307599355361,0.5141195085489315,7465.828431202839
FED006_101023_00,SNI,NoDecay,0.3,0.031298282328670435,4.844324533153727,0.10286243623212778,1.0,0.0,-3683.2859005384657,0.7453026913270874,0.5115333809660809,7376.5718010769315
FED006_101723_01,SNI,WithDecay,0.3,0.5420420530328798,10.980214909920894,0.05708897433622188,0.9999871108206523,0.0,-1327.2586169103165,0.6676351191701794,0.502929152036939,2666.517233820633
FED006_101723_01,SNI,NoDecay,0.3,0.5426412117214412,10.748596796232663,0.058308657108200254,1.0,0.0,-1327.0025304299736,0.6675063030331859,0.5019698694413715,2664.005060859947
