File,Sex,Group,Pellets,PPP1,PPP2,Accuracy
June24_FED0_MSNI_Baseline.csv,M,SNI,440,8.390909091,8.588636363636363,0.9769780365175973
June24_FED10_MSHAM_Baseline.csv,M,SHAM,453,7.483443708609271,7.799116997792495,0.9595244834418342
June24_FED12_MSHAM_Baseline.csv,M,SHAM,563,7.811722912966252,8.008880994671403,0.9753825681969395
June24_FED16_MSHAM_Baseline.csv,M,SHAM,300,14.10333333333333,15.06,0.9631235079783892
June24_FED27_FSNI_Baseline.csv,F,SNI,502,9.015936255,9.362549800796813,0.9629787234042553
June24_FED2_MSNI_Baseline.csv,M,SNI,368,12.793478260869565,13.013586956521738,0.9830862392983921
June24_FED37_FSNI_Baseline.csv,F,SNI,455,6.896703296703297,7.4241758241758244,0.9289520426287744
June24_FED3_MSNI_Baseline.csv,M,SNI,350,7.325714285714286,7.808571428571429,0.938163191
June24_FED4_MSNI_Baseline.csv,M,SNI,490,8.102040816,8.322448979591837,0.97351643
June24_FED5_MSNI_Baseline.csv,M,SNI,443,9.200902934537247,9.530474040632054,0.965419233
June24_FED6_MSHAM_Baseline.csv,M,SHAM,442,7.963800904977376,8.208144796,0.9702315325248071
May24_FED10_FSHAM_Baseline.csv,F,SHAM,468,14.057692307692308,14.777777777777779,0.9512724117987276
May24_FED11_FSHAM_Baseline.csv,F,SHAM,416,7.747596153846154,8.389423076923077,0.9234957020057306
May24_FED12_FSHAM_Baseline.csv,F,SHAM,460,8.171739130434782,8.663043478,0.9432873274780427
May24_FED16_FSHAM_Baseline.csv,F,SHAM,245,13.142857142857142,13.73469387755102,0.9569093610698366
May24_FED27_MSNI_Baseline.csv,M,SNI,461,9.878524945770065,10.25596529284165,0.9631979695431472
May24_FED2_FSNI_Baseline.csv,F,SNI,453,6.7593818984547465,7.041942604856512,0.9598746081504702
May24_FED34_MSHAM_Baseline.csv,M,SHAM,409,10.486552567237164,10.904645476772616,0.9616591928251121
May24_FED3_FSNI_Baseline.csv,F,SNI,437,5.915331808,6.148741418764302,0.9620394491998512
May24_FED4_FSNI_Baseline.csv,F,SNI,320,10.834375,11.475,0.9441721132897604
May24_FED5_FSNI_Baseline.csv,F,SNI,421,6.755344418052257,7.472684085510688,0.9040050858232677
May24_FED6_FSNI_Baseline.csv,F,SNI,500,6.154,6.862,0.8968230836490819
May24_FED7_FSHAM_Baseline.csv,F,SHAM,340,7.729411764705882,8.317647059,0.9292786421499293
