TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD
0.0,,452.145,674.233,,0,0,0,0,0
66.665,,450.007,675.592,,0,0,0,0,0
133.333,,446.561,664.685,,0,0,0,0,0
200.001,,441.804,650.353,,0,0,0,0,0
266.67,,439.176,632.673,,0,0,0,0,0
333.338,,436.575,611.835,,0,0,0,0,0
400.003,,435.274,594.586,,0,0,0,0,0
466.669,,434.692,584.241,,0,0,0,0,0
533.338,,434.374,573.154,,0,0,0,0,0
600.003,,432.387,563.193,,0,0,0,0,0
666.67,,432.023,555.308,,0,0,0,0,0
733.333,,430.372,550.718,,0,0,0,0,0
800.001,,428.297,548.036,,0,0,0,0,0
866.671,,426.774,539.932,,0,0,0,0,0
933.338,,424.466,532.133,,0,0,0,0,0
1000.004,,422.485,525.839,,0,0,0,0,0
1066.672,,421.48,521.247,,0,0,0,0,0
1133.334,,420.799,521.215,,0,0,0,0,0
1199.998,,422.8,521.613,,0,0,0,0,0
1266.668,,423.001,520.552,,0,0,0,0,0
1333.338,,422.078,520.471,,0,0,0,0,0
1399.999,,422.618,518.049,,0,0,0,0,0
1466.665,,432.118,521.785,,0,0,0,0,0
1533.334,,433.21,520.282,,0,0,0,0,0
1600.001,,429.554,518.68,,0,0,0,0,0
1666.671,,427.557,522.176,,0,0,0,0,0
1733.332,,427.364,528.814,,0,0,0,0,0
1799.999,,422.472,527.629,,0,0,0,0,0
1866.67,,421.062,527.122,,0,0,0,0,0
1933.334,,419.415,523.124,,0,0,0,0,0
2000.0,,421.162,524.927,,0,0,0,0,0
2066.671,,421.176,526.152,,0,0,0,0,0
2133.338,,419.587,529.336,,0,0,0,0,0
2200.001,,420.418,534.172,,0,0,0,0,0
2266.669,,422.024,532.164,,0,0,0,0,0
2333.335,,426.179,528.471,,0,0,0,0,0
2400.002,,424.783,528.288,,0,0,0,0,0
2466.67,,422.795,530.246,,0,0,0,0,0
2533.336,,422.416,535.527,,0,0,0,0,0
2599.999,,423.216,540.062,,0,0,0,0,0
2666.671,,427.485,546.586,,0,0,0,0,0
2733.336,,423.196,539.151,,0,0,0,0,0
2800.002,,424.776,534.944,,0,0,0,0,0
2866.671,,427.973,531.322,,0,0,0,0,0
2933.336,,429.458,528.421,,0,0,0,0,0
3000.001,,426.995,529.708,,0,0,0,0,0
3066.666,,429.363,533.168,,0,0,0,0,0
3133.336,,424.73,533.462,,0,0,0,0,0
3200.003,,423.801,533.407,,0,0,0,0,0
3266.671,,424.252,532.903,,0,0,0,0,0
3333.334,,422.91,532.54,,0,0,0,0,0
3400.002,,421.06,526.307,,0,0,0,0,0
3466.666,,419.817,527.6,,0,0,0,0,0
3533.334,,421.555,530.886,,0,0,0,0,0
3600.003,,420.782,530.573,,0,0,0,0,0
3666.67,,420.904,558.526,,0,0,0,0,0
3733.337,,422.786,569.046,,0,0,0,0,0
3800.0,,419.706,570.39,,0,0,0,0,0
3866.671,,422.381,579.831,,0,0,0,0,0
3933.336,,422.263,576.919,,0,0,0,0,0
4000.0,,420.358,571.158,,0,0,0,0,0
4066.665,,419.57,562.519,,0,0,0,0,0
4133.333,,419.816,557.641,,0,0,0,0,0
4200.002,,422.402,555.267,,0,0,0,0,0
4266.668,,420.469,548.532,,0,0,0,0,0
4333.338,,420.259,541.718,,0,0,0,0,0
4400.004,,418.016,533.609,,0,0,0,0,0
4466.672,,419.394,526.554,,0,0,0,0,0
4533.335,,420.488,520.904,,0,0,0,0,0
4600.002,,420.851,521.502,,0,0,0,0,0
4666.67,,420.423,518.075,,0,0,0,0,0
4733.336,,419.046,525.991,,0,0,0,0,0
4800.005,,421.333,526.814,,0,0,0,0,0
4866.669,,416.563,528.133,,0,0,0,0,0
4933.337,,419.947,530.237,,0,0,0,0,0
5000.003,,419.831,531.64,,0,0,0,0,0
5066.667,,419.486,529.061,,0,0,0,0,0
5133.333,,420.166,527.702,,0,0,0,0,0
5200.001,,423.125,530.109,,0,0,0,0,0
5266.671,,426.366,529.493,,0,0,0,0,0
5333.335,,426.419,528.854,,0,0,0,0,0
5400.004,,427.514,526.086,,0,0,0,0,0
5466.668,,425.072,523.788,,0,0,0,0,0
5533.332,,424.201,521.733,,0,0,0,0,0
5599.999,,422.954,524.131,,0,0,0,0,0
5666.668,,424.175,523.949,,0,0,0,0,0
5733.336,,422.99,525.47,,0,0,0,0,0
5800.0,,423.973,520.253,,0,0,0,0,0
5866.666,,424.73,520.151,,0,0,0,0,0
5933.334,,426.78,519.505,,0,0,0,0,0
6000.002,,426.068,518.557,,0,0,0,0,0
6066.665,,425.895,517.418,,0,0,0,0,0
6133.333,,423.405,516.487,,0,0,0,0,0
6200.0,,421.727,512.982,,0,0,0,0,0
6266.669,,421.653,508.893,,0,0,0,0,0
6333.332,,422.202,508.474,,0,0,0,0,0
6399.999,,422.068,510.683,,0,0,0,0,0
6466.669,,421.42,513.194,,0,0,0,0,0
6533.332,,420.84,513.167,,0,0,0,0,0
6600.001,,421.402,517.766,,0,0,0,0,0
6666.667,,422.653,526.11,,0,0,0,0,0
6733.332,,423.958,535.13,,0,0,0,0,0
6800.005,,422.958,540.268,,0,0,0,0,0
6866.669,,423.152,539.909,,0,0,0,0,0
6933.335,,423.841,537.981,,0,0,0,0,0
7000.003,,424.875,532.615,,0,0,0,0,0
7066.667,,420.939,530.684,,0,0,0,0,0
7133.332,,422.091,532.592,,0,0,0,0,0
7200.004,,423.074,534.385,,0,0,0,0,0
7266.671,,425.427,541.006,,0,0,0,0,0
7333.335,,424.668,539.709,,0,0,0,0,0
7400.005,,424.183,539.388,,0,0,0,0,0
7466.671,,423.398,544.999,,0,0,0,0,0
7533.336,,424.591,542.771,,0,0,0,0,0
7600.003,,422.402,534.031,,0,0,0,0,0
7666.666,,423.736,530.813,,0,0,0,0,0
7733.336,,426.687,523.145,,0,0,0,0,0
7800.004,,424.533,525.458,,0,0,0,0,0
7866.669,,424.45,521.584,,0,0,0,0,0
7933.335,,422.55,521.507,,0,0,0,0,0
8000.003,,423.433,529.073,,0,0,0,0,0
8066.67,,424.099,535.032,,0,0,0,0,0
8133.337,,422.873,533.756,,0,0,0,0,0
8200.004,,422.1,531.878,,0,0,0,0,0
8266.671,,420.354,525.784,,0,0,0,0,0
8333.332,,418.414,521.078,,0,0,0,0,0
8399.999,,418.311,516.191,,0,0,0,0,0
8466.67,,419.308,516.131,,0,0,0,0,0
8533.332,,421.228,525.378,,0,0,0,0,0
8600.003,,420.21,529.663,,0,0,0,0,0
8666.669,,421.522,524.837,,0,0,0,0,0
8733.336,,420.815,525.412,,0,0,0,0,0
8800.005,,421.257,530.307,,0,0,0,0,0
8866.672,,421.86,543.875,,0,0,0,0,0
8933.337,,421.742,557.999,,0,0,0,0,0
8999.999,,420.887,555.493,,0,0,0,0,0
9066.668,,420.61,563.993,,0,0,0,0,0
9133.332,,419.844,577.438,,0,0,0,0,0
9199.999,,419.009,576.18,,0,0,0,0,0
9266.669,,418.573,572.547,,0,0,0,0,0
9333.338,,416.406,559.074,,0,0,0,0,0
9400.002,,413.801,549.008,,0,0,0,0,0
9466.669,,412.196,543.656,,0,0,0,0,0
9533.332,,411.077,546.304,,0,0,0,0,0
9600.003,,409.995,542.5,,0,0,0,0,0
9666.668,,409.17,535.369,,0,0,0,0,0
9733.334,,407.52,528.636,,0,0,0,0,0
9799.999,,406.96,522.21,,0,0,0,0,0
9866.668,,407.334,515.898,,0,0,0,0,0
9933.336,,407.565,512.3,,0,0,0,0,0
10000.003,,407.8,509.112,,0,0,0,0,0
10066.666,,408.439,510.422,,0,0,0,0,0
10133.335,,408.323,511.35,,0,0,0,0,0
10200.001,,408.409,515.618,,0,0,0,0,0
10266.668,,409.319,520.573,,0,0,0,0,0
10333.332,,409.541,517.641,,0,0,0,0,0
10400.003,,408.536,514.578,,0,0,0,0,0
10466.667,,408.455,512.865,,0,0,0,0,0
10533.338,,408.617,511.232,,0,0,0,0,0
10600.001,,415.161,512.631,,0,0,0,0,0
10666.667,,418.28,510.93,,0,0,0,0,0
10733.335,,420.05,509.583,,0,0,0,0,0
10800.0,,419.751,511.718,,0,0,0,0,0
10866.667,,420.806,509.361,,0,0,0,0,0
10933.332,,418.634,511.288,,0,0,0,0,0
11000.004,,416.581,510.91,,0,0,0,0,0
11066.669,,415.374,511.722,,0,0,0,0,0
11133.336,,413.569,510.923,,0,0,0,0,0
11200.002,,411.492,511.138,,0,0,0,0,0
11266.67,,413.129,511.891,,0,0,0,0,0
11333.332,,414.219,516.314,,0,0,0,0,0
11399.999,,415.634,521.568,,0,0,0,0,0
11466.665,,416.347,521.268,,0,0,0,0,0
11533.338,,418.369,522.168,,0,0,0,0,0
11600.004,,419.735,523.059,,0,0,0,0,0
11666.669,,417.864,521.781,,0,0,0,0,0
11733.333,,416.494,519.903,,0,0,0,0,0
11800.0,,415.34,516.629,,0,0,0,0,0
11866.67,,414.811,514.318,,0,0,0,0,0
11933.337,,413.136,516.194,,0,0,0,0,0
12000.004,,415.262,520.663,,0,0,0,0,0
12066.667,,415.433,526.37,,0,0,0,0,0
12133.333,,414.639,525.172,,0,0,0,0,0
12199.999,,415.238,521.819,,0,0,0,0,0
12266.669,,415.749,518.519,,0,0,0,0,0
12333.332,,413.936,517.111,,0,0,0,0,0
12400.003,,412.362,515.655,,0,0,0,0,0
12466.671,,413.313,512.874,,0,0,0,0,0
12533.336,,413.539,511.848,,0,0,0,0,0
12600.001,,412.868,516.47,,0,0,0,0,0
12666.667,,416.062,519.04,,0,0,0,0,0
12733.337,,416.65,515.965,,0,0,0,0,0
12800.003,,415.729,514.818,,0,0,0,0,0
12866.67,,415.813,514.246,,0,0,0,0,0
12933.333,,418.167,521.239,,0,0,0,0,0
13000.0,,419.481,529.177,,0,0,0,0,0
13066.67,,420.086,531.562,,0,0,0,0,0
13133.333,,418.955,537.907,,0,0,0,0,0
13200.002,,417.281,531.393,,0,0,0,0,0
13266.672,,416.47,526.057,,0,0,0,0,0
13333.332,,414.294,519.574,,0,0,0,0,0
13399.998,,415.171,517.587,,0,0,0,0,0
13466.667,,418.182,515.886,,0,0,0,0,0
13533.336,,418.362,512.6,,0,0,0,0,0
13600.0,,417.038,510.638,,0,0,0,0,0
13666.672,,416.543,515.616,,0,0,0,0,0
13733.336,,415.835,514.801,,0,0,0,0,0
13800.005,,415.795,515.474,,0,0,0,0,0
13866.672,,418.834,515.345,,0,0,0,0,0
