TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,Expected_Dispense_RWD
0.0,,1000.781,1052.12,,0,0,0,0,0,0
66.667,,994.38,1047.006,,0,0,0,0,0,0
133.33,,987.568,1045.028,,0,0,0,0,0,0
199.998,,982.18,1044.262,,0,0,0,0,0,0
266.668,,977.686,1038.713,,0,0,0,0,0,0
333.332,,975.405,1037.764,,0,0,0,0,0,0
399.999,,970.481,1035.139,,0,0,0,0,0,0
466.665,,967.846,1029.149,,0,0,0,0,0,0
533.335,,956.958,1033.041,,0,0,0,0,0,0
600.003,,967.7,1030.845,,0,0,0,0,0,0
666.669,,965.921,1026.264,,0,0,0,0,0,0
733.33,,964.315,1024.995,,0,0,0,0,0,0
799.997,,959.72,1020.205,,0,0,0,0,0,0
866.668,,953.213,1008.836,,0,0,0,0,0,0
933.332,,952.196,1007.817,,0,0,0,0,0,0
999.997,,953.224,999.435,,0,0,0,0,0,0
1066.666,,952.174,997.656,,0,0,0,0,0,0
1133.335,,951.457,989.363,,0,0,0,0,0,0
1200.001,,940.415,983.048,,0,0,0,0,0,0
1266.663,,946.008,983.316,,0,0,0,0,0,0
1333.33,,940.249,977.476,,0,0,0,0,0,0
1399.998,,941.331,975.032,,0,0,0,0,0,0
1466.667,,942.383,974.439,,0,0,0,0,0,0
1533.332,,942.312,970.544,,0,0,0,0,0,0
1599.998,,941.83,970.526,,0,0,0,0,0,0
1666.664,,940.696,968.215,,0,0,0,0,0,0
1733.331,,939.167,967.977,,0,0,0,0,0,0
1799.996,,940.879,965.6,,0,0,0,0,0,0
1866.667,,942.409,965.495,,0,0,0,0,0,0
1933.331,,939.59,971.259,,0,0,0,0,0,0
1999.997,,938.279,970.957,,0,0,0,0,0,0
2066.669,,933.996,974.96,,0,0,0,0,0,0
2133.334,,944.57,977.511,,0,0,0,0,0,0
2199.998,,943.81,979.252,,0,0,0,0,0,0
2266.665,,943.787,974.914,,0,0,0,0,0,0
2333.33,,943.572,970.903,,0,0,0,0,0,0
2399.996,,939.466,963.468,,0,0,0,0,0,0
2466.668,,944.405,967.626,,0,0,0,0,0,0
2533.334,,944.215,963.569,,0,0,0,0,0,0
2600.001,,942.77,960.099,,0,0,0,0,0,0
2666.666,,942.013,956.821,,0,0,0,0,0,0
2733.331,,941.884,953.967,,0,0,0,0,0,0
2800.002,,942.015,951.196,,0,0,0,0,0,0
2866.663,,941.127,949.152,,0,0,0,0,0,0
2933.332,,941.631,948.39,,0,0,0,0,0,0
3000.002,,939.635,947.779,,0,0,0,0,0,0
3066.665,,939.455,950.273,,0,0,0,0,0,0
3133.331,,939.516,952.345,,0,0,0,0,0,0
3199.999,,939.783,954.089,,0,0,0,0,0,0
3266.669,,939.345,955.79,,0,0,0,0,0,0
3333.329,,937.954,959.884,,0,0,0,0,0,0
3399.997,,938.17,963.972,,0,0,0,0,0,0
3466.666,,938.1,967.316,,0,0,0,0,0,0
3533.33,,938.421,968.985,,0,0,0,0,0,0
3600.0,,938.816,970.775,,0,0,0,0,0,0
3666.664,,937.616,972.925,,0,0,0,0,0,0
3733.33,,937.446,976.167,,0,0,0,0,0,0
3799.998,,943.416,978.999,,0,0,0,0,0,0
3866.663,,937.649,978.228,,0,0,0,0,0,0
3933.335,,943.077,978.833,,0,0,0,0,0,0
3999.997,,934.301,972.358,,0,0,0,0,0,0
4066.663,,934.663,970.137,,0,0,0,0,0,0
4133.333,,937.066,971.788,,0,0,0,0,0,0
4199.997,,941.164,970.3,,0,0,0,0,0,0
4266.667,,937.149,971.84,,0,0,0,0,0,0
4333.335,,933.121,971.427,,0,0,0,0,0,0
4399.999,,935.131,971.657,,0,0,0,0,0,0
4466.664,,930.882,971.605,,0,0,0,0,0,0
4533.335,,924.922,971.349,,0,0,0,0,0,0
4599.996,,924.731,974.964,,0,0,0,0,0,0
4666.667,,926.842,973.024,,0,0,0,0,0,0
4733.334,,926.754,971.651,,0,0,0,0,0,0
4799.998,,927.03,974.101,,0,0,0,0,0,0
4866.666,,929.907,969.711,,0,0,0,0,0,0
4933.333,,929.289,967.932,,0,0,0,0,0,0
4999.998,,927.537,963.322,,0,0,0,0,0,0
5066.665,,929.175,962.116,,0,0,0,0,0,0
5133.33,,928.541,957.806,,0,0,0,0,0,0
5199.999,,930.204,956.264,,0,0,0,0,0,0
5266.665,,929.947,954.277,,0,0,0,0,0,0
5333.335,,933.085,953.499,,0,0,0,0,0,0
5399.999,,934.303,953.638,,0,0,0,0,0,0
5466.668,,935.764,949.382,,0,0,0,0,0,0
5533.335,,931.072,950.232,,0,0,0,0,0,0
5599.997,,932.351,959.903,,0,0,0,0,0,0
5666.669,,931.939,975.653,,0,0,0,0,0,0
5733.332,,931.425,986.031,,0,0,0,0,0,0
5799.999,,930.263,993.059,,0,0,0,0,0,0
5866.663,,926.736,998.767,,0,0,0,0,0,0
5933.334,,924.766,991.531,,0,0,0,0,0,0
6000.0,,924.689,987.077,,0,0,0,0,0,0
6066.664,,925.576,987.567,,0,0,0,0,0,0
6133.334,,928.124,990.41,,0,0,0,0,0,0
6199.999,,928.446,982.764,,0,0,0,0,0,0
6266.665,,926.437,981.393,,0,0,0,0,0,0
6333.329,,925.314,976.819,,0,0,0,0,0,0
6400.0,,930.305,968.21,,0,0,0,0,0,0
6466.664,,922.23,968.174,,0,0,0,0,0,0
6533.33,,922.008,972.239,,0,0,0,0,0,0
6599.999,,923.102,972.929,,0,0,0,0,0,0
6666.668,,932.523,973.609,,0,0,0,0,0,0
6733.331,,929.951,971.559,,0,0,0,0,0,0
6800.0,,933.391,969.392,,0,0,0,0,0,0
