TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,Expected_Dispense_RWD
0.0,,733.036,786.195,,0,0,0,0,0,0
66.667,,718.808,779.402,,0,0,0,0,0,0
133.332,,727.803,776.1,,0,0,0,0,0,0
199.998,,712.213,779.283,,0,0,0,0,0,0
266.667,,714.442,775.859,,0,0,0,0,0,0
333.33,,708.484,772.865,,0,0,0,0,0,0
399.999,,711.036,777.507,,0,0,0,0,0,0
466.664,,711.307,767.97,,0,0,0,0,0,0
533.332,,711.448,763.898,,0,0,0,0,0,0
600.001,,704.05,767.34,,0,0,0,0,0,0
666.666,,703.165,766.062,,0,0,0,0,0,0
733.331,,706.139,763.167,,0,0,0,0,0,0
799.997,,697.606,757.512,,0,0,0,0,0,0
866.668,,700.989,758.904,,0,0,0,0,0,0
933.335,,700.606,756.525,,0,0,0,0,0,0
999.999,,706.32,752.273,,0,0,0,0,0,0
1066.668,,697.194,742.986,,0,0,0,0,0,0
1133.334,,703.046,737.518,,0,0,0,0,0,0
1199.996,,688.134,735.401,,0,0,0,0,0,0
1266.666,,698.491,735.978,,0,0,0,0,0,0
1333.328,,685.942,732.174,,0,0,0,0,0,0
1400.0,,696.235,735.949,,0,0,0,0,0,0
1466.663,,686.216,732.616,,0,0,0,0,0,0
1533.334,,692.679,734.474,,0,0,0,0,0,0
1600.0,,694.536,731.193,,0,0,0,0,0,0
1666.667,,684.151,731.103,,0,0,0,0,0,0
1733.334,,691.398,734.146,,0,0,0,0,0,0
1800.001,,691.367,735.375,,0,0,0,0,0,0
1866.666,,692.265,736.114,,0,0,0,0,0,0
1933.33,,692.052,729.367,,0,0,0,0,0,0
1999.999,,689.603,727.612,,0,0,0,0,0,0
2066.666,,690.751,727.059,,0,0,0,0,0,0
2133.329,,692.022,729.052,,0,0,0,0,0,0
2199.995,,690.532,733.019,,0,0,0,0,0,0
2266.667,,689.919,736.626,,0,0,0,0,0,0
2333.33,,698.094,745.176,,0,0,0,0,0,0
2399.999,,689.076,742.788,,0,0,0,0,0,0
2466.663,,690.357,742.47,,0,0,0,0,0,0
2533.334,,686.468,740.567,,0,0,0,0,0,0
2599.996,,687.65,740.513,,0,0,0,0,0,0
2666.662,,690.56,741.339,,0,0,0,0,0,0
2733.334,,692.047,738.726,,0,0,0,0,0,0
2799.998,,686.642,736.663,,0,0,0,0,0,0
2866.663,,690.438,743.779,,0,0,0,0,0,0
2933.33,,691.502,765.487,,0,0,0,0,0,0
2999.998,,700.418,780.769,,0,0,0,0,0,0
3066.668,,700.62,803.464,,0,0,0,0,0,0
3133.329,,697.063,814.597,,0,0,0,0,0,0
3199.995,,698.831,813.244,,0,0,0,0,0,0
3266.668,,696.74,795.389,,0,0,0,0,0,0
3333.33,,686.209,779.865,,0,0,0,0,0,0
3400.0,,690.478,775.111,,0,0,0,0,0,0
3466.668,,695.764,769.337,,0,0,0,0,0,0
3533.331,,693.351,761.291,,0,0,0,0,0,0
3599.997,,692.076,756.213,,0,0,0,0,0,0
3666.662,,689.994,750.053,,0,0,0,0,0,0
3733.334,,685.439,743.074,,0,0,0,0,0,0
3800.0,,687.224,737.591,,0,0,0,0,0,0
3866.667,,682.381,728.46,,0,0,0,0,0,0
3933.332,,684.882,736.735,,0,0,0,0,0,0
4000.0,,685.715,737.762,,0,0,0,0,0,0
4066.662,,695.819,741.23,,0,0,0,0,0,0
4133.329,,688.78,741.284,,0,0,0,0,0,0
4199.999,,690.253,741.904,,0,0,0,0,0,0
4266.662,,687.086,743.223,,0,0,0,0,0,0
4333.328,,688.564,741.33,,0,0,0,0,0,0
4399.995,,686.966,742.591,,0,0,0,0,0,0
4466.665,,687.606,738.427,,0,0,0,0,0,0
4533.329,,689.153,737.22,,0,0,0,0,0,0
4599.997,,687.293,736.607,,0,0,0,0,0,0
4666.666,,689.704,735.665,,0,0,0,0,0,0
4733.331,,686.503,734.902,,0,0,0,0,0,0
4799.999,,688.003,732.298,,0,0,0,0,0,0
4866.665,,687.684,733.623,,0,0,0,0,0,0
4933.333,,687.999,732.658,,0,0,0,0,0,0
5000.0,,687.23,733.759,,0,0,0,0,0,0
5066.663,,688.566,736.997,,0,0,0,0,0,0
5133.335,,690.619,738.191,,0,0,0,0,0,0
5200.001,,691.233,743.099,,0,0,0,0,0,0
5266.666,,690.44,743.015,,0,0,0,0,0,0
5333.328,,691.162,742.052,,0,0,0,0,0,0
5399.996,,687.931,739.133,,0,0,0,0,0,0
5466.663,,687.55,740.713,,0,0,0,0,0,0
5533.329,,688.363,741.71,,0,0,0,0,0,0
5599.999,,691.526,742.807,,0,0,0,0,0,0
5666.662,,690.637,742.844,,0,0,0,0,0,0
5733.334,,694.01,742.512,,0,0,0,0,0,0
5800.001,,690.725,744.705,,0,0,0,0,0,0
5866.668,,690.654,758.665,,0,0,0,0,0,0
5933.329,,687.734,759.31,,0,0,0,0,0,0
5999.995,,689.184,758.188,,0,0,0,0,0,0
6066.667,,685.584,757.216,,0,0,0,0,0,0
6133.334,,687.472,753.59,,0,0,0,0,0,0
6199.999,,685.415,754.919,,0,0,0,0,0,0
6266.664,,687.12,753.939,,0,0,0,0,0,0
6333.331,,687.753,758.791,,0,0,0,0,0,0
6399.996,,687.5,757.258,,0,0,0,0,0,0
6466.665,,689.14,759.691,,0,0,0,0,0,0
6533.33,,686.121,758.221,,0,0,0,0,0,0
6599.997,,689.251,758.576,,0,0,0,0,0,0
6666.668,,681.537,761.716,,0,0,0,0,0,0
6733.332,,686.715,761.977,,0,0,0,0,0,0
6800.001,,684.206,758.311,,0,0,0,0,0,0
6866.667,,685.295,757.719,,0,0,0,0,0,0
6933.333,,687.39,762.521,,0,0,0,0,0,0
6999.999,,686.922,758.263,,0,0,0,0,0,0
7066.668,,689.902,755.428,,0,0,0,0,0,0
7133.333,,685.981,750.038,,0,0,0,0,0,0
7199.999,,689.056,742.517,,0,0,0,0,0,0
7266.662,,685.824,739.736,,0,0,0,0,0,0
7333.331,,686.734,733.944,,0,0,0,0,0,0
7399.997,,688.902,736.066,,0,0,0,0,0,0
7466.667,,686.661,732.295,,0,0,0,0,0,0
7533.332,,685.325,734.956,,0,0,0,0,0,0
7599.999,,685.691,734.145,,0,0,0,0,0,0
7666.662,,683.851,735.42,,0,0,0,0,0,0
7733.331,,681.34,738.181,,0,0,0,0,0,0
7800.001,,681.036,740.84,,0,0,0,0,0,0
7866.662,,683.869,742.249,,0,0,0,0,0,0
7933.33,,681.104,740.429,,0,0,0,0,0,0
8000.002,,682.905,741.288,,0,0,0,0,0,0
8066.668,,679.815,742.941,,0,0,0,0,0,0
8133.329,,675.232,738.59,,0,0,0,0,0,0
8199.996,,685.852,743.428,,0,0,0,0,0,0
8266.667,,685.205,743.676,,0,0,0,0,0,0
8333.331,,688.412,734.725,,0,0,0,0,0,0
8399.996,,681.643,738.319,,0,0,0,0,0,0
8466.662,,689.626,738.732,,0,0,0,0,0,0
8533.333,,686.486,742.197,,0,0,0,0,0,0
8599.998,,686.667,748.461,,0,0,0,0,0,0
8666.665,,685.151,750.381,,0,0,0,0,0,0
8733.329,,682.057,750.636,,0,0,0,0,0,0
8799.997,,681.422,754.394,,0,0,0,0,0,0
8866.667,,686.024,751.679,,0,0,0,0,0,0
8933.331,,684.443,751.944,,0,0,0,0,0,0
8999.998,,687.731,757.29,,0,0,0,0,0,0
9066.663,,681.257,755.177,,0,0,0,0,0,0
9133.33,,685.992,765.951,,0,0,0,0,0,0
9200.001,,691.464,773.634,,0,0,0,0,0,0
9266.664,,687.429,764.086,,0,0,0,0,0,0
9333.334,,688.091,769.694,,0,0,0,0,0,0
9399.997,,683.495,765.738,,0,0,0,0,0,0
9466.665,,682.515,763.594,,0,0,0,0,0,0
9533.331,,682.13,763.283,,0,0,0,0,0,0
9599.997,,685.416,762.21,,0,0,0,0,0,0
9666.662,,681.95,759.205,,0,0,0,0,0,0
9733.334,,686.96,758.004,,0,0,0,0,0,0
9800.0,,686.262,758.919,,0,0,0,0,0,0
9866.667,,685.601,758.097,,0,0,0,0,0,0
9933.333,,681.829,761.239,,0,0,0,0,0,0
10000.002,,687.776,760.175,,0,0,0,0,0,0
10066.665,,684.024,759.416,,0,0,0,0,0,0
10133.33,,683.345,751.733,,0,0,0,0,0,0
10199.996,,681.947,749.216,,0,0,0,0,0,0
10266.665,,683.941,746.158,,0,0,0,0,0,0
10333.331,,682.927,740.878,,0,0,0,0,0,0
10399.996,,683.383,741.526,,0,0,0,0,0,0
10466.667,,679.041,738.177,,0,0,0,0,0,0
10533.329,,680.591,747.507,,0,0,0,0,0,0
10600.0,,682.516,751.73,,0,0,0,0,0,0
10666.668,,681.345,762.579,,0,0,0,0,0,0
10733.331,,682.282,759.937,,0,0,0,0,0,0
