group,cohort,animal,animal_id,date,day,n_tones,n_grabs,n_matched,n_success,n_delayed,n_no_pellet,success_pct,latency_median_from_tone_onset_s,latency_median_from_tone_end_s,latency_mean_from_tone_onset_s,source_file
SHAM,OFP,M7,OFP_M7,09_10_25,2,84,71,71,57,14,13,67.85714285714286,7.121369600001344,2.1213696000013442,14.631903188732144,Sham_OFP_M7_09_10_25_02_2025-09-10T08_49_31_cleaned.csv
SHAM,OFP,M7,OFP_M7,09_11_25,3,106,90,90,78,12,16,73.58490566037736,6.68156799999997,1.6815679999999702,9.075036586666593,Sham_OFP_M7_09_11_25_03_2025-09-11T09_19_58_cleaned.csv
SHAM,OFP,M8,OFP_M8,09_09_25,1,49,42,42,21,21,7,42.857142857142854,9.91400319999866,4.91400319999866,186.7178160761898,Sham_OFP_M8_09_09_25_01_2025-09-09T11_35_51_cleaned.csv
SHAM,OFP,M8,OFP_M8,09_10_25,2,86,65,65,12,53,21,13.953488372093023,28.836992000004102,23.836992000004102,70.59304763076894,Sham_OFP_M8_09_10_25_02_2025-09-10T08_49_31 (1)_cleaned.csv
SHAM,OFP,M8,OFP_M8,09_11_25,3,95,89,89,85,4,6,89.47368421052632,7.6328319999956875,2.6328319999956875,8.191806417977041,Sham_OFP_M8_09_11_25_03_2025-09-11T09_19_58_cleaned.csv
SHAM,OFP,M9,OFP_M9,09_08_25,1,65,50,50,31,19,15,47.69230769230769,9.609459199997218,4.609459199997218,10.344243200000065,Sham_OFP_M9_09_08_25_01_2025-09-09T13_09_19_cleaned.csv
SHAM,OFP,M9,OFP_M9,09_10_25,2,99,88,88,78,10,11,78.78787878787878,7.848889599999893,2.848889599999893,20.143320290909518,Sham_OFP_M9_09_10_25_02_2025-09-10T09_08_30 (1)_cleaned.csv
SHAM,OFP,M9,OFP_M9,09_11_25,3,26,26,26,19,7,0,73.07692307692308,8.5130367999991,3.5130367999990995,15.496330338461348,Sham_OFP_M9_09_11_25_03_2025-09-11T09_11_51_cleaned.csv
SK3,OFP2,F02,OFP2_F02,11_18_25,1,91,67,67,52,15,24,57.142857142857146,7.1868671999982325,2.1868671999982325,10.352121886566927,SK3_OFP2_F02_11_18_25_01_2025-11-18T16_52_14_cleaned.csv
SK3,OFP2,F02,OFP2_F02,11_19_25,2,120,105,105,68,37,15,56.666666666666664,7.983423999990919,2.9834239999909187,13.645683321905292,SK3_OFP2_F02_11_19_25_02_2025-11-19T17_10_32_cleaned.csv
SK3,OFP2,F02,OFP2_F02,11_20_25,3,81,75,75,49,26,6,60.49382716049383,7.6343807999946875,2.6343807999946875,21.628537343999675,SK3_OFP2_F02_11_20_25_03_2025-11-20T17_37_06_cleaned.csv
SK3,OFP2,M04,OFP2_M04,11_15_25,1,296,196,196,177,19,100,59.7972972972973,6.811328000025242,1.8113280000252416,8.58820336326492,SK3_OFP2_M04_11_15_25_01_2025-11-15T18_26_33_cleaned.csv
SK3,OFP2,M04,OFP2_M04,11_16_25,2,175,112,112,95,17,63,54.285714285714285,6.712422399996285,1.712422399996285,9.102749485714,SK3_OFP2_M04_11_16_25_02_2025-11-16T18_39_38_cleaned.csv
SK3,OFP2,M04,OFP2_M04,11_17_25,3,200,136,136,117,19,64,58.5,6.705343999999968,1.7053439999999682,8.339459482352595,SK3_OFP2_M04_11_17_25_03_2025-11-17T18_43_35_cleaned.csv
SK3,OFP2,M08,OFP2_M08,11_18_25,1,313,201,201,168,33,112,53.674121405750796,7.185548800000106,2.185548800000106,30.681720740299728,SK3_OFP2_M08_11_18_25_01_2025-11-18T16_52_14_cleaned.csv
SK3,OFP2,M08,OFP2_M08,11_19_25,2,291,186,186,163,23,105,56.013745704467354,6.761215999998967,1.7612159999989672,27.261939612902353,SK3_OFP2_M08_11_19_25_02_2025-11-19T17_10_32_cleaned.csv
SK3,OFP2,M08,OFP2_M08,11_20_25,3,225,146,146,94,52,79,41.77777777777778,6.865580799996678,1.8655807999966783,24.095318005479896,SK3_OFP2_M08_11_20_25_03_2025-11-20T17_37_06_cleaned.csv
SK3,OFP,F32,OFP_F32,09_23_25,1,99,82,82,47,35,17,47.474747474747474,9.05802879999817,4.058028799998169,30.277160897560663,SK3_OFP_F32_09_23_25_01_2025-09-23T10_51_31_cleaned.csv
SK3,OFP,F32,OFP_F32,09_24_25,2,150,112,112,66,46,38,44.0,7.810873599999923,2.8108735999999226,44.90425085714299,SK3_OFP_F32_09_24_25_02_2025-09-24T09_16_09_cleaned.csv
SK3,OFP,F32,OFP_F32,09_25_25,3,143,116,116,98,18,27,68.53146853146853,7.186540800001467,2.1865408000014668,92.01661627586255,SK3_OFP_F32_09_25_25_03_2025-09-25T09_30_30_cleaned.csv
SK3,OFP,F33,OFP_F33,09_23_25,1,144,115,115,96,19,29,66.66666666666667,7.9725952000044344,2.9725952000044344,9.401865906086996,SK3_OFP_F33_09_23_25_01_2025-09-23T10_51_31_cleaned.csv
SK3,OFP,F33,OFP_F33,09_24_25,2,167,101,101,93,8,66,55.68862275449102,6.934835200001544,1.9348352000015439,9.185582130693055,SK3_OFP_F33_09_24_25_02_2025-09-24T09_16_09_cleaned.csv
SK3,OFP,F33,OFP_F33,09_25_25,3,147,109,109,91,18,38,61.904761904761905,6.876351999999315,1.876351999999315,27.9244953834862,SK3_OFP_F33_09_25_25_03_2025-09-25T09_30_30_cleaned.csv
SK3,OFP,M21,OFP_M21,09_16_25,1,95,86,85,65,20,10,68.42105263157895,7.760998400000972,2.7609984000009717,12.33577336470582,SK3_OFP_M21_09_16_25_01_2025-09-16T10_24_25_cleaned.csv
SK3,OFP,M21,OFP_M21,09_17_25,2,77,74,74,37,37,3,48.05194805194805,10.296729599998798,5.296729599998798,59.382970983783586,SK3_OFP_M21_09_17_25_02_2025-09-17T11_42_53_cleaned.csv
SK3,OFP,M21,OFP_M21,09_18_25,3,93,84,84,57,27,9,61.29032258064516,6.897369599998456,1.8973695999984557,35.7912652190479,SK3_OFP_M21_09_18_25_03_2025-09-18T11_33_09_cleaned.csv
SK3,OFP,M23,OFP_M23,09_16_25,1,353,53,53,5,48,300,1.4164305949008498,31.876032000000123,26.876032000000123,129.63378958490563,SK3_OFP_M23_09_16_25_01_2025-09-16T10_24_25_cleaned.csv
SK3,OFP,M23,OFP_M23,09_17_25,2,74,64,64,33,31,10,44.5945945945946,9.715129599996999,4.715129599996999,81.49742800000003,SK3_OFP_M23_09_17_25_02_2025-09-17T11_42_53_cleaned.csv
SK3,OFP,M23,OFP_M23,09_18_25,3,128,82,82,63,19,46,49.21875,7.78666240000166,2.78666240000166,12.908869619512435,SK3_OFP_M23_09_18_25_03_2025-09-18T11_33_09_cleaned.csv
SK3,OFP,M24,OFP_M24,09_23_25,1,86,70,70,51,19,16,59.30232558139535,7.585990399998991,2.585990399998991,99.5649254400001,SK3_OFP_M24_09_23_25_01_2025-09-23T10_33_28_cleaned.csv
SK3,OFP,M24,OFP_M24,09_24_25,2,27,15,15,14,1,12,51.851851851851855,7.153433599996788,2.153433599996788,7.565971626666373,SK3_OFP_M24_09_24_25_02_2025-09-24T09_18_21_cleaned.csv
SK3,OFP,M24,OFP_M24,09_25_25,3,133,90,90,86,4,43,64.66165413533835,6.745280000002822,1.745280000002822,14.727628231111071,SK3_OFP_M24_09_25_25_03_2025-09-25T09_30_48_cleaned.csv
SNI,OFP2,F01,OFP2_F01,11_12_25,1,235,176,176,147,29,59,62.5531914893617,7.209171200007404,2.209171200007404,10.909214618181649,SNI_OFP2_F01_11_12_25_01_2025-11-12T17_13_02_cleaned.csv
SNI,OFP2,F01,OFP2_F01,11_13_25,2,190,168,168,153,15,22,80.52631578947368,6.96032639999612,1.96032639999612,8.438889371428333,SNI_OFP2_F01_11_13_25_02_2025-11-13T17_45_14_cleaned.csv
SNI,OFP2,F01,OFP2_F01,11_14_25,3,172,158,158,143,15,14,83.13953488372093,6.879327999995439,1.8793279999954393,75.74857365063234,SNI_OFP2_F01_11_14_25_03_2025-11-14T17_31_27_cleaned.csv
SNI,OFP2,M02,OFP2_M02,11_12_25,1,77,56,56,31,25,21,40.25974025974026,8.609030400002666,3.6090304000026663,15.989225371428514,SNI_OFP2_M02_11_12_25_01_2025-11-12T17_13_02_cleaned.csv
SNI,OFP2,M02,OFP2_M02,11_13_25,2,56,53,53,42,11,3,75.0,6.9925248000072315,1.9925248000072315,10.093446762264403,SNI_OFP2_M02_11_13_25_02_2025-11-13T17_45_14_cleaned.csv
SNI,OFP2,M02,OFP2_M02,11_14_25,3,79,68,68,50,18,11,63.29113924050633,7.377683199996454,2.3776831999964543,10.127677364706596,SNI_OFP2_M02_11_14_25_03_2025-11-14T17_31_27_cleaned.csv
SNI,OFP2,M05,OFP2_M05,11_15_25,1,288,171,171,143,28,117,49.65277777777778,7.152819199996884,2.152819199996884,9.78096295672583,SNI_OFP2_M05_11_15_25_01_2025-11-15T18_26_33_cleaned.csv
SNI,OFP2,M05,OFP2_M05,11_16_25,2,166,104,104,84,20,62,50.602409638554214,7.042208000005303,2.042208000005303,9.775120369231338,SNI_OFP2_M05_11_16_25_02_2025-11-16T18_39_38_cleaned.csv
SNI,OFP2,M05,OFP2_M05,11_17_25,3,195,127,127,98,29,68,50.256410256410255,7.151270399990608,2.151270399990608,10.146889675591114,SNI_OFP2_M05_11_17_25_03_2025-11-17T18_43_35_cleaned.csv
SNI,OFP,F1,OFP_F1,07_15_25,1,238,201,201,152,49,37,63.865546218487395,8.0495360000059,3.049536000005901,41.3887728079587,SNI_OFP_F1_07_15_25_01_2025-07-15T17_03_27_cleaned.csv
SNI,OFP,F1,OFP_F1,07_19_25,2,282,200,200,179,21,82,63.47517730496454,7.377452800001265,2.377452800001265,11.250140799999905,SNI_OFP_F1_07_19_25_02_2025-07-19T15_35_53_cleaned.csv
SNI,OFP,F1,OFP_F1,07_20_25,3,186,122,122,92,30,64,49.46236559139785,7.465721599992321,2.465721599992321,103.17789765245885,SNI_OFP_F1_07_20_25_03_2025-07-20T17_48_22_cleaned.csv
