Mouse,Group,Alpha_Pos,Alpha_Neg,Beta,Stickiness,Q_init
FED001_101023_02_updated,SHAM,0.3,0.7496353048246518,14.953287975611527,0.028964666419508674,1.0
FED002_101023_03,SHAM,0.3,0.7098546519388108,2.7485270674376014,0.20786798629362185,0.0
FED004_101023_01_updated,SHAM,0.3,0.38244386095108135,2.960767617525978,0.1691426989162033,0.6780282899592719
FED005_101723_01,SNI,0.3,0.5457105297601749,20.0,0.024827676715108833,1.0
FED006_101023_00,SNI,0.3,0.031298282328670435,4.844324533153727,0.10286243623212778,1.0
FED006_101723_01,SNI,0.3,0.5426412117214412,10.748596796232663,0.058308657108200254,1.0
