x	y	name	color	
701.6073608398438	59.21339416503906	FLAG-only	-1
776.8280639648438	180.7237091064453	FLAG+TH	-256
101.28850555419922	702.9287719726562	FLAG+TH	-256
515.002197265625	679.7839965820312	FLAG+TH	-256
447.0143127441406	673.9977416992188	FLAG+TH	-256
286.44708251953125	632.0477905273438	FLAG+TH	-256
640.8521728515625	523.556396484375	FLAG+TH	-256
632.1729125976562	768.0236206054688	FLAG+TH	-256
287.8936462402344	958.9683837890625	FLAG+TH	-256
426.7625732421875	953.1821899414062	FLAG+TH	-256
422.4229431152344	930.037353515625	FLAG+TH	-256
448.4608459472656	928.5908203125	FLAG+TH	-256
989.4711303710938	877.9615478515625	FLAG+TH	-256
270.5350341796875	461.3547058105469	FLAG+TH	-256
324.05743408203125	430.97711181640625	FLAG+TH	-256
263.3022766113281	546.7012329101562	FLAG+TH	-256
520.7884521484375	876.5149536132812	FLAG+TH	-256
555.5056762695312	836.0115356445312	FLAG+TH	-256
513.5556640625	827.3322143554688	FLAG+TH	-256
635.0659790039062	292.1081848144531	FLAG+TH	-256
658.2108154296875	280.5357666015625	FLAG+TH	-256
539.5935668945312	461.3547058105469	FLAG+TH	-256
584.4367065429688	409.2788391113281	FLAG+TH	-256
546.8263549804688	565.5064086914062	FLAG+TH	-256
817.3314819335938	559.72021484375	FLAG+TH	-256
872.3004150390625	671.1046752929688	FLAG+TH	-256
902.6780395507812	776.7029418945312	FLAG+TH	-256
931.6090698242188	820.0994873046875	FLAG+TH	-256
996.703857421875	400.59954833984375	FLAG+TH	-256
163.49021911621094	876.5149536132812	FLAG+TH	-256
470.15911865234375	245.8185272216797	TH-only	-16711681
458.5867004394531	334.05816650390625	TH-only	-16711681
41.97989273071289	404.939208984375	TH-only	-16711681
164.936767578125	485.9460754394531	TH-only	-16711681
206.8867645263672	549.5943603515625	TH-only	-16711681
114.30746459960938	747.7719116210938	TH-only	-16711681
374.6867370605469	645.0667114257812	TH-only	-16711681
507.76947021484375	390.47369384765625	TH-only	-16711681
496.1970520019531	430.97711181640625	TH-only	-16711681
497.64361572265625	468.58746337890625	TH-only	-16711681
496.1970520019531	584.3115844726562	TH-only	-16711681
607.58154296875	924.2511596679688	TH-only	-16711681
627.833251953125	890.98046875	TH-only	-16711681
594.5625610351562	679.7839965820312	TH-only	-16711681
632.1729125976562	472.9271240234375	TH-only	-16711681
629.27978515625	429.53057861328125	TH-only	-16711681
720.4125366210938	255.94439697265625	TH-only	-16711681
694.3746337890625	299.3409423828125	TH-only	-16711681
747.8970336914062	553.9340209960938	TH-only	-16711681
823.11767578125	727.5201416015625	TH-only	-16711681
990.9176635742188	912.6787719726562	TH-only	-16711681
937.395263671875	886.6408081054688	TH-only	-16711681
